country,year,cancer_type,gender,cancer_stat,0–4,5–9,10–14,15–19,20–24,25–29,30–34,35–39,40–44,45–49,50–54,55–59,60–64,65–69,70–74,75–79,80–84,85+,unknown
Australia,1968,MOUTH,F,mortality_count,0,0,0,0,0,0,1,0,0,0,2,6,1,1,7,6,2,3,0
Australia,1968,MOUTH,F,m_crude_rate,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.6,2.1,0.4,0.5,4.3,4.9,2.8,7.7,
Australia,1968,LIP,F,mortality_count,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Australia,1968,LIP,F,m_crude_rate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,
Australia,1968,OESOPHAGEAL,F,mortality_count,0,0,0,0,0,0,0,1,3,1,9,10,8,23,24,25,17,13,0
Australia,1968,OESOPHAGEAL,F,m_crude_rate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.8,0.3,2.8,3.5,3.4,11.7,14.8,20.6,24.1,33.3,
Australia,1968,THYROID,F,mortality_count,0,0,0,0,0,0,0,1,0,1,1,2,4,4,3,8,7,5,0
Australia,1968,THYROID,F,m_crude_rate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.3,0.3,0.7,1.7,2.0,1.8,6.6,9.9,12.8,
Australia,1968,TONGUE,F,mortality_count,0,0,0,0,0,0,0,0,1,1,2,4,0,4,6,4,7,4,0
Australia,1968,TONGUE,F,m_crude_rate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.6,1.4,0.0,2.0,3.7,3.3,9.9,10.2,
Australia,1968,MOUTH,M,mortality_count,0,0,0,0,0,0,0,1,0,6,7,4,5,5,8,7,3,3,0
Australia,1968,MOUTH,M,m_crude_rate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,1.6,2.2,1.4,2.2,3.0,6.9,8.8,7.3,16.2,
Australia,1968,LIP,M,mortality_count,0,0,0,0,0,0,0,1,1,0,1,1,1,1,2,3,3,1,0
Australia,1968,LIP,M,m_crude_rate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.2,0.0,0.3,0.3,0.4,0.6,1.7,3.8,7.3,5.4,
Australia,1968,OESOPHAGEAL,M,mortality_count,0,0,0,0,0,0,1,3,4,10,14,20,26,37,45,25,35,11,0
Australia,1968,OESOPHAGEAL,M,m_crude_rate,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.8,1.0,2.7,4.4,6.9,11.4,21.9,38.9,31.5,85.4,59.4,
Australia,1968,THYROID,M,mortality_count,0,0,0,0,0,0,0,0,1,2,2,2,4,2,4,2,0,0,0
Australia,1968,THYROID,M,m_crude_rate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.5,0.6,0.7,1.8,1.2,3.5,2.5,0.0,0.0,
Australia,1968,TONGUE,M,mortality_count,0,0,0,0,0,0,0,1,5,3,6,6,13,13,5,4,3,3,0
Australia,1968,TONGUE,M,m_crude_rate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,1.2,0.8,1.9,2.1,5.7,7.7,4.3,5.0,7.3,16.2,
Australia,1968,MOUTH,P,mortality_count,0,0,0,0,0,0,1,1,0,6,9,10,6,6,15,13,5,6,0
Australia,1968,MOUTH,P,m_crude_rate,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.8,1.4,1.7,1.3,1.6,5.4,6.5,4.5,10.4,
Australia,1968,LIP,P,mortality_count,0,0,0,0,0,0,0,1,1,0,1,3,1,1,2,3,3,1,0
Australia,1968,LIP,P,m_crude_rate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.2,0.5,0.2,0.3,0.7,1.5,2.7,1.7,
Australia,1968,OESOPHAGEAL,P,mortality_count,0,0,0,0,0,0,1,4,7,11,23,30,34,60,69,50,52,24,0
Australia,1968,OESOPHAGEAL,P,m_crude_rate,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.5,0.9,1.5,3.6,5.2,7.4,16.4,24.8,24.9,46.6,41.7,
Australia,1968,THYROID,P,mortality_count,0,0,0,0,0,0,0,1,1,3,3,4,8,6,7,10,7,5,0
Australia,1968,THYROID,P,m_crude_rate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.4,0.5,0.7,1.7,1.6,2.5,5.0,6.3,8.7,
Australia,1968,TONGUE,P,mortality_count,0,0,0,0,0,0,0,1,6,4,8,10,13,17,11,8,10,7,0
Australia,1968,TONGUE,P,m_crude_rate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.8,0.5,1.3,1.7,2.8,4.6,4.0,4.0,9.0,12.2,
Australia,1969,MOUTH,F,mortality_count,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,1,2,4,0
Australia,1969,MOUTH,F,m_crude_rate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,1.0,2.5,0.8,2.7,9.8,
Australia,1969,LIP,F,mortality_count,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0
Australia,1969,LIP,F,m_crude_rate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.6,0.0,1.4,0.0,
Australia,1969,OESOPHAGEAL,F,mortality_count,0,0,0,0,0,0,0,0,2,4,5,7,8,10,20,21,23,20,1
Australia,1969,OESOPHAGEAL,F,m_crude_rate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.1,1.6,2.4,3.3,5.0,12.4,17.2,31.4,49.2,
Australia,1969,THYROID,F,mortality_count,0,0,0,0,1,1,1,0,1,3,2,2,4,5,6,11,6,7,0
Australia,1969,THYROID,F,m_crude_rate,0.0,0.0,0.0,0.0,0.2,0.2,0.3,0.0,0.3,0.8,0.6,0.7,1.7,2.5,3.7,9.0,8.2,17.2,
Australia,1969,TONGUE,F,mortality_count,0,0,0,0,1,0,0,1,0,1,2,2,5,1,2,5,1,7,0
Australia,1969,TONGUE,F,m_crude_rate,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.3,0.0,0.3,0.6,0.7,2.1,0.5,1.2,4.1,1.4,17.2,
Australia,1969,MOUTH,M,mortality_count,0,0,0,0,0,0,0,2,1,5,6,5,7,8,9,4,3,1,0
Australia,1969,MOUTH,M,m_crude_rate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.2,1.3,1.9,1.7,3.0,4.6,7.7,5.2,7.1,5.3,
Australia,1969,LIP,M,mortality_count,0,0,0,0,0,0,0,0,0,0,1,0,2,2,0,3,1,0,0
Australia,1969,LIP,M,m_crude_rate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.9,1.1,0.0,3.9,2.4,0.0,
Australia,1969,OESOPHAGEAL,M,mortality_count,0,0,0,0,0,0,1,1,6,12,15,31,30,38,26,38,21,8,0
Australia,1969,OESOPHAGEAL,M,m_crude_rate,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,1.5,3.1,4.8,10.5,12.8,21.8,22.4,49.0,49.7,42.3,
Australia,1969,THYROID,M,mortality_count,0,0,0,2,0,0,0,0,1,0,3,1,3,2,0,2,3,0,0
Australia,1969,THYROID,M,m_crude_rate,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.2,0.0,1.0,0.3,1.3,1.1,0.0,2.6,7.1,0.0,
Australia,1969,TONGUE,M,mortality_count,0,0,0,0,0,0,0,0,2,8,2,8,6,7,5,8,7,2,0
Australia,1969,TONGUE,M,m_crude_rate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,2.1,0.6,2.7,2.6,4.0,4.3,10.3,16.6,10.6,
Australia,1969,MOUTH,P,mortality_count,0,0,0,0,0,0,0,2,1,5,6,5,9,10,13,5,5,5,0
Australia,1969,MOUTH,P,m_crude_rate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.1,0.7,0.9,0.8,1.9,2.7,4.7,2.5,4.3,8.4,
Australia,1969,LIP,P,mortality_count,0,0,0,0,0,0,0,0,0,0,1,0,4,2,1,3,2,0,0
Australia,1969,LIP,P,m_crude_rate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.8,0.5,0.4,1.5,1.7,0.0,
Australia,1969,OESOPHAGEAL,P,mortality_count,0,0,0,0,0,0,1,1,8,16,20,38,38,48,46,59,44,28,1
Australia,1969,OESOPHAGEAL,P,m_crude_rate,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,1.0,2.1,3.2,6.5,8.0,12.8,16.5,29.6,38.1,47.0,
Australia,1969,THYROID,P,mortality_count,0,0,0,2,1,1,1,0,2,3,5,3,7,7,6,13,9,7,0
Australia,1969,THYROID,P,m_crude_rate,0.0,0.0,0.0,0.2,0.1,0.1,0.1,0.0,0.3,0.4,0.8,0.5,1.5,1.9,2.2,6.5,7.8,11.8,
Australia,1969,TONGUE,P,mortality_count,0,0,0,0,1,0,0,1,2,9,4,10,11,8,7,13,8,9,0
Australia,1969,TONGUE,P,m_crude_rate,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.3,1.2,0.6,1.7,2.3,2.1,2.5,6.5,6.9,15.1,
Australia,1970,MOUTH,F,mortality_count,0,0,0,0,0,0,0,0,0,0,1,3,1,3,2,2,4,1,0
Australia,1970,MOUTH,F,m_crude_rate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,1.0,0.4,1.5,1.2,1.6,5.3,2.3,
Australia,1970,LIP,F,mortality_count,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
Australia,1970,LIP,F,m_crude_rate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,
Australia,1970,OESOPHAGEAL,F,mortality_count,0,0,0,0,0,0,1,0,0,3,14,11,16,16,21,28,18,14,0
Australia,1970,OESOPHAGEAL,F,m_crude_rate,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.8,4.4,3.7,6.4,7.9,12.8,22.8,24.0,32.4,
Australia,1970,THYROID,F,mortality_count,0,0,0,0,1,0,0,0,0,1,6,4,6,6,7,9,9,4,0
Australia,1970,THYROID,F,m_crude_rate,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.3,1.9,1.3,2.4,3.0,4.3,7.3,12.0,9.2,
Australia,1970,TONGUE,F,mortality_count,0,0,0,0,0,0,0,0,0,0,0,2,2,5,3,5,4,3,0
Australia,1970,TONGUE,F,m_crude_rate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.8,2.5,1.8,4.1,5.3,6.9,
Australia,1970,MOUTH,M,mortality_count,0,0,0,0,0,0,0,0,1,8,7,4,5,2,10,3,5,1,0
Australia,1970,MOUTH,M,m_crude_rate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,2.0,2.2,1.3,2.1,1.1,8.4,3.9,11.7,5.0,
Australia,1970,LIP,M,mortality_count,0,0,0,0,0,1,0,0,0,2,2,1,3,2,3,1,0,3,0
Australia,1970,LIP,M,m_crude_rate,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.5,0.6,0.3,1.3,1.1,2.5,1.3,0.0,15.0,
Australia,1970,OESOPHAGEAL,M,mortality_count,0,0,0,0,0,0,1,2,4,13,13,35,41,40,33,38,22,13,0
Australia,1970,OESOPHAGEAL,M,m_crude_rate,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.5,1.0,3.3,4.1,11.7,17.2,22.4,27.7,49.6,51.6,65.2,
Australia,1970,THYROID,M,mortality_count,0,0,0,0,0,0,0,0,0,2,0,2,3,4,8,1,2,2,0
Australia,1970,THYROID,M,m_crude_rate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.7,1.3,2.2,6.7,1.3,4.7,10.0,
Australia,1970,TONGUE,M,mortality_count,0,0,0,0,0,0,0,1,5,2,8,9,12,13,7,8,2,2,0
Australia,1970,TONGUE,M,m_crude_rate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,1.2,0.5,2.5,3.0,5.0,7.3,5.9,10.4,4.7,10.0,
Australia,1970,MOUTH,P,mortality_count,0,0,0,0,0,0,0,0,1,8,8,7,6,5,12,5,9,2,0
Australia,1970,MOUTH,P,m_crude_rate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.0,1.3,1.2,1.2,1.3,4.2,2.5,7.7,3.2,
Australia,1970,LIP,P,mortality_count,0,0,0,0,0,1,0,0,1,2,2,1,3,3,3,1,0,3,0
Australia,1970,LIP,P,m_crude_rate,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.3,0.3,0.2,0.6,0.8,1.1,0.5,0.0,4.7,
Australia,1970,OESOPHAGEAL,P,mortality_count,0,0,0,0,0,0,2,2,4,16,27,46,57,56,54,66,40,27,0
Australia,1970,OESOPHAGEAL,P,m_crude_rate,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.5,2.1,4.2,7.7,11.7,14.7,19.1,33.1,34.0,42.7,
Australia,1970,THYROID,P,mortality_count,0,0,0,0,1,0,0,0,0,3,6,6,9,10,15,10,11,6,0
Australia,1970,THYROID,P,m_crude_rate,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.4,0.9,1.0,1.8,2.6,5.3,5.0,9.4,9.5,
Australia,1970,TONGUE,P,mortality_count,0,0,0,0,0,0,0,1,5,2,8,11,14,18,10,13,6,5,0
Australia,1970,TONGUE,P,m_crude_rate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.6,0.3,1.3,1.8,2.9,4.7,3.5,6.5,5.1,7.9,
Australia,1971,MOUTH,F,mortality_count,0,0,0,0,0,0,0,0,0,1,2,1,1,3,4,4,4,2,0
Australia,1971,MOUTH,F,m_crude_rate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.6,0.3,0.4,1.4,2.3,3.2,5.1,4.4,
Australia,1971,LIP,F,mortality_count,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
Australia,1971,LIP,F,m_crude_rate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,2.2,
