country,year,cancer_type,gender,incident_count,i_crude_rate,mortality_count,m_crude_rate
Australia,1968,MOUTH,M,,,49,0.8
Australia,1969,MOUTH,M,,,51,0.8
Australia,1970,MOUTH,M,,,46,0.7
Australia,1971,MOUTH,M,,,52,0.8
Australia,1972,MOUTH,M,,,56,0.8
Australia,1973,MOUTH,M,,,61,0.9
Australia,1974,MOUTH,M,,,61,0.9
Australia,1975,MOUTH,M,,,57,0.8
Australia,1976,MOUTH,M,,,62,0.9
Australia,1977,MOUTH,M,,,71,1.0
Australia,1978,MOUTH,M,,,58,0.8
Australia,1979,MOUTH,M,,,74,1.0
Australia,1980,MOUTH,M,,,64,0.9
Australia,1981,MOUTH,M,,,98,1.3
Australia,1982,MOUTH,M,212,2.8,65,0.9
Australia,1983,MOUTH,M,229,3.0,66,0.9
Australia,1984,MOUTH,M,254,3.3,77,1.0
Australia,1985,MOUTH,M,262,3.3,85,1.1
Australia,1986,MOUTH,M,256,3.2,73,0.9
Australia,1987,MOUTH,M,254,3.1,75,0.9
Australia,1988,MOUTH,M,240,2.9,77,0.9
Australia,1989,MOUTH,M,259,3.1,88,1.0
Australia,1990,MOUTH,M,254,3.0,82,1.0
Australia,1991,MOUTH,M,232,2.7,75,0.9
Australia,1992,MOUTH,M,288,3.3,92,1.1
Australia,1993,MOUTH,M,271,3.1,66,0.8
Australia,1994,MOUTH,M,289,3.3,83,0.9
Australia,1995,MOUTH,M,250,2.8,85,0.9
Australia,1996,MOUTH,M,265,2.9,75,0.8
Australia,1997,MOUTH,M,290,3.2,63,0.7
Australia,1998,MOUTH,M,283,3.1,79,0.9
Australia,1999,MOUTH,M,278,3.0,73,0.8
Australia,2000,MOUTH,M,278,2.9,91,1.0
Australia,2001,MOUTH,M,259,2.7,83,0.9
Australia,2002,MOUTH,M,264,2.7,58,0.6
Australia,2003,MOUTH,M,298,3.0,71,0.7
Australia,2004,MOUTH,M,264,2.7,67,0.7
Australia,2005,MOUTH,M,324,3.2,64,0.6
Australia,2006,MOUTH,M,298,2.9,74,0.7
Australia,2007,MOUTH,M,315,3.0,72,0.7
Australia,2008,MOUTH,M,302,2.9,69,0.7
Australia,2009,MOUTH,M,347,3.2,79,0.7
Australia,2010,MOUTH,M,349,3.2,65,0.6
Australia,2011,MOUTH,M,358,3.2,75,0.7
Australia,2012,MOUTH,M,362,3.2,72,0.6
Australia,2013,MOUTH,M,307,2.7,82,0.7
Australia,2014,MOUTH,M,376,3.2,77,0.7
Australia,2015,MOUTH,M,,,74,0.6
Australia,1968,MOUTH,F,,,29,0.5
Australia,1969,MOUTH,F,,,15,0.2
Australia,1970,MOUTH,F,,,17,0.3
Australia,1971,MOUTH,F,,,22,0.3
Australia,1972,MOUTH,F,,,18,0.3
Australia,1973,MOUTH,F,,,24,0.4
Australia,1974,MOUTH,F,,,25,0.4
Australia,1975,MOUTH,F,,,29,0.4
Australia,1976,MOUTH,F,,,27,0.4
Australia,1977,MOUTH,F,,,34,0.5
Australia,1978,MOUTH,F,,,33,0.5
Australia,1979,MOUTH,F,,,41,0.6
Australia,1980,MOUTH,F,,,33,0.4
Australia,1981,MOUTH,F,,,42,0.6
Australia,1982,MOUTH,F,101,1.3,33,0.4
Australia,1983,MOUTH,F,120,1.6,31,0.4
Australia,1984,MOUTH,F,113,1.4,34,0.4
Australia,1985,MOUTH,F,115,1.5,37,0.5
Australia,1986,MOUTH,F,119,1.5,37,0.5
Australia,1987,MOUTH,F,127,1.6,49,0.6
Australia,1988,MOUTH,F,124,1.5,40,0.5
Australia,1989,MOUTH,F,137,1.6,48,0.6
Australia,1990,MOUTH,F,155,1.8,50,0.6
Australia,1991,MOUTH,F,154,1.8,52,0.6
Australia,1992,MOUTH,F,174,2.0,47,0.5
Australia,1993,MOUTH,F,141,1.6,45,0.5
Australia,1994,MOUTH,F,146,1.6,47,0.5
Australia,1995,MOUTH,F,191,2.1,44,0.5
Australia,1996,MOUTH,F,156,1.7,45,0.5
Australia,1997,MOUTH,F,166,1.8,48,0.5
Australia,1998,MOUTH,F,193,2.1,48,0.5
Australia,1999,MOUTH,F,164,1.7,60,0.6
Australia,2000,MOUTH,F,192,2.0,50,0.5
Australia,2001,MOUTH,F,171,1.8,55,0.6
Australia,2002,MOUTH,F,143,1.5,42,0.4
Australia,2003,MOUTH,F,181,1.8,45,0.5
Australia,2004,MOUTH,F,186,1.9,49,0.5
Australia,2005,MOUTH,F,176,1.7,47,0.5
Australia,2006,MOUTH,F,198,1.9,36,0.3
Australia,2007,MOUTH,F,196,1.9,59,0.6
Australia,2008,MOUTH,F,206,1.9,43,0.4
Australia,2009,MOUTH,F,190,1.7,40,0.4
Australia,2010,MOUTH,F,219,2.0,48,0.4
Australia,2011,MOUTH,F,220,2.0,53,0.5
Australia,2012,MOUTH,F,228,2.0,50,0.4
Australia,2013,MOUTH,F,230,2.0,53,0.5
Australia,2014,MOUTH,F,232,2.0,51,0.4
Australia,2015,MOUTH,F,,,63,0.5
Australia,1968,MOUTH,P,,,78,0.6
Australia,1969,MOUTH,P,,,66,0.5
Australia,1970,MOUTH,P,,,63,0.5
Australia,1971,MOUTH,P,,,74,0.6
Australia,1972,MOUTH,P,,,74,0.6
Australia,1973,MOUTH,P,,,85,0.6
Australia,1974,MOUTH,P,,,86,0.6
Australia,1975,MOUTH,P,,,86,0.6
Australia,1976,MOUTH,P,,,89,0.6
Australia,1977,MOUTH,P,,,105,0.7
Australia,1978,MOUTH,P,,,91,0.6
Australia,1979,MOUTH,P,,,115,0.8
Australia,1980,MOUTH,P,,,97,0.7
Australia,1981,MOUTH,P,,,140,0.9
Australia,1982,MOUTH,P,313,2.1,98,0.6
Australia,1983,MOUTH,P,349,2.3,97,0.6
Australia,1984,MOUTH,P,367,2.4,111,0.7
Australia,1985,MOUTH,P,377,2.4,122,0.8
Australia,1986,MOUTH,P,375,2.3,110,0.7
Australia,1987,MOUTH,P,381,2.3,124,0.8
Australia,1988,MOUTH,P,364,2.2,117,0.7
Australia,1989,MOUTH,P,396,2.4,136,0.8
Australia,1990,MOUTH,P,409,2.4,132,0.8
Australia,1991,MOUTH,P,386,2.2,127,0.7
Australia,1992,MOUTH,P,462,2.6,139,0.8
Australia,1993,MOUTH,P,412,2.3,111,0.6
Australia,1994,MOUTH,P,435,2.4,130,0.7
Australia,1995,MOUTH,P,441,2.4,129,0.7
Australia,1996,MOUTH,P,421,2.3,120,0.7
Australia,1997,MOUTH,P,456,2.5,111,0.6
Australia,1998,MOUTH,P,476,2.6,127,0.7
Australia,1999,MOUTH,P,442,2.3,133,0.7
Australia,2000,MOUTH,P,470,2.5,141,0.7
Australia,2001,MOUTH,P,430,2.2,138,0.7
Australia,2002,MOUTH,P,407,2.1,100,0.5
Australia,2003,MOUTH,P,479,2.4,116,0.6
Australia,2004,MOUTH,P,450,2.3,116,0.6
Australia,2005,MOUTH,P,500,2.5,111,0.6
Australia,2006,MOUTH,P,496,2.4,110,0.5
Australia,2007,MOUTH,P,511,2.5,131,0.6
Australia,2008,MOUTH,P,508,2.4,112,0.5
Australia,2009,MOUTH,P,537,2.5,119,0.5
Australia,2010,MOUTH,P,568,2.6,113,0.5
