country,state,year,cancer_type,gender,incident_count,i_asr,mortality_count,m_asr
Australia,New South Wales,1971,MOUTH,M,,,20,1.1
Australia,New South Wales,1971,MOUTH,F,,,9,0.5
Australia,New South Wales,1971,MOUTH,P,,,29,0.8
Australia,Victoria,1971,MOUTH,M,,,18,1.6
Australia,Victoria,1971,MOUTH,F,,,4,0.3
Australia,Victoria,1971,MOUTH,P,,,22,0.8
Australia,Queensland,1971,MOUTH,M,,,8,1.1
Australia,Queensland,1971,MOUTH,F,,,4,0.6
Australia,Queensland,1971,MOUTH,P,,,12,0.8
Australia,Western Australia,1971,MOUTH,M,,,8,1.1
Australia,Western Australia,1971,MOUTH,F,,,4,0.6
Australia,Western Australia,1971,MOUTH,P,,,12,0.8
Australia,South Australia,1971,MOUTH,M,,,3,0.8
Australia,South Australia,1971,MOUTH,F,,,1,0.2
Australia,South Australia,1971,MOUTH,P,,,4,0.5
Australia,Tasmania,1971,MOUTH,M,,,0,0.0
Australia,Tasmania,1971,MOUTH,F,,,1,0.6
Australia,Tasmania,1971,MOUTH,P,,,1,0.3
Australia,Australian Capital Territory,1971,MOUTH,M,,,0,0.0
Australia,Australian Capital Territory,1971,MOUTH,F,,,1,4.8
Australia,Australian Capital Territory,1971,MOUTH,P,,,1,2.9
Australia,Northern Territory,1971,MOUTH,M,,,2,14.8
Australia,Northern Territory,1971,MOUTH,F,,,0,0.0
Australia,Northern Territory,1971,MOUTH,P,,,2,8.8
Australia,New South Wales,1971,LIP,M,,,8,0.5
Australia,New South Wales,1971,LIP,F,,,0,0.0
Australia,New South Wales,1971,LIP,P,,,8,0.2
Australia,Victoria,1971,LIP,M,,,4,0.4
Australia,Victoria,1971,LIP,F,,,0,0.0
Australia,Victoria,1971,LIP,P,,,4,0.2
Australia,Queensland,1971,LIP,M,,,2,0.3
Australia,Queensland,1971,LIP,F,,,0,0.0
Australia,Queensland,1971,LIP,P,,,2,0.1
Australia,Western Australia,1971,LIP,M,,,0,0.0
Australia,Western Australia,1971,LIP,F,,,0,0.0
Australia,Western Australia,1971,LIP,P,,,0,0.0
Australia,South Australia,1971,LIP,M,,,1,0.3
Australia,South Australia,1971,LIP,F,,,2,0.5
Australia,South Australia,1971,LIP,P,,,3,0.5
Australia,Tasmania,1971,LIP,M,,,0,0.0
Australia,Tasmania,1971,LIP,F,,,0,0.0
Australia,Tasmania,1971,LIP,P,,,0,0.0
Australia,Australian Capital Territory,1971,LIP,M,,,0,0.0
Australia,Australian Capital Territory,1971,LIP,F,,,0,0.0
Australia,Australian Capital Territory,1971,LIP,P,,,0,0.0
Australia,Northern Territory,1971,LIP,M,,,0,0.0
Australia,Northern Territory,1971,LIP,F,,,0,0.0
