station_number,lat,long,station_name,year,cloud
063039,-33.71,150.31,KATOOMBA,1957,4.1
063039,-33.71,150.31,KATOOMBA,1958,4.7
063039,-33.71,150.31,KATOOMBA,1959,4.9
063039,-33.71,150.31,KATOOMBA,1960,4.8
063039,-33.71,150.31,KATOOMBA,1961,4.9
063039,-33.71,150.31,KATOOMBA,1962,4.8
063039,-33.71,150.31,KATOOMBA,1963,5.5
063039,-33.71,150.31,KATOOMBA,1964,4.5
063039,-33.71,150.31,KATOOMBA,1965,99999.9
063039,-33.71,150.31,KATOOMBA,1966,4.8
063039,-33.71,150.31,KATOOMBA,1967,99999.9
063039,-33.71,150.31,KATOOMBA,1968,99999.9
063039,-33.71,150.31,KATOOMBA,1969,99999.9
063039,-33.71,150.31,KATOOMBA,1970,99999.9
063039,-33.71,150.31,KATOOMBA,1971,99999.9
063039,-33.71,150.31,KATOOMBA,1972,99999.9
063039,-33.71,150.31,KATOOMBA,1973,99999.9
063039,-33.71,150.31,KATOOMBA,1974,5.0
063039,-33.71,150.31,KATOOMBA,1975,4.9
063039,-33.71,150.31,KATOOMBA,1976,5.0
063039,-33.71,150.31,KATOOMBA,1977,4.6
063039,-33.71,150.31,KATOOMBA,1978,5.0
063039,-33.71,150.31,KATOOMBA,1979,4.6
063039,-33.71,150.31,KATOOMBA,1980,4.2
063039,-33.71,150.31,KATOOMBA,1981,4.8
063039,-33.71,150.31,KATOOMBA,1982,99999.9
063039,-33.71,150.31,KATOOMBA,1983,5.0
063039,-33.71,150.31,KATOOMBA,1984,4.9
063039,-33.71,150.31,KATOOMBA,1985,5.2
063039,-33.71,150.31,KATOOMBA,1986,4.7
063039,-33.71,150.31,KATOOMBA,1987,4.8
063039,-33.71,150.31,KATOOMBA,1988,4.9
063039,-33.71,150.31,KATOOMBA,1989,5.3
063039,-33.71,150.31,KATOOMBA,1990,5.1
063039,-33.71,150.31,KATOOMBA,1991,4.4
063039,-33.71,150.31,KATOOMBA,1992,4.9
063039,-33.71,150.31,KATOOMBA,1993,4.5
063039,-33.71,150.31,KATOOMBA,1994,4.2
063039,-33.71,150.31,KATOOMBA,1995,4.8
063039,-33.71,150.31,KATOOMBA,1996,4.5
063039,-33.71,150.31,KATOOMBA,1997,4.4
063039,-33.71,150.31,KATOOMBA,1998,4.9
063039,-33.71,150.31,KATOOMBA,1999,5.1
063039,-33.71,150.31,KATOOMBA,2000,4.9
063039,-33.71,150.31,KATOOMBA,2001,4.8
063039,-33.71,150.31,KATOOMBA,2002,4.4
063039,-33.71,150.31,KATOOMBA,2003,4.9
063039,-33.71,150.31,KATOOMBA,2004,4.1
063039,-33.71,150.31,KATOOMBA,2005,4.3
063039,-33.71,150.31,KATOOMBA,2006,3.8
063039,-33.71,150.31,KATOOMBA,2007,4.2
063039,-33.71,150.31,KATOOMBA,2008,4.5
063039,-33.71,150.31,KATOOMBA,2009,4.5
063039,-33.71,150.31,KATOOMBA,2010,5.0
063039,-33.71,150.31,KATOOMBA,2011,5.3
063039,-33.71,150.31,KATOOMBA,2012,4.5
063039,-33.71,150.31,KATOOMBA,2013,4.2
063039,-33.71,150.31,KATOOMBA,2014,4.6
036007,-23.55,145.29,BARCALDINE POST OFFICE,1962,2.5
036007,-23.55,145.29,BARCALDINE POST OFFICE,1963,2.3
036007,-23.55,145.29,BARCALDINE POST OFFICE,1964,2.3
036007,-23.55,145.29,BARCALDINE POST OFFICE,1965,2.0
036007,-23.55,145.29,BARCALDINE POST OFFICE,1966,99999.9
036007,-23.55,145.29,BARCALDINE POST OFFICE,1967,99999.9
036007,-23.55,145.29,BARCALDINE POST OFFICE,1968,99999.9
036007,-23.55,145.29,BARCALDINE POST OFFICE,1969,99999.9
036007,-23.55,145.29,BARCALDINE POST OFFICE,1970,99999.9
036007,-23.55,145.29,BARCALDINE POST OFFICE,1971,99999.9
036007,-23.55,145.29,BARCALDINE POST OFFICE,1972,99999.9
036007,-23.55,145.29,BARCALDINE POST OFFICE,1973,99999.9
036007,-23.55,145.29,BARCALDINE POST OFFICE,1974,3.4
036007,-23.55,145.29,BARCALDINE POST OFFICE,1975,99999.9
036007,-23.55,145.29,BARCALDINE POST OFFICE,1976,99999.9
036007,-23.55,145.29,BARCALDINE POST OFFICE,1977,99999.9
036007,-23.55,145.29,BARCALDINE POST OFFICE,1978,99999.9
036007,-23.55,145.29,BARCALDINE POST OFFICE,1979,99999.9
036007,-23.55,145.29,BARCALDINE POST OFFICE,1980,2.2
036007,-23.55,145.29,BARCALDINE POST OFFICE,1981,99999.9
036007,-23.55,145.29,BARCALDINE POST OFFICE,1982,2.5
036007,-23.55,145.29,BARCALDINE POST OFFICE,1983,2.9
036007,-23.55,145.29,BARCALDINE POST OFFICE,1984,2.8
036007,-23.55,145.29,BARCALDINE POST OFFICE,1985,99999.9
036007,-23.55,145.29,BARCALDINE POST OFFICE,1986,99999.9
036007,-23.55,145.29,BARCALDINE POST OFFICE,1987,2.9
036007,-23.55,145.29,BARCALDINE POST OFFICE,1988,2.5
036007,-23.55,145.29,BARCALDINE POST OFFICE,1989,99999.9
036007,-23.55,145.29,BARCALDINE POST OFFICE,1990,99999.9
036007,-23.55,145.29,BARCALDINE POST OFFICE,1991,2.5
036007,-23.55,145.29,BARCALDINE POST OFFICE,1992,2.4
036007,-23.55,145.29,BARCALDINE POST OFFICE,1993,2.8
036007,-23.55,145.29,BARCALDINE POST OFFICE,1994,2.2
036007,-23.55,145.29,BARCALDINE POST OFFICE,1995,2.5
