station_number,lat,long,station_name,year,evaporation
029004,-17.74,139.55,BURKETOWN POST OFFICE,1970,99999.9
029004,-17.74,139.55,BURKETOWN POST OFFICE,1971,2718.7
029004,-17.74,139.55,BURKETOWN POST OFFICE,1972,2826.7
029004,-17.74,139.55,BURKETOWN POST OFFICE,1973,99999.9
029004,-17.74,139.55,BURKETOWN POST OFFICE,1974,99999.9
029004,-17.74,139.55,BURKETOWN POST OFFICE,1975,99999.9
029004,-17.74,139.55,BURKETOWN POST OFFICE,1976,99999.9
029004,-17.74,139.55,BURKETOWN POST OFFICE,1977,99999.9
029004,-17.74,139.55,BURKETOWN POST OFFICE,1978,99999.9
029004,-17.74,139.55,BURKETOWN POST OFFICE,1979,99999.9
029004,-17.74,139.55,BURKETOWN POST OFFICE,1980,99999.9
029004,-17.74,139.55,BURKETOWN POST OFFICE,1981,2550.4
029004,-17.74,139.55,BURKETOWN POST OFFICE,1982,99999.9
029004,-17.74,139.55,BURKETOWN POST OFFICE,1983,2918.0
029004,-17.74,139.55,BURKETOWN POST OFFICE,1984,99999.9
029004,-17.74,139.55,BURKETOWN POST OFFICE,1985,2625.6
029004,-17.74,139.55,BURKETOWN POST OFFICE,1986,99999.9
029004,-17.74,139.55,BURKETOWN POST OFFICE,1987,2511.1
029004,-17.74,139.55,BURKETOWN POST OFFICE,1988,2423.5
029004,-17.74,139.55,BURKETOWN POST OFFICE,1989,2455.0
029004,-17.74,139.55,BURKETOWN POST OFFICE,1990,2649.1
029004,-17.74,139.55,BURKETOWN POST OFFICE,1991,2250.1
029004,-17.74,139.55,BURKETOWN POST OFFICE,1992,2446.0
029004,-17.74,139.55,BURKETOWN POST OFFICE,1993,2239.5
029004,-17.74,139.55,BURKETOWN POST OFFICE,1994,2397.7
029004,-17.74,139.55,BURKETOWN POST OFFICE,1995,2417.4
029004,-17.74,139.55,BURKETOWN POST OFFICE,1996,2400.0
029004,-17.74,139.55,BURKETOWN POST OFFICE,1997,2315.0
029004,-17.74,139.55,BURKETOWN POST OFFICE,1998,99999.9
029004,-17.74,139.55,BURKETOWN POST OFFICE,1999,2019.8
029004,-17.74,139.55,BURKETOWN POST OFFICE,2000,99999.9
029004,-17.74,139.55,BURKETOWN POST OFFICE,2001,2223.5
029004,-17.74,139.55,BURKETOWN POST OFFICE,2002,2277.0
029004,-17.74,139.55,BURKETOWN POST OFFICE,2003,2256.4
029004,-17.74,139.55,BURKETOWN POST OFFICE,2004,2282.1
029004,-17.74,139.55,BURKETOWN POST OFFICE,2005,2230.3
029004,-17.74,139.55,BURKETOWN POST OFFICE,2006,2051.2
029004,-17.74,139.55,BURKETOWN POST OFFICE,2007,2272.5
029004,-17.74,139.55,BURKETOWN POST OFFICE,2008,2434.3
029004,-17.74,139.55,BURKETOWN POST OFFICE,2009,2216.9
029004,-17.74,139.55,BURKETOWN POST OFFICE,2010,2060.1
029004,-17.74,139.55,BURKETOWN POST OFFICE,2011,1882.1
029004,-17.74,139.55,BURKETOWN POST OFFICE,2012,2035.6
029004,-17.74,139.55,BURKETOWN POST OFFICE,2013,2176.8
029004,-17.74,139.55,BURKETOWN POST OFFICE,2014,2041.2
029004,-17.74,139.55,BURKETOWN POST OFFICE,2015,2368.2
029004,-17.74,139.55,BURKETOWN POST OFFICE,2016,2117.7
015666,-20.18,130.01,RABBIT FLAT,1970,3857.0
015666,-20.18,130.01,RABBIT FLAT,1971,3715.8
015666,-20.18,130.01,RABBIT FLAT,1972,3531.3
015666,-20.18,130.01,RABBIT FLAT,1973,2932.0
015666,-20.18,130.01,RABBIT FLAT,1974,2433.8
015666,-20.18,130.01,RABBIT FLAT,1975,2822.2
015666,-20.18,130.01,RABBIT FLAT,1976,3131.0
015666,-20.18,130.01,RABBIT FLAT,1977,3144.5
015666,-20.18,130.01,RABBIT FLAT,1978,2927.1
015666,-20.18,130.01,RABBIT FLAT,1979,3207.3
015666,-20.18,130.01,RABBIT FLAT,1980,3261.0
015666,-20.18,130.01,RABBIT FLAT,1981,2876.7
015666,-20.18,130.01,RABBIT FLAT,1982,2658.7
015666,-20.18,130.01,RABBIT FLAT,1983,2693.5
015666,-20.18,130.01,RABBIT FLAT,1984,2753.4
015666,-20.18,130.01,RABBIT FLAT,1985,2929.3
015666,-20.18,130.01,RABBIT FLAT,1986,2794.9
015666,-20.18,130.01,RABBIT FLAT,1987,2365.9
015666,-20.18,130.01,RABBIT FLAT,1988,2543.1
015666,-20.18,130.01,RABBIT FLAT,1989,2723.5
015666,-20.18,130.01,RABBIT FLAT,1990,2877.3
015666,-20.18,130.01,RABBIT FLAT,1991,2627.9
015666,-20.18,130.01,RABBIT FLAT,1992,3033.3
015666,-20.18,130.01,RABBIT FLAT,1993,2475.9
015666,-20.18,130.01,RABBIT FLAT,1994,2627.5
015666,-20.18,130.01,RABBIT FLAT,1995,2663.3
015666,-20.18,130.01,RABBIT FLAT,1996,3002.6
015666,-20.18,130.01,RABBIT FLAT,1997,3065.1
015666,-20.18,130.01,RABBIT FLAT,1998,3273.4
015666,-20.18,130.01,RABBIT FLAT,1999,2988.3
015666,-20.18,130.01,RABBIT FLAT,2000,2544.0
015666,-20.18,130.01,RABBIT FLAT,2001,2393.2
015666,-20.18,130.01,RABBIT FLAT,2002,3081.4
015666,-20.18,130.01,RABBIT FLAT,2003,2960.6
015666,-20.18,130.01,RABBIT FLAT,2004,2973.8
015666,-20.18,130.01,RABBIT FLAT,2005,3421.5
015666,-20.18,130.01,RABBIT FLAT,2006,2554.5
015666,-20.18,130.01,RABBIT FLAT,2007,2597.9
015666,-20.18,130.01,RABBIT FLAT,2008,2959.0
015666,-20.18,130.01,RABBIT FLAT,2009,3309.8
015666,-20.18,130.01,RABBIT FLAT,2010,2558.6
015666,-20.18,130.01,RABBIT FLAT,2011,2327.1
015666,-20.18,130.01,RABBIT FLAT,2012,2640.7
015666,-20.18,130.01,RABBIT FLAT,2013,2846.8
007045,-26.61,118.54,MEEKATHARRA AIRPORT,1967,3839.2
007045,-26.61,118.54,MEEKATHARRA AIRPORT,1968,3453.3
007045,-26.61,118.54,MEEKATHARRA AIRPORT,1969,3677.8
007045,-26.61,118.54,MEEKATHARRA AIRPORT,1970,3643.6
007045,-26.61,118.54,MEEKATHARRA AIRPORT,1971,3335.0
007045,-26.61,118.54,MEEKATHARRA AIRPORT,1972,3584.0
007045,-26.61,118.54,MEEKATHARRA AIRPORT,1973,3162.6
007045,-26.61,118.54,MEEKATHARRA AIRPORT,1974,3439.1
007045,-26.61,118.54,MEEKATHARRA AIRPORT,1975,3282.6
007045,-26.61,118.54,MEEKATHARRA AIRPORT,1976,3857.2
007045,-26.61,118.54,MEEKATHARRA AIRPORT,1977,4060.7
007045,-26.61,118.54,MEEKATHARRA AIRPORT,1978,3704.7
007045,-26.61,118.54,MEEKATHARRA AIRPORT,1979,3933.9
007045,-26.61,118.54,MEEKATHARRA AIRPORT,1980,3618.6
007045,-26.61,118.54,MEEKATHARRA AIRPORT,1981,3800.8
007045,-26.61,118.54,MEEKATHARRA AIRPORT,1982,3443.6
007045,-26.61,118.54,MEEKATHARRA AIRPORT,1983,3680.4
007045,-26.61,118.54,MEEKATHARRA AIRPORT,1984,3438.4
007045,-26.61,118.54,MEEKATHARRA AIRPORT,1985,3548.7
007045,-26.61,118.54,MEEKATHARRA AIRPORT,1986,3343.0
007045,-26.61,118.54,MEEKATHARRA AIRPORT,1987,3325.0
007045,-26.61,118.54,MEEKATHARRA AIRPORT,1988,3449.4
007045,-26.61,118.54,MEEKATHARRA AIRPORT,1989,3371.0
007045,-26.61,118.54,MEEKATHARRA AIRPORT,1990,3423.4
007045,-26.61,118.54,MEEKATHARRA AIRPORT,1991,3725.4
007045,-26.61,118.54,MEEKATHARRA AIRPORT,1992,3119.2
007045,-26.61,118.54,MEEKATHARRA AIRPORT,1993,3317.3
007045,-26.61,118.54,MEEKATHARRA AIRPORT,1994,3813.0
007045,-26.61,118.54,MEEKATHARRA AIRPORT,1995,3176.0
007045,-26.61,118.54,MEEKATHARRA AIRPORT,1996,3479.4
