EVAP       009021 19681001 20161231 missing_value=99999.9 PERTH AIRPORT                             
19690101 19691231  2274.9
19700101 19701231  2206.7
19710101 19711231  1971.4
19720101 19721231  2130.8
19730101 19731231  2033.9
19740101 19741231  1990.3
19750101 19751231  2058.9
19760101 19761231  1990.1
19770101 19771231  2054.0
19780101 19781231  2116.9
19790101 19791231  1912.1
19800101 19801231  1932.9
19810101 19811231  1929.0
19820101 19821231  1960.4
19830101 19831231  2062.5
19840101 19841231  2018.1
19850101 19851231  2048.0
19860101 19861231  1842.5
19870101 19871231  1928.7
19880101 19881231  2141.4
19890101 19891231  2037.0
19900101 19901231  1853.7
19910101 19911231  2058.1
19920101 19921231  1900.1
19930101 19931231  2043.2
19940101 19941231  2260.7
19950101 19951231  2238.5
19960101 19961231  2331.5
19970101 19971231  2138.2
19980101 19981231  2108.7
19990101 19991231  2085.8
20000101 20001231  2113.6
20010101 20011231  1985.8
20020101 20021231  2092.3
20030101 20031231  1982.2
20040101 20041231  2013.8
20050101 20051231  1832.4
20060101 20061231  1933.6
20070101 20071231  1959.4
20080101 20081231  1988.8
20090101 20091231  2070.6
20100101 20101231  2132.6
20110101 20111231  2134.8
20120101 20121231  2051.0
20130101 20131231  2052.4
20140101 20141231  2120.8
20150101 20151231  2130.3
20160101 20161231  2010.7
