EVAP       009789 19690701 20161231 missing_value=99999.9 ESPERANCE                                 
19700101 19701231  1721.9
19710101 19711231  1620.8
19720101 19721231  1769.5
19730101 19731231  1633.9
19740101 19741231  1503.3
19750101 19751231  1656.2
19760101 19761231  1613.4
19770101 19771231  1637.0
19780101 19781231  1733.5
19790101 19791231  1596.4
19800101 19801231  1667.7
19810101 19811231  1638.7
19820101 19821231  1613.8
19830101 19831231  1573.8
19840101 19841231  1573.8
19850101 19851231  1622.8
19860101 19861231  1565.5
19870101 19871231  1651.2
19880101 19881231  1745.2
19890101 19891231  1689.4
19900101 19901231  1616.6
19910101 19911231  1764.2
19920101 19921231  1455.6
19930101 19931231  1617.8
19940101 19941231  1768.2
19950101 19951231  1701.4
19960101 19961231  1725.4
19970101 19971231  1639.7
19980101 19981231  1651.8
19990101 19991231  1596.0
20000101 20001231  1654.1
20010101 20011231  1582.8
20020101 20021231  1707.0
20030101 20031231  1675.8
20040101 20041231  1660.2
20050101 20051231  1575.0
20060101 20061231  1642.8
20070101 20071231  1662.6
20080101 20081231  1584.4
20090101 20091231  1604.6
20100101 20101231  1619.9
20110101 20111231  1637.4
20120101 20121231  1785.2
20130101 20131231  1805.6
20140101 20141231  1839.5
20150101 20151231  1820.4
20160101 20161231  1733.4
