EVAP       013017 19670901 20161231 missing_value=99999.9 GILES METEOROLOGICAL OFFICE               
19680101 19681231  3099.7
19690101 19691231  3343.4
19700101 19701231  3746.6
19710101 19711231  3725.7
19720101 19721231  3966.2
19730101 19731231  3486.1
19740101 19741231  2777.3
19750101 19751231  3406.0
19760101 19761231  3561.8
19770101 19771231  3560.8
19780101 19781231  3050.7
19790101 19791231  3383.0
19800101 19801231  3656.7
19810101 19811231  3435.1
19820101 19821231  3120.2
19830101 19831231  3017.6
19840101 19841231  3206.4
19850101 19851231  3805.8
19860101 19861231  3735.8
19870101 19871231  3433.8
19880101 19881231  3530.2
19890101 19891231  3282.8
19900101 19901231  3485.3
19910101 19911231  3862.6
19920101 19921231  3335.4
19930101 19931231  3552.2
19940101 19941231  3842.4
19950101 19951231  3479.5
19960101 19961231  4089.2
19970101 19971231  3629.1
19980101 19981231  3662.2
19990101 19991231  3236.3
20000101 20001231  2917.1
20010101 20011231  2850.9
20020101 20021231  3596.8
20030101 20031231  3769.2
20040101 20041231  3547.2
20050101 20051231  3838.3
20060101 20061231  3556.3
20070101 20071231  3710.3
20080101 20081231  3865.5
20090101 20091231  3926.9
20100101 20101231  3388.2
20110101 20111231  3200.5
20120101 20121231  3494.3
20130101 20131231  3714.3
20140101 20141231  3703.1
20150101 20151231  3641.5
20160101 20161231  3280.8
