EVAP       014508 19860101 20161231 missing_value=99999.9 GOVE AIRPORT                              
19860101 19861231  2046.0
19870101 19871231  2112.6
19880101 19881231  2124.7
19890101 19891231  1935.5
19900101 19901231  2164.2
19910101 19911231  2096.8
19920101 19921231  2062.8
19930101 19931231  2048.7
19940101 19941231  2065.0
19950101 19951231  2052.8
19960101 19961231  2117.1
19970101 19971231  2130.2
19980101 19981231  1964.6
19990101 19991231  1917.4
20000101 20001231  1868.0
20010101 20011231  2075.0
20020101 20021231  2298.4
20030101 20031231  2151.6
20040101 20041231  2139.8
20050101 20051231  2255.7
20060101 20061231  2055.4
20070101 20071231  1931.6
20080101 20081231  2152.8
20090101 20091231  2159.8
20100101 20101231  1907.4
20110101 20111231  1933.8
20120101 20121231  2099.9
20130101 20131231  2278.4
20140101 20141231  2142.6
20150101 20151231  2155.2
20160101 20161231  2280.6
