EVAP       015590 19670101 20161231 missing_value=99999.9 ALLICE SPRINGS AIRPORT                    
19670101 19671231  3188.3
19680101 19681231  2894.5
19690101 19691231  3219.1
19700101 19701231  3493.4
19710101 19711231  3489.9
19720101 19721231  3187.5
19730101 19731231  3059.4
19740101 19741231  2383.2
19750101 19751231  2836.8
19760101 19761231  2808.2
19770101 19771231  3159.1
19780101 19781231  3088.9
19790101 19791231  3297.6
19800101 19801231  3871.1
19810101 19811231  2863.8
19820101 19821231  2511.4
19830101 19831231  2558.5
19840101 19841231  2642.5
19850101 19851231  3183.0
19860101 19861231  3160.8
19870101 19871231  3158.3
19880101 19881231  3064.4
19890101 19891231  3066.6
19900101 19901231  3355.1
19910101 19911231  3405.1
19920101 19921231  3530.7
19930101 19931231  3177.0
19940101 19941231  3559.4
19950101 19951231  3192.4
19960101 19961231  3924.9
19970101 19971231  3080.4
19980101 19981231  3384.5
19990101 19991231  3482.5
20000101 20001231  2608.9
20010101 20011231  2406.2
20020101 20021231  3265.8
20030101 20031231  3426.9
20040101 20041231  3406.5
20050101 20051231  3427.0
20060101 20061231  3624.8
20070101 20071231  3236.2
20080101 20081231  3579.6
20090101 20091231  3678.8
20100101 20101231  2506.4
20110101 20111231  2707.0
20120101 20121231  3174.2
20130101 20131231  3463.0
20140101 20141231  3226.8
20150101 20151231  3226.6
20160101 20161231  2970.4
