EVAP       015666 19690901 20131231 missing_value=99999.9 RABBIT FLAT                               
19700101 19701231  3857.0
19710101 19711231  3715.8
19720101 19721231  3531.3
19730101 19731231  2932.0
19740101 19741231  2433.8
19750101 19751231  2822.2
19760101 19761231  3131.0
19770101 19771231  3144.5
19780101 19781231  2927.1
19790101 19791231  3207.3
19800101 19801231  3261.0
19810101 19811231  2876.7
19820101 19821231  2658.7
19830101 19831231  2693.5
19840101 19841231  2753.4
19850101 19851231  2929.3
19860101 19861231  2794.9
19870101 19871231  2365.9
19880101 19881231  2543.1
19890101 19891231  2723.5
19900101 19901231  2877.3
19910101 19911231  2627.9
19920101 19921231  3033.3
19930101 19931231  2475.9
19940101 19941231  2627.5
19950101 19951231  2663.3
19960101 19961231  3002.6
19970101 19971231  3065.1
19980101 19981231  3273.4
19990101 19991231  2988.3
20000101 20001231  2544.0
20010101 20011231  2393.2
20020101 20021231  3081.4
20030101 20031231  2960.6
20040101 20041231  2973.8
20050101 20051231  3421.5
20060101 20061231  2554.5
20070101 20071231  2597.9
20080101 20081231  2959.0
20090101 20091231  3309.8
20100101 20101231  2558.6
20110101 20111231  2327.1
20120101 20121231  2640.7
20130101 20131231  2846.8
