EVAP       018012 19680301 20131231 missing_value=99999.9 CEDUNA AMO                                
19690101 19691231  2029.0
19700101 19701231  2528.8
19710101 19711231  2220.2
19720101 19721231  2443.4
19730101 19731231  2106.4
19740101 19741231  2014.7
19750101 19751231  2157.7
19760101 19761231  2197.8
19770101 19771231  2504.3
19780101 19781231  2214.2
19790101 19791231  2178.1
19800101 19801231  2337.8
19810101 19811231  2349.8
19820101 19821231  2413.8
19830101 19831231  2059.4
19840101 19841231  2146.9
19850101 19851231  2172.0
19860101 19861231  2183.6
19870101 19871231  2168.8
19880101 19881231  2286.2
19890101 19891231  2254.4
19900101 19901231  2181.2
19910101 19911231  2220.5
19920101 19921231  1883.8
19930101 19931231  2106.6
19940101 19941231  2350.6
19950101 19951231  2139.7
19960101 19961231  2334.4
19970101 19971231  2210.6
19980101 19981231  2240.4
19990101 19991231  2324.8
20000101 20001231  2259.2
20010101 20011231  2260.9
20020101 20021231  2498.6
20030101 20031231  2374.3
20040101 20041231  2347.6
20050101 20051231  2484.8
20060101 20061231  2397.4
20070101 20071231  2495.8
20080101 20081231  2537.5
20090101 20091231  2580.6
20100101 20101231  2192.0
20110101 20111231  2167.4
20120101 20121231  2493.7
20130101 20131231  2540.4
