EVAP       023090 19670101 20141231 missing_value=99999.9 ADELAIDE                                  
19670101 19671231  1513.8
19680101 19681231  1438.0
19690101 19691231  1350.7
19700101 19701231  1432.1
19710101 19711231  1380.0
19720101 19721231  1513.0
19730101 19731231  1418.6
19740101 19741231  1385.0
19750101 19751231  1458.3
19760101 19761231  1459.8
19770101 19771231  1488.5
19780101 19781231  1532.6
19790101 19791231  1556.8
19800101 19801231  1616.4
19810101 19811231  1542.0
19820101 19821231  1570.8
19830101 19831231  1445.8
19840101 19841231  1459.6
19850101 19851231  1422.2
19860101 19861231  1406.0
19870101 19871231  1381.3
19880101 19881231  1454.0
19890101 19891231  1415.8
19900101 19901231  1405.1
19910101 19911231  1498.4
19920101 19921231  1268.1
19930101 19931231  1425.4
19940101 19941231  1434.8
19950101 19951231  1372.0
19960101 19961231  1439.0
19970101 19971231  1411.0
19980101 19981231  1395.2
19990101 19991231  1485.0
20000101 20001231  1485.8
20010101 20011231  1387.0
20020101 20021231  1402.6
20030101 20031231  1415.8
20040101 20041231  1406.5
20050101 20051231  1396.2
20060101 20061231  1524.5
20070101 20071231  1604.8
20080101 20081231  1622.0
20090101 20091231  1652.2
20100101 20101231  1460.6
20110101 20111231  1361.5
20120101 20121231  1470.6
20130101 20131231  1500.2
20140101 20141231  1460.8
