EVAP       026021 19670101 20151231 missing_value=99999.9 MOUNT GAMBIER AERO                        
19670101 19671231  1750.3
19680101 19681231  1614.8
19690101 19691231  1565.2
19700101 19701231  1539.4
19710101 19711231  1494.6
19720101 19721231  1576.7
19730101 19731231  1392.6
19740101 19741231  1292.7
19750101 19751231  1393.6
19760101 19761231  1356.2
19770101 19771231  1343.3
19780101 19781231  1333.0
19790101 19791231  1389.0
19800101 19801231  1484.4
19810101 19811231  1407.2
19820101 19821231  1460.4
19830101 19831231  1303.6
19840101 19841231  1293.0
19850101 19851231  1245.2
19860101 19861231  1198.2
19870101 19871231  1293.0
19880101 19881231  1295.8
19890101 19891231  1278.0
19900101 19901231  1347.3
19910101 19911231  1227.2
19920101 19921231  1076.6
19930101 19931231  1274.4
19940101 19941231  1302.7
19950101 19951231  1202.2
19960101 19961231  1274.2
19970101 19971231  1258.3
19980101 19981231  1240.0
19990101 19991231  1277.0
20000101 20001231  1325.2
20010101 20011231  1235.7
20020101 20021231  1256.8
20030101 20031231  1227.6
20040101 20041231  1160.0
20050101 20051231  1242.8
20060101 20061231  1300.0
20070101 20071231  1349.4
20080101 20081231  1266.0
20090101 20091231  1263.2
20100101 20101231  1117.2
20110101 20111231  1102.3
20120101 20121231  1364.2
20130101 20131231  1309.5
20140101 20141231  1326.6
20150101 20151231  1351.0
