EVAP       039083 19660101 20161231 missing_value=99999.9 ROCKHAMPTON AERO                          
19660101 19661231  1669.5
19670101 19671231  2248.8
19680101 19681231  2177.8
19690101 19691231  2190.7
19700101 19701231  2120.2
19710101 19711231  1924.1
19720101 19721231  2048.5
19730101 19731231  1774.1
19740101 19741231  1750.6
19750101 19751231  2027.7
19760101 19761231  1964.1
19770101 19771231  2011.9
19780101 19781231  2017.7
19790101 19791231  2243.6
19800101 19801231  2208.9
19810101 19811231  1868.7
19820101 19821231  2168.2
19830101 19831231  1960.1
19840101 19841231  1897.3
19850101 19851231  2058.1
19860101 19861231  2036.9
19870101 19871231  2228.3
19880101 19881231  2219.5
19890101 19891231  1955.4
19900101 19901231  2108.6
19910101 19911231  2099.2
19920101 19921231  2148.6
19930101 19931231  2227.8
19940101 19941231  2487.8
19950101 19951231  2207.5
19960101 19961231  2245.8
19970101 19971231  2272.4
19980101 19981231  2125.0
19990101 19991231  2154.6
20000101 20001231  2062.3
20010101 20011231  2205.8
20020101 20021231  2506.8
20030101 20031231  2287.4
20040101 20041231  2419.6
20050101 20051231  2337.8
20060101 20061231  2250.5
20070101 20071231  2138.6
20080101 20081231  2036.9
20090101 20091231  2328.0
20100101 20101231  1820.2
20110101 20111231  2028.4
20120101 20121231  2106.4
20130101 20131231  2233.0
20140101 20141231  2205.5
20150101 20151231  2294.0
20160101 20161231  2275.2
