EVAP       053115 19680801 20131231 missing_value=99999.9 MOREE AERO                                
19690101 19691231  2310.2
19700101 19701231  2314.7
19710101 19711231  2123.9
19720101 19721231  2389.3
19730101 19731231  2588.2
19740101 19741231  2475.7
19750101 19751231  2362.9
19760101 19761231  2217.5
19770101 19771231  2379.1
19780101 19781231  2203.7
19790101 19791231  2515.3
19800101 19801231  2751.0
19810101 19811231  2456.1
19820101 19821231  2421.3
19830101 19831231  2071.8
19840101 19841231  2018.7
19850101 19851231  2196.5
19860101 19861231  2318.3
19870101 19871231  2300.5
19880101 19881231  2239.6
19890101 19891231  2123.7
19900101 19901231  2210.0
19910101 19911231  2246.1
19920101 19921231  2082.9
19930101 19931231  2268.5
19940101 19941231  2503.4
19950101 19951231  2144.6
19960101 19961231  2265.6
19970101 19971231  2316.9
19980101 19981231  2097.8
19990101 19991231  2007.0
20000101 20001231  2275.8
20010101 20011231  2229.3
20020101 20021231  2790.8
20030101 20031231  2519.2
20040101 20041231  2349.0
20050101 20051231  2470.8
20060101 20061231  2493.4
20070101 20071231  2454.6
20080101 20081231  2229.2
20090101 20091231  2547.4
20100101 20101231  1965.4
20110101 20111231  2183.9
20120101 20121231  2347.9
20130101 20131231  2574.0
