EVAP       059040 19671101 20141231 missing_value=99999.9 COFFS HARBOUR MO                          
19680101 19681231  1720.1
19690101 19691231  1608.3
19700101 19701231  1690.4
19710101 19711231  1634.5
19720101 19721231  1643.9
19730101 19731231  1599.4
19740101 19741231  1637.2
19750101 19751231  1734.2
19760101 19761231  1733.1
19770101 19771231  1815.9
19780101 19781231  1764.1
19790101 19791231  1764.5
19800101 19801231  1939.2
19810101 19811231  1828.5
19820101 19821231  1737.8
19830101 19831231  1680.4
19840101 19841231  1651.0
19850101 19851231  1712.0
19860101 19861231  1804.1
19870101 19871231  1686.3
19880101 19881231  1755.8
19890101 19891231  1683.3
19900101 19901231  1577.6
19910101 19911231  1723.6
19920101 19921231  1504.7
19930101 19931231  1512.7
19940101 19941231  1604.5
19950101 19951231  1465.7
19960101 19961231  1473.1
19970101 19971231  1605.2
19980101 19981231  1495.9
19990101 19991231  1412.4
20000101 20001231  1464.4
20010101 20011231  1521.9
20020101 20021231  1642.8
20030101 20031231  1574.9
20040101 20041231  1513.8
20050101 20051231  1465.1
20060101 20061231  1425.3
20070101 20071231  1393.9
20080101 20081231  1337.2
20090101 20091231  1426.6
20100101 20101231  1340.8
20110101 20111231  1327.8
20120101 20121231  1385.6
20130101 20131231  1358.2
20140101 20141231  1450.5
