EVAP       066037 19740101 20161231 missing_value=99999.9 SYDNEY AIRPORT                            
19740101 19741231  1630.8
19750101 19751231  1728.2
19760101 19761231  1683.8
19770101 19771231  1856.7
19780101 19781231  1737.5
19790101 19791231  1869.4
19800101 19801231  2011.5
19810101 19811231  1803.5
19820101 19821231  1798.4
19830101 19831231  1803.7
19840101 19841231  1749.1
19850101 19851231  1714.5
19860101 19861231  1772.7
19870101 19871231  1688.0
19880101 19881231  1736.9
19890101 19891231  1738.5
19900101 19901231  1763.9
19910101 19911231  1970.6
19920101 19921231  1561.1
19930101 19931231  1724.8
19940101 19941231  1906.6
19950101 19951231  1727.8
19960101 19961231  1853.0
19970101 19971231  1850.4
19980101 19981231  1840.5
19990101 19991231  1700.2
20000101 20001231  1814.7
20010101 20011231  1835.4
20020101 20021231  1913.4
20030101 20031231  1842.5
20040101 20041231  1865.0
20050101 20051231  1846.0
20060101 20061231  1801.8
20070101 20071231  1830.3
20080101 20081231  1729.3
20090101 20091231  1976.9
20100101 20101231  1791.4
20110101 20111231  1826.5
20120101 20121231  1830.2
20130101 20131231  2005.8
20140101 20141231  1912.8
20150101 20151231  1854.0
20160101 20161231  2117.0
