EVAP       085072 19710201 20141231 missing_value=99999.9 EAST SALE AIRPORT                         
19720101 19721231  1580.3
19730101 19731231  1336.8
19740101 19741231  1259.1
19750101 19751231  1263.2
19760101 19761231  1369.4
19770101 19771231  1511.6
19780101 19781231  1240.4
19790101 19791231  1422.6
19800101 19801231  1492.6
19810101 19811231  1413.6
19820101 19821231  1522.5
19830101 19831231  1353.0
19840101 19841231  1330.0
19850101 19851231  1252.5
19860101 19861231  1342.6
19870101 19871231  1388.4
19880101 19881231  1328.3
19890101 19891231  1261.2
19900101 19901231  1275.8
19910101 19911231  1287.1
19920101 19921231  1108.0
19930101 19931231  1223.0
19940101 19941231  1283.9
19950101 19951231  1247.3
19960101 19961231  1260.6
19970101 19971231  1413.5
19980101 19981231  1410.2
19990101 19991231  1334.3
20000101 20001231  1340.3
20010101 20011231  1263.5
20020101 20021231  1362.1
20030101 20031231  1417.4
20040101 20041231  1346.2
20050101 20051231  1348.2
20060101 20061231  1509.7
20070101 20071231  1440.2
20080101 20081231  1383.2
20090101 20091231  1471.8
20100101 20101231  1349.4
20110101 20111231  1247.2
20120101 20121231  1376.1
20130101 20131231  1452.3
20140101 20141231  1388.4
