station_number,lat,long,station_name,year,rainfall
075050,-33.61,146.32,NARADHAN (URALBA),1910,352.6
075050,-33.61,146.32,NARADHAN (URALBA),1911,468.5
075050,-33.61,146.32,NARADHAN (URALBA),1912,388.9
075050,-33.61,146.32,NARADHAN (URALBA),1913,465.4
075050,-33.61,146.32,NARADHAN (URALBA),1914,179.9
075050,-33.61,146.32,NARADHAN (URALBA),1915,286.9
075050,-33.61,146.32,NARADHAN (URALBA),1916,496.7
075050,-33.61,146.32,NARADHAN (URALBA),1917,487.2
075050,-33.61,146.32,NARADHAN (URALBA),1918,269.5
075050,-33.61,146.32,NARADHAN (URALBA),1919,225.4
075050,-33.61,146.32,NARADHAN (URALBA),1920,434.2
075050,-33.61,146.32,NARADHAN (URALBA),1921,480.9
075050,-33.61,146.32,NARADHAN (URALBA),1922,289.3
075050,-33.61,146.32,NARADHAN (URALBA),1923,361.9
075050,-33.61,146.32,NARADHAN (URALBA),1924,552.5
075050,-33.61,146.32,NARADHAN (URALBA),1925,515.4
075050,-33.61,146.32,NARADHAN (URALBA),1926,427.1
075050,-33.61,146.32,NARADHAN (URALBA),1927,267.8
075050,-33.61,146.32,NARADHAN (URALBA),1928,585.5
075050,-33.61,146.32,NARADHAN (URALBA),1929,274.8
075050,-33.61,146.32,NARADHAN (URALBA),1930,492.5
075050,-33.61,146.32,NARADHAN (URALBA),1931,552.2
075050,-33.61,146.32,NARADHAN (URALBA),1932,371.5
075050,-33.61,146.32,NARADHAN (URALBA),1933,364.2
075050,-33.61,146.32,NARADHAN (URALBA),1934,429.7
075050,-33.61,146.32,NARADHAN (URALBA),1935,309.3
075050,-33.61,146.32,NARADHAN (URALBA),1936,516.6
075050,-33.61,146.32,NARADHAN (URALBA),1937,260.8
075050,-33.61,146.32,NARADHAN (URALBA),1938,257.4
075050,-33.61,146.32,NARADHAN (URALBA),1939,662.2
075050,-33.61,146.32,NARADHAN (URALBA),1940,189.6
075050,-33.61,146.32,NARADHAN (URALBA),1941,295.9
075050,-33.61,146.32,NARADHAN (URALBA),1942,307.9
075050,-33.61,146.32,NARADHAN (URALBA),1943,389.1
075050,-33.61,146.32,NARADHAN (URALBA),1944,300.8
075050,-33.61,146.32,NARADHAN (URALBA),1945,277.4
075050,-33.61,146.32,NARADHAN (URALBA),1946,320.7
075050,-33.61,146.32,NARADHAN (URALBA),1947,623.1
075050,-33.61,146.32,NARADHAN (URALBA),1948,393.1
075050,-33.61,146.32,NARADHAN (URALBA),1949,461.4
075050,-33.61,146.32,NARADHAN (URALBA),1950,619.9
075050,-33.61,146.32,NARADHAN (URALBA),1951,319.7
075050,-33.61,146.32,NARADHAN (URALBA),1952,535.4
075050,-33.61,146.32,NARADHAN (URALBA),1953,340.1
075050,-33.61,146.32,NARADHAN (URALBA),1954,496.6
075050,-33.61,146.32,NARADHAN (URALBA),1955,593.6
075050,-33.61,146.32,NARADHAN (URALBA),1956,883.1
075050,-33.61,146.32,NARADHAN (URALBA),1957,236.6
075050,-33.61,146.32,NARADHAN (URALBA),1958,413.2
075050,-33.61,146.32,NARADHAN (URALBA),1959,424.1
075050,-33.61,146.32,NARADHAN (URALBA),1960,474.3
075050,-33.61,146.32,NARADHAN (URALBA),1961,558.8
075050,-33.61,146.32,NARADHAN (URALBA),1962,476.5
075050,-33.61,146.32,NARADHAN (URALBA),1963,574.2
075050,-33.61,146.32,NARADHAN (URALBA),1964,447.8
075050,-33.61,146.32,NARADHAN (URALBA),1965,377.2
075050,-33.61,146.32,NARADHAN (URALBA),1966,484.7
075050,-33.61,146.32,NARADHAN (URALBA),1967,197.2
075050,-33.61,146.32,NARADHAN (URALBA),1968,544.9
075050,-33.61,146.32,NARADHAN (URALBA),1969,631.1
075050,-33.61,146.32,NARADHAN (URALBA),1970,518.9
075050,-33.61,146.32,NARADHAN (URALBA),1971,553.2
075050,-33.61,146.32,NARADHAN (URALBA),1972,393.1
075050,-33.61,146.32,NARADHAN (URALBA),1973,585.5
075050,-33.61,146.32,NARADHAN (URALBA),1974,743.3
