PRCP       002014 19070101 20091231 missing_value=99999.9 KIMBERLEY RES.STATION                     
19070101 19071231   800.4
19080101 19081231   615.1
19090101 19091231   672.4
19100101 19101231  1127.3
19110101 19111231   646.2
19120101 19121231   832.1
19130101 19131231  1028.8
19140101 19141231   790.1
19150101 19151231   699.6
19160101 19161231  1059.1
19170101 19171231   887.0
19180101 19181231   702.4
19190101 19191231  1042.3
19200101 19201231   769.9
19210101 19211231   657.1
19220101 19221231  1035.3
19230101 19231231   752.7
19240101 19241231   400.2
19250101 19251231   825.8
19260101 19261231  1001.9
19270101 19271231   722.5
19280101 19281231   597.0
19290101 19291231   642.1
19300101 19301231   649.7
19310101 19311231   607.2
19320101 19321231   669.1
19330101 19331231   466.5
19340101 19341231   552.2
19350101 19351231   587.8
19360101 19361231   712.7
19370101 19371231   593.3
19380101 19381231   684.8
19390101 19391231   648.5
19400101 19401231   843.5
19410101 19411231   481.3
19420101 19421231  1164.0
19430101 19431231   717.6
19440101 19441231  1088.8
19450101 19451231   780.2
19460101 19461231   872.3
19470101 19471231   791.7
19480101 19481231   489.8
19490101 19491231   907.1
19500101 19501231  1000.0
19510101 19511231   670.9
19520101 19521231   424.2
19530101 19531231   593.4
19540101 19541231   644.8
19550101 19551231   933.5
19560101 19561231   735.8
19570101 19571231   898.0
19580101 19581231   585.7
19590101 19591231  1448.6
19600101 19601231  1140.2
19610101 19611231   580.2
19620101 19621231  1146.8
19630101 19631231   758.0
19640101 19641231   538.9
19650101 19651231   477.7
19660101 19661231   826.4
19670101 19671231   654.6
19680101 19681231  1370.4
19690101 19691231  1073.2
19700101 19701231   430.0
19710101 19711231   744.4
19720101 19721231   607.3
19730101 19731231   914.1
19740101 19741231  1088.0
19750101 19751231   763.0
19760101 19761231   706.4
19770101 19771231   706.3
19780101 19781231   764.8
19790101 19791231   745.2
19800101 19801231   809.3
19810101 19811231   692.3
19820101 19821231   908.0
19830101 19831231   752.6
19840101 19841231   752.7
19850101 19851231   609.2
19860101 19861231   660.4
19870101 19871231  1018.1
19880101 19881231   784.4
19890101 19891231   700.5
19900101 19901231   472.1
19910101 19911231   655.2
19920101 19921231   493.3
19930101 19931231   766.3
19940101 19941231   866.6
19950101 19951231  1097.0
19960101 19961231   963.4
19970101 19971231   781.1
19980101 19981231   720.6
19990101 19991231  1286.2
20000101 20001231  1564.1
20010101 20011231  1484.7
20020101 20021231   738.1
20030101 20031231   729.8
20040101 20041231   760.6
20050101 20051231   833.8
20060101 20061231  1283.8
20070101 20071231   820.2
20080101 20081231  1348.2
20090101 20091231  1070.3
