PRCP       003023 19030101 20051231 missing_value=99999.9 ROEBUCK PLAINS                            
19030101 19031231   449.0
19040101 19041231   721.1
19050101 19051231   299.9
19060101 19061231   545.6
19070101 19071231   637.5
19080101 19081231   671.7
19090101 19091231   496.7
19100101 19101231   494.8
19110101 19111231   315.9
19120101 19121231   639.9
19130101 19131231   306.3
19140101 19141231   885.9
19150101 19151231   669.3
19160101 19161231   707.9
19170101 19171231  1582.4
19180101 19181231   550.5
19190101 19191231   496.9
19200101 19201231   862.4
19210101 19211231   355.0
19220101 19221231   594.7
19230101 19231231   377.1
19240101 19241231   118.5
19250101 19251231   655.6
19260101 19261231  1027.8
19270101 19271231   771.8
19280101 19281231   556.8
19290101 19291231   493.1
19300101 19301231   502.1
19310101 19311231   813.2
19320101 19321231  1213.9
19330101 19331231   466.7
19340101 19341231   735.0
19350101 19351231   592.5
19360101 19361231   346.9
19370101 19371231   502.8
19380101 19381231   340.0
19390101 19391231   586.2
19400101 19401231   918.4
19410101 19411231   424.7
19420101 19421231  1019.2
19430101 19431231   853.6
19440101 19441231   314.4
19450101 19451231   545.9
19460101 19461231   362.1
19470101 19471231   646.6
19480101 19481231   634.8
19490101 19491231   467.9
19500101 19501231   437.1
19510101 19511231   388.2
19520101 19521231   342.1
19530101 19531231   308.9
19540101 19541231   691.8
19550101 19551231   672.2
19560101 19561231   544.6
19570101 19571231   556.4
19580101 19581231   190.6
19590101 19591231   140.0
19600101 19601231   440.9
19610101 19611231   329.9
19620101 19621231   995.8
19630101 19631231   520.0
19640101 19641231   734.3
19650101 19651231   346.0
19660101 19661231   398.2
19670101 19671231   734.6
19680101 19681231   980.5
19690101 19691231   418.0
19700101 19701231   630.4
19710101 19711231   569.8
19720101 19721231   251.3
19730101 19731231   729.0
19740101 19741231  1455.0
19750101 19751231   446.0
19760101 19761231   893.3
19770101 19771231   408.2
19780101 19781231  1160.6
19790101 19791231   503.6
19800101 19801231   521.1
19810101 19811231  1281.6
19820101 19821231  1104.7
19830101 19831231   369.7
19840101 19841231   632.9
19850101 19851231   354.5
19860101 19861231   266.9
19870101 19871231   580.8
19880101 19881231   523.0
19890101 19891231 99999.9
19900101 19901231   207.4
19910101 19911231   862.3
19920101 19921231   244.9
19930101 19931231   882.7
19940101 19941231   557.2
19950101 19951231   602.8
19960101 19961231   631.6
19970101 19971231  1231.3
19980101 19981231   877.3
19990101 19991231   828.4
20000101 20001231  1266.5
20010101 20011231   742.2
20020101 20021231   542.2
20030101 20031231   673.7
20040101 20041231   973.8
20050101 20051231   629.0
