PRCP       003030 18910101 20171231 missing_value=99999.9 BIDYADANGA                                
18910101 18911231    66.6
18920101 18921231   325.2
18930101 18931231   474.4
18940101 18941231   526.0
18950101 18951231   320.1
18960101 18961231   746.3
18970101 18971231   523.9
18980101 18981231   969.6
18990101 18991231   659.6
19000101 19001231   389.1
19010101 19011231   643.2
19020101 19021231   690.7
19030101 19031231   343.4
19040101 19041231   430.6
19050101 19051231   241.1
19060101 19061231   639.0
19070101 19071231   573.3
19080101 19081231   435.4
19090101 19091231   398.2
19100101 19101231   400.5
19110101 19111231   332.4
19120101 19121231   610.4
19130101 19131231   295.5
19140101 19141231   594.1
19150101 19151231   569.9
19160101 19161231   481.6
19170101 19171231   521.4
19180101 19181231   716.8
19190101 19191231   433.0
19200101 19201231   336.8
19210101 19211231   410.7
19220101 19221231   420.2
19230101 19231231   438.4
19240101 19241231    55.9
19250101 19251231   518.4
19260101 19261231  1046.5
19270101 19271231   835.9
19280101 19281231   304.1
19290101 19291231   250.5
19300101 19301231   389.7
19310101 19311231   647.7
19320101 19321231   649.4
19330101 19331231   350.4
19340101 19341231   808.6
19350101 19351231   471.7
19360101 19361231   302.8
19370101 19371231   235.8
19380101 19381231   368.0
19390101 19391231   273.3
19400101 19401231   506.4
19410101 19411231   281.3
19420101 19421231   951.1
19430101 19431231   570.0
19440101 19441231   177.3
19450101 19451231   306.6
19460101 19461231   273.2
19470101 19471231   456.8
19480101 19481231   548.9
19490101 19491231   354.9
19500101 19501231   445.4
19510101 19511231   179.5
19520101 19521231   163.3
19530101 19531231   215.0
19540101 19541231   589.4
19550101 19551231   518.5
19560101 19561231   673.1
19570101 19571231   553.4
19580101 19581231    81.1
19590101 19591231   144.5
19600101 19601231   480.4
19610101 19611231   245.7
19620101 19621231   785.8
19630101 19631231   548.6
19640101 19641231   903.7
19650101 19651231   318.5
19660101 19661231   395.3
19670101 19671231   440.4
19680101 19681231   755.9
19690101 19691231   365.3
19700101 19701231   428.2
19710101 19711231   856.7
19720101 19721231   292.3
19730101 19731231   446.4
19740101 19741231   855.0
19750101 19751231   406.6
19760101 19761231   565.8
19770101 19771231   489.8
19780101 19781231   762.2
19790101 19791231   398.2
19800101 19801231   596.4
19810101 19811231   842.0
19820101 19821231  1048.5
19830101 19831231   646.0
19840101 19841231   685.8
19850101 19851231   436.1
19860101 19861231   213.2
19870101 19871231   293.3
19880101 19881231   588.8
19890101 19891231   369.9
19900101 19901231   199.6
19910101 19911231   784.8
19920101 19921231   196.6
19930101 19931231   716.0
19940101 19941231   704.7
19950101 19951231   538.9
19960101 19961231   419.0
19970101 19971231   924.4
19980101 19981231   527.8
19990101 19991231   856.1
20000101 20001231  1542.4
20010101 20011231   677.8
20020101 20021231   471.5
20030101 20031231   369.3
20040101 20041231   888.1
20050101 20051231   277.7
20060101 20061231   471.4
20070101 20071231   605.1
20080101 20081231   550.2
20090101 20091231   425.1
20100101 20101231   376.3
20110101 20111231   674.6
20120101 20121231  1021.8
20130101 20131231   741.1
20140101 20141231   431.2
20150101 20151231   368.3
20160101 20161231   704.1
20170101 20171231   642.9
