PRCP       004035 18870101 20141231 missing_value=99999.9 ROEBOURNE                                 
18870101 18871231   286.2
18880101 18881231   258.7
18890101 18891231   298.5
18900101 18901231   244.4
18910101 18911231     3.4
18920101 18921231   212.9
18930101 18931231   426.2
18940101 18941231   448.4
18950101 18951231   272.6
18960101 18961231   292.4
18970101 18971231   256.8
18980101 18981231   581.7
18990101 18991231   460.1
19000101 19001231  1059.9
19010101 19011231   211.7
19020101 19021231   279.7
19030101 19031231   224.6
19040101 19041231   255.4
19050101 19051231   161.6
19060101 19061231   239.5
19070101 19071231   417.2
19080101 19081231   260.0
19090101 19091231   286.7
19100101 19101231   321.8
19110101 19111231   127.2
19120101 19121231   256.2
19130101 19131231   250.1
19140101 19141231   115.3
19150101 19151231   370.1
19160101 19161231   426.7
19170101 19171231   420.3
19180101 19181231   360.8
19190101 19191231   148.8
19200101 19201231   169.0
19210101 19211231   577.8
19220101 19221231    90.1
19230101 19231231   425.8
19240101 19241231     9.4
19250101 19251231   132.2
19260101 19261231   403.8
19270101 19271231   128.4
19280101 19281231   283.4
19290101 19291231   446.6
19300101 19301231   306.0
19310101 19311231   363.6
19320101 19321231   127.2
19330101 19331231   402.2
19340101 19341231   833.0
19350101 19351231   183.9
19360101 19361231    52.0
19370101 19371231   256.9
19380101 19381231    84.8
19390101 19391231   368.3
19400101 19401231   215.2
19410101 19411231   189.7
19420101 19421231   650.3
19430101 19431231   481.0
19440101 19441231    52.8
19450101 19451231   550.5
19460101 19461231   606.0
19470101 19471231   308.9
19480101 19481231   390.2
19490101 19491231   173.6
19500101 19501231   193.2
19510101 19511231   278.5
19520101 19521231   253.2
19530101 19531231    96.2
19540101 19541231   513.5
19550101 19551231   429.4
19560101 19561231   529.4
19570101 19571231   199.8
19580101 19581231   563.6
19590101 19591231    80.6
19600101 19601231   418.9
19610101 19611231   600.5
19620101 19621231   187.7
19630101 19631231   656.3
19640101 19641231   173.2
19650101 19651231   156.3
19660101 19661231   575.3
19670101 19671231   408.3
19680101 19681231   426.3
19690101 19691231    99.5
19700101 19701231   307.6
19710101 19711231   500.3
19720101 19721231    95.6
19730101 19731231   626.0
19740101 19741231   342.4
19750101 19751231   279.4
19760101 19761231   291.7
19770101 19771231   195.2
19780101 19781231   315.6
19790101 19791231   116.3
19800101 19801231   357.0
19810101 19811231   363.7
19820101 19821231   218.7
19830101 19831231    51.8
19840101 19841231   320.6
19850101 19851231   202.6
19860101 19861231   162.9
19870101 19871231 99999.9
19880101 19881231   314.9
19890101 19891231   467.8
19900101 19901231   169.2
19910101 19911231   203.1
19920101 19921231   211.1
19930101 19931231   229.4
19940101 19941231   183.0
19950101 19951231   420.0
19960101 19961231   238.7
19970101 19971231   356.4
19980101 19981231   316.5
19990101 19991231   565.2
20000101 20001231   469.0
20010101 20011231   194.6
20020101 20021231    71.2
20030101 20031231   187.2
20040101 20041231   435.5
20050101 20051231   145.6
20060101 20061231   778.6
20070101 20071231   219.4
20080101 20081231   259.6
20090101 20091231   365.8
20100101 20101231    92.1
20110101 20111231   489.8
20120101 20121231   344.4
20130101 20131231   721.6
20140101 20141231   187.9
