PRCP       005008 18910101 20171231 missing_value=99999.9 MARDIE                                    
18910101 18911231     9.9
18920101 18921231   134.9
18930101 18931231   210.8
18940101 18941231    64.5
18950101 18951231    87.6
18960101 18961231   148.6
18970101 18971231   183.6
18980101 18981231   144.6
18990101 18991231   299.7
19000101 19001231   568.6
19010101 19011231    75.7
19020101 19021231   130.1
19030101 19031231   116.6
19040101 19041231   234.0
19050101 19051231   102.7
19060101 19061231   224.6
19070101 19071231   291.5
19080101 19081231   239.4
19090101 19091231   402.6
19100101 19101231   171.0
19110101 19111231   118.1
19120101 19121231    56.6
19130101 19131231   212.3
19140101 19141231   155.1
19150101 19151231   440.0
19160101 19161231   273.7
19170101 19171231   450.4
19180101 19181231   387.4
19190101 19191231    22.4
19200101 19201231   216.6
19210101 19211231   454.4
19220101 19221231   105.9
19230101 19231231   346.9
19240101 19241231    32.2
19250101 19251231   227.7
19260101 19261231   178.4
19270101 19271231   181.5
19280101 19281231   201.2
19290101 19291231   343.5
19300101 19301231   392.3
19310101 19311231   314.5
19320101 19321231   105.5
19330101 19331231   310.9
19340101 19341231   647.2
19350101 19351231   123.4
19360101 19361231     8.7
19370101 19371231   269.0
19380101 19381231   128.1
19390101 19391231   342.3
19400101 19401231   156.8
19410101 19411231   208.4
19420101 19421231   452.4
19430101 19431231   319.5
19440101 19441231    55.2
19450101 19451231   495.5
19460101 19461231   623.4
19470101 19471231   348.3
19480101 19481231   356.7
19490101 19491231   316.4
19500101 19501231   166.9
19510101 19511231   450.9
19520101 19521231   425.1
19530101 19531231   181.6
19540101 19541231   252.3
19550101 19551231   275.6
19560101 19561231   245.6
19570101 19571231   121.2
19580101 19581231   571.1
19590101 19591231    80.5
19600101 19601231   189.5
19610101 19611231   654.0
19620101 19621231    98.1
19630101 19631231   612.6
19640101 19641231   218.9
19650101 19651231   430.5
19660101 19661231   197.1
19670101 19671231   366.2
19680101 19681231   371.0
19690101 19691231   222.5
19700101 19701231   368.8
19710101 19711231   389.1
19720101 19721231   166.8
19730101 19731231   757.1
19740101 19741231   367.0
19750101 19751231   248.4
19760101 19761231   234.4
19770101 19771231   205.8
19780101 19781231   184.2
19790101 19791231   153.2
19800101 19801231   501.1
19810101 19811231   284.2
19820101 19821231   227.8
19830101 19831231    83.5
19840101 19841231   385.3
19850101 19851231   193.3
19860101 19861231   324.0
19870101 19871231   164.8
19880101 19881231   327.2
19890101 19891231   387.1
19900101 19901231   219.5
19910101 19911231   172.6
19920101 19921231   303.6
19930101 19931231   353.9
19940101 19941231   125.7
19950101 19951231   856.6
19960101 19961231   343.0
19970101 19971231   368.8
19980101 19981231   349.4
19990101 19991231   471.4
20000101 20001231   370.2
20010101 20011231   215.4
20020101 20021231    88.0
20030101 20031231   257.6
20040101 20041231   326.0
20050101 20051231   223.0
20060101 20061231   605.6
20070101 20071231    68.8
20080101 20081231   309.8
20090101 20091231   572.9
20100101 20101231   100.7
20110101 20111231   886.2
20120101 20121231   163.8
20130101 20131231   348.7
20140101 20141231   129.9
20150101 20151231   233.0
20160101 20161231   337.0
20170101 20171231   440.6
