PRCP       006011 19000101 20171231 missing_value=99999.9 CARNARVON AIRPORT                         
19000101 19001231   346.6
19010101 19011231   107.2
19020101 19021231   239.1
19030101 19031231   215.0
19040101 19041231   256.9
19050101 19051231   251.1
19060101 19061231   154.5
19070101 19071231   234.2
19080101 19081231   262.0
19090101 19091231   217.5
19100101 19101231   306.3
19110101 19111231    91.7
19120101 19121231    77.3
19130101 19131231   141.4
19140101 19141231   207.5
19150101 19151231   414.9
19160101 19161231   321.9
19170101 19171231   336.0
19180101 19181231   390.0
19190101 19191231   144.0
19200101 19201231   191.8
19210101 19211231   448.0
19220101 19221231   180.3
19230101 19231231   456.0
19240101 19241231   107.2
19250101 19251231   145.5
19260101 19261231   162.2
19270101 19271231   289.3
19280101 19281231   147.1
19290101 19291231   280.7
19300101 19301231   222.1
19310101 19311231   141.1
19320101 19321231   312.5
19330101 19331231   170.1
19340101 19341231   209.8
19350101 19351231   199.1
19360101 19361231    94.2
19370101 19371231   155.0
19380101 19381231    72.1
19390101 19391231   134.2
19400101 19401231   156.8
19410101 19411231   234.1
19420101 19421231   236.1
19430101 19431231   295.1
19440101 19441231   115.4
19450101 19451231   159.0
19460101 19461231   188.9
19470101 19471231   242.4
19480101 19481231   152.4
19490101 19491231   348.0
19500101 19501231   119.2
19510101 19511231   248.3
19520101 19521231   300.2
19530101 19531231   400.1
19540101 19541231   123.1
19550101 19551231   113.5
19560101 19561231   233.0
19570101 19571231   205.0
19580101 19581231   297.4
19590101 19591231   106.9
19600101 19601231   307.6
19610101 19611231   186.9
19620101 19621231   168.9
19630101 19631231   556.6
19640101 19641231   238.9
19650101 19651231   368.7
19660101 19661231    75.3
19670101 19671231   299.2
19680101 19681231   127.2
19690101 19691231    92.4
19700101 19701231   292.9
19710101 19711231   292.4
19720101 19721231   302.2
19730101 19731231   122.6
19740101 19741231   394.5
19750101 19751231   484.6
19760101 19761231   139.0
19770101 19771231   174.6
19780101 19781231   187.0
19790101 19791231    86.6
19800101 19801231   322.6
19810101 19811231   181.4
19820101 19821231   146.6
19830101 19831231   208.0
19840101 19841231   351.6
19850101 19851231   201.6
19860101 19861231   209.8
19870101 19871231   102.8
19880101 19881231   108.4
19890101 19891231   160.0
19900101 19901231   205.0
19910101 19911231   251.0
19920101 19921231   250.4
19930101 19931231   164.8
19940101 19941231   134.4
19950101 19951231   268.4
19960101 19961231   335.8
19970101 19971231   319.4
19980101 19981231   371.6
19990101 19991231   268.8
20000101 20001231   339.8
20010101 20011231   105.4
20020101 20021231   114.8
20030101 20031231   106.8
20040101 20041231   339.8
20050101 20051231   320.4
20060101 20061231    77.8
20070101 20071231   191.4
20080101 20081231   329.6
20090101 20091231   108.6
20100101 20101231   367.6
20110101 20111231   399.0
20120101 20121231   173.2
20130101 20131231    79.2
20140101 20141231    89.8
20150101 20151231   207.5
20160101 20161231   119.2
20170101 20171231   109.5
