PRCP       006048 19040101 20041231 missing_value=99999.9 TWIN PEAKS                                
19040101 19041231   178.5
19050101 19051231   259.3
19060101 19061231   166.8
19070101 19071231   206.4
19080101 19081231   333.7
19090101 19091231   260.0
19100101 19101231   294.1
19110101 19111231   121.0
19120101 19121231   157.6
19130101 19131231   221.3
19140101 19141231   166.4
19150101 19151231   434.0
19160101 19161231   204.3
19170101 19171231   363.5
19180101 19181231   275.7
19190101 19191231   124.2
19200101 19201231   135.2
19210101 19211231   238.8
19220101 19221231    90.8
19230101 19231231   258.6
19240101 19241231   108.4
19250101 19251231   227.0
19260101 19261231   310.8
19270101 19271231   284.5
19280101 19281231   133.4
19290101 19291231   165.1
19300101 19301231   185.2
19310101 19311231   238.3
19320101 19321231   215.2
19330101 19331231   183.3
19340101 19341231   285.5
19350101 19351231   145.7
19360101 19361231    83.7
19370101 19371231   113.8
19380101 19381231   161.1
19390101 19391231   242.9
19400101 19401231    73.5
19410101 19411231   148.6
19420101 19421231   210.7
19430101 19431231   160.4
19440101 19441231    97.2
19450101 19451231   307.0
19460101 19461231   103.6
19470101 19471231   244.8
19480101 19481231   228.6
19490101 19491231   152.2
19500101 19501231   106.7
19510101 19511231   269.8
19520101 19521231   151.6
19530101 19531231   259.5
19540101 19541231    97.3
19550101 19551231   148.1
19560101 19561231   135.4
19570101 19571231   164.0
19580101 19581231   269.8
19590101 19591231   104.0
19600101 19601231   226.1
19610101 19611231   167.3
19620101 19621231   230.7
19630101 19631231   402.0
19640101 19641231   223.5
19650101 19651231   242.1
19660101 19661231   246.4
19670101 19671231   196.2
19680101 19681231   330.2
19690101 19691231   125.9
19700101 19701231   190.9
19710101 19711231   212.5
19720101 19721231   158.7
19730101 19731231   183.6
19740101 19741231   431.2
19750101 19751231   468.3
19760101 19761231    29.1
19770101 19771231   107.2
19780101 19781231   240.5
19790101 19791231    74.6
19800101 19801231   174.7
19810101 19811231   149.0
19820101 19821231   132.5
19830101 19831231   290.4
19840101 19841231   334.2
19850101 19851231   146.3
19860101 19861231   235.8
19870101 19871231   193.9
19880101 19881231   248.9
19890101 19891231   127.0
19900101 19901231   215.8
19910101 19911231   132.2
19920101 19921231   339.5
19930101 19931231   199.6
19940101 19941231    89.6
19950101 19951231   238.2
19960101 19961231   319.7
19970101 19971231   275.4
19980101 19981231   279.7
19990101 19991231   249.5
20000101 20001231   269.0
20010101 20011231   279.6
20020101 20021231   105.6
20030101 20031231   122.8
20040101 20041231   187.6
