PRCP       006055 19040101 20171231 missing_value=99999.9 WOOLGORONG                                
19040101 19041231   205.3
19050101 19051231   282.7
19060101 19061231   167.7
19070101 19071231   216.9
19080101 19081231   314.1
19090101 19091231   286.5
19100101 19101231   228.2
19110101 19111231   105.4
19120101 19121231   178.5
19130101 19131231   213.7
19140101 19141231   198.2
19150101 19151231   414.1
19160101 19161231   247.3
19170101 19171231   391.1
19180101 19181231   306.2
19190101 19191231   299.9
19200101 19201231   243.8
19210101 19211231   349.5
19220101 19221231   146.5
19230101 19231231   309.9
19240101 19241231   183.8
19250101 19251231   217.2
19260101 19261231   235.6
19270101 19271231   390.2
19280101 19281231   209.0
19290101 19291231   253.4
19300101 19301231   200.7
19310101 19311231   185.4
19320101 19321231   249.5
19330101 19331231   209.7
19340101 19341231   355.2
19350101 19351231   216.0
19360101 19361231   113.1
19370101 19371231   167.4
19380101 19381231   129.4
19390101 19391231   303.0
19400101 19401231   103.3
19410101 19411231   200.8
19420101 19421231   296.7
19430101 19431231   226.3
19440101 19441231   100.7
19450101 19451231   265.9
19460101 19461231   157.7
19470101 19471231   284.3
19480101 19481231   212.1
19490101 19491231   187.7
19500101 19501231   114.7
19510101 19511231   241.9
19520101 19521231   264.6
19530101 19531231   335.9
19540101 19541231   136.7
19550101 19551231   229.6
19560101 19561231   180.3
19570101 19571231   169.3
19580101 19581231   284.3
19590101 19591231   132.7
19600101 19601231   235.0
19610101 19611231   248.9
19620101 19621231   275.9
19630101 19631231   425.6
19640101 19641231   239.6
19650101 19651231   301.0
19660101 19661231   241.4
19670101 19671231   209.2
19680101 19681231   298.9
19690101 19691231   166.2
19700101 19701231   241.9
19710101 19711231   246.9
19720101 19721231   199.0
19730101 19731231   172.3
19740101 19741231   447.6
19750101 19751231   407.1
19760101 19761231   113.3
19770101 19771231    88.5
19780101 19781231   274.8
19790101 19791231    84.9
19800101 19801231   224.0
19810101 19811231   236.3
19820101 19821231   204.2
19830101 19831231   254.2
19840101 19841231   371.4
19850101 19851231   161.8
19860101 19861231   283.9
19870101 19871231   146.7
19880101 19881231   251.6
19890101 19891231   185.6
19900101 19901231   210.3
19910101 19911231   184.0
19920101 19921231   428.4
19930101 19931231   254.2
19940101 19941231   198.8
19950101 19951231   276.0
19960101 19961231   336.8
19970101 19971231   345.9
19980101 19981231   307.8
19990101 19991231   274.6
20000101 20001231   341.2
20010101 20011231   240.2
20020101 20021231   157.3
20030101 20031231   160.3
20040101 20041231   201.3
20050101 20051231   212.0
20060101 20061231 99999.9
20070101 20071231    96.1
20080101 20081231   311.5
20090101 20091231   169.4
20100101 20101231   253.1
20110101 20111231   300.8
20120101 20121231   161.0
20130101 20131231   112.2
20140101 20141231   199.7
20150101 20151231   348.1
20160101 20161231   254.6
20170101 20171231   267.5
