PRCP       007011 19030101 20151231 missing_value=99999.9 BURNERBINMAH                              
19030101 19031231   179.8
19040101 19041231   214.7
19050101 19051231   222.9
19060101 19061231   200.6
19070101 19071231   201.5
19080101 19081231   292.5
19090101 19091231   363.7
19100101 19101231   208.5
19110101 19111231   102.7
19120101 19121231   168.6
19130101 19131231   158.0
19140101 19141231   201.7
19150101 19151231   338.4
19160101 19161231   169.0
19170101 19171231   432.2
19180101 19181231   444.6
19190101 19191231   278.8
19200101 19201231   102.7
19210101 19211231   357.4
19220101 19221231   192.1
19230101 19231231   202.0
19240101 19241231    95.8
19250101 19251231   327.9
19260101 19261231   316.9
19270101 19271231   276.0
19280101 19281231   228.3
19290101 19291231   226.1
19300101 19301231   197.4
19310101 19311231   175.4
19320101 19321231   192.7
19330101 19331231   283.2
19340101 19341231   249.4
19350101 19351231   267.9
19360101 19361231   134.2
19370101 19371231   150.5
19380101 19381231   124.5
19390101 19391231   299.6
19400101 19401231    86.5
19410101 19411231   204.0
19420101 19421231   228.7
19430101 19431231   203.7
19440101 19441231    72.7
19450101 19451231   222.8
19460101 19461231   174.7
19470101 19471231   226.0
19480101 19481231   268.7
19490101 19491231   170.1
19500101 19501231   142.3
19510101 19511231   309.9
19520101 19521231   229.3
19530101 19531231   415.0
19540101 19541231   111.0
19550101 19551231   253.5
19560101 19561231   155.4
19570101 19571231   170.8
19580101 19581231   282.2
19590101 19591231   136.2
19600101 19601231   342.8
19610101 19611231   230.5
19620101 19621231   216.1
19630101 19631231   451.7
19640101 19641231   232.9
19650101 19651231   237.4
19660101 19661231   190.4
19670101 19671231   218.4
19680101 19681231   257.0
19690101 19691231   137.9
19700101 19701231   262.2
19710101 19711231   131.8
19720101 19721231   159.4
19730101 19731231   212.7
19740101 19741231   323.6
19750101 19751231   359.1
19760101 19761231   140.8
19770101 19771231   135.9
19780101 19781231   249.0
19790101 19791231   100.7
19800101 19801231   235.8
19810101 19811231   225.1
19820101 19821231   199.6
19830101 19831231   185.2
19840101 19841231   339.8
19850101 19851231   210.0
19860101 19861231   248.4
19870101 19871231   181.7
19880101 19881231   252.2
19890101 19891231   194.9
19900101 19901231   292.9
19910101 19911231   181.2
19920101 19921231   537.1
19930101 19931231   294.6
19940101 19941231   186.2
19950101 19951231   450.9
19960101 19961231   404.0
19970101 19971231   346.4
19980101 19981231   263.6
19990101 19991231   450.6
20000101 20001231   285.3
20010101 20011231   463.2
20020101 20021231   184.0
20030101 20031231   240.2
20040101 20041231   151.6
20050101 20051231   253.5
20060101 20061231   326.0
20070101 20071231    98.8
20080101 20081231   439.4
20090101 20091231   254.0
20100101 20101231   265.2
20110101 20111231   417.8
20120101 20121231   221.8
20130101 20131231   293.0
20140101 20141231   255.4
20150101 20151231   304.2
