PRCP       007020 19000101 20031231 missing_value=99999.9 ANNEAN                                    
19000101 19001231   378.2
19010101 19011231    73.6
19020101 19021231   295.7
19030101 19031231   173.0
19040101 19041231   269.5
19050101 19051231   199.3
19060101 19061231   172.5
19070101 19071231   205.2
19080101 19081231   160.4
19090101 19091231   335.8
19100101 19101231   141.7
19110101 19111231   100.1
19120101 19121231   121.9
19130101 19131231   213.0
19140101 19141231   133.2
19150101 19151231   346.5
19160101 19161231   188.3
19170101 19171231   319.3
19180101 19181231   233.0
19190101 19191231    96.6
19200101 19201231   155.7
19210101 19211231   279.7
19220101 19221231   239.3
19230101 19231231   206.2
19240101 19241231   101.9
19250101 19251231   198.2
19260101 19261231   277.6
19270101 19271231   123.6
19280101 19281231   110.1
19290101 19291231   234.2
19300101 19301231   210.0
19310101 19311231   279.3
19320101 19321231   252.7
19330101 19331231   134.9
19340101 19341231   253.2
19350101 19351231   109.6
19360101 19361231    57.7
19370101 19371231   156.6
19380101 19381231    97.0
19390101 19391231   131.3
19400101 19401231    56.5
19410101 19411231    95.6
19420101 19421231   318.8
19430101 19431231    56.0
19440101 19441231    48.3
19450101 19451231   168.4
19460101 19461231    64.9
19470101 19471231   249.6
19480101 19481231   301.0
19490101 19491231   149.3
19500101 19501231    99.6
19510101 19511231   322.2
19520101 19521231   128.5
19530101 19531231   136.6
19540101 19541231   114.4
19550101 19551231   269.3
19560101 19561231    81.1
19570101 19571231   181.4
19580101 19581231   184.2
19590101 19591231    80.3
19600101 19601231   404.3
19610101 19611231   189.7
19620101 19621231   152.4
19630101 19631231   394.9
19640101 19641231   175.8
19650101 19651231   301.4
19660101 19661231   147.7
19670101 19671231   191.4
19680101 19681231   279.3
19690101 19691231    73.0
19700101 19701231   112.1
19710101 19711231   249.5
19720101 19721231   171.7
19730101 19731231   290.5
19740101 19741231   295.9
19750101 19751231   508.0
19760101 19761231    95.8
19770101 19771231   118.8
19780101 19781231   154.9
19790101 19791231    52.8
19800101 19801231   313.6
19810101 19811231   209.8
19820101 19821231   252.2
19830101 19831231   225.0
19840101 19841231   313.0
19850101 19851231   183.2
19860101 19861231   352.8
19870101 19871231   225.2
19880101 19881231   173.2
19890101 19891231   235.8
19900101 19901231   138.2
19910101 19911231    96.8
19920101 19921231   366.0
19930101 19931231   186.0
19940101 19941231   141.4
19950101 19951231   242.4
19960101 19961231   265.6
19970101 19971231   253.8
19980101 19981231   387.2
19990101 19991231   312.8
20000101 20001231   496.0
20010101 20011231   334.8
20020101 20021231   147.2
20030101 20031231   271.8
