PRCP       007095 18990101 20161231 missing_value=99999.9 YOWERAGABBIE                              
18990101 18991231    86.9
19000101 19001231   318.5
19010101 19011231    81.7
19020101 19021231   151.9
19030101 19031231   162.9
19040101 19041231   244.8
19050101 19051231   177.7
19060101 19061231   184.0
19070101 19071231   188.8
19080101 19081231   204.1
19090101 19091231   382.4
19100101 19101231   300.1
19110101 19111231    72.9
19120101 19121231   127.4
19130101 19131231   293.9
19140101 19141231   210.7
19150101 19151231   447.2
19160101 19161231   123.5
19170101 19171231   289.8
19180101 19181231   509.0
19190101 19191231   297.4
19200101 19201231   165.1
19210101 19211231   311.3
19220101 19221231   123.9
19230101 19231231   213.5
19240101 19241231   124.0
19250101 19251231   306.4
19260101 19261231   434.9
19270101 19271231   261.6
19280101 19281231   192.9
19290101 19291231   194.9
19300101 19301231   194.4
19310101 19311231   243.7
19320101 19321231   178.9
19330101 19331231   288.1
19340101 19341231   265.7
19350101 19351231    94.8
19360101 19361231    99.8
19370101 19371231   143.0
19380101 19381231   198.2
19390101 19391231   245.1
19400101 19401231    61.1
19410101 19411231   209.4
19420101 19421231   294.3
19430101 19431231   186.6
19440101 19441231    87.9
19450101 19451231   229.8
19460101 19461231   196.2
19470101 19471231   336.7
19480101 19481231   293.3
19490101 19491231   159.5
19500101 19501231   110.4
19510101 19511231   555.7
19520101 19521231   146.9
19530101 19531231   322.7
19540101 19541231   134.0
19550101 19551231   286.9
19560101 19561231   153.6
19570101 19571231   162.2
19580101 19581231   280.0
19590101 19591231    82.3
19600101 19601231   421.0
19610101 19611231   116.9
19620101 19621231   216.0
19630101 19631231   488.4
19640101 19641231   209.9
19650101 19651231   231.2
19660101 19661231   193.0
19670101 19671231   214.3
19680101 19681231   206.1
19690101 19691231   102.9
19700101 19701231   185.0
19710101 19711231   182.1
19720101 19721231   149.7
19730101 19731231   270.7
19740101 19741231   374.6
19750101 19751231   490.6
19760101 19761231    92.6
19770101 19771231   118.8
19780101 19781231   248.8
19790101 19791231   100.6
19800101 19801231   398.2
19810101 19811231   175.8
19820101 19821231   205.2
19830101 19831231   238.0
19840101 19841231   278.9
19850101 19851231   314.4
19860101 19861231   264.0
19870101 19871231   189.4
19880101 19881231   226.0
19890101 19891231   274.9
19900101 19901231   242.4
19910101 19911231   201.2
19920101 19921231   534.6
19930101 19931231   314.4
19940101 19941231   132.9
19950101 19951231   423.8
19960101 19961231   359.8
19970101 19971231   312.0
19980101 19981231   269.2
19990101 19991231   285.2
20000101 20001231   240.0
20010101 20011231   415.2
20020101 20021231   172.0
20030101 20031231   187.8
20040101 20041231   189.9
20050101 20051231   206.5
20060101 20061231   381.6
20070101 20071231   134.6
20080101 20081231   233.9
20090101 20091231   223.0
20100101 20101231   251.0
20110101 20111231   399.1
20120101 20121231   239.9
20130101 20131231   215.3
20140101 20141231   250.7
20150101 20151231   298.8
20160101 20161231   250.6
