PRCP       007197 18960101 20171231 missing_value=99999.9 CHALLA                                    
18960101 18961231   277.4
18970101 18971231   149.4
18980101 18981231   115.5
18990101 18991231    85.4
19000101 19001231   263.2
19010101 19011231   114.7
19020101 19021231   182.4
19030101 19031231   171.9
19040101 19041231   218.7
19050101 19051231   154.4
19060101 19061231   229.8
19070101 19071231   240.8
19080101 19081231   269.4
19090101 19091231   357.3
19100101 19101231   227.4
19110101 19111231    68.9
19120101 19121231   155.9
19130101 19131231   279.3
19140101 19141231   190.6
19150101 19151231   439.3
19160101 19161231   214.8
19170101 19171231   328.0
19180101 19181231   309.8
19190101 19191231   201.8
19200101 19201231   166.2
19210101 19211231   285.5
19220101 19221231   143.2
19230101 19231231   198.2
19240101 19241231   155.4
19250101 19251231   304.4
19260101 19261231   271.4
19270101 19271231   347.0
19280101 19281231   156.4
19290101 19291231   251.8
19300101 19301231   163.8
19310101 19311231   239.5
19320101 19321231   217.5
19330101 19331231   369.1
19340101 19341231   161.2
19350101 19351231   110.7
19360101 19361231   110.1
19370101 19371231   153.3
19380101 19381231   154.6
19390101 19391231   271.6
19400101 19401231    72.4
19410101 19411231   276.7
19420101 19421231   342.3
19430101 19431231   138.4
19440101 19441231    69.3
19450101 19451231   149.8
19460101 19461231   145.1
19470101 19471231   270.9
19480101 19481231   314.0
19490101 19491231   114.0
19500101 19501231    87.5
19510101 19511231   284.2
19520101 19521231   170.5
19530101 19531231   219.9
19540101 19541231   110.2
19550101 19551231   342.6
19560101 19561231   107.8
19570101 19571231   171.0
19580101 19581231   203.7
19590101 19591231    54.1
19600101 19601231   353.1
19610101 19611231    97.1
19620101 19621231   192.0
19630101 19631231   445.3
19640101 19641231   200.2
19650101 19651231   263.5
19660101 19661231   160.4
19670101 19671231   177.3
19680101 19681231   368.4
19690101 19691231   113.8
19700101 19701231   150.2
19710101 19711231   152.7
19720101 19721231   135.8
19730101 19731231   234.8
19740101 19741231   387.2
19750101 19751231   506.0
19760101 19761231   109.6
19770101 19771231    81.6
19780101 19781231   222.4
19790101 19791231    87.8
19800101 19801231   334.8
19810101 19811231   167.0
19820101 19821231   193.8
19830101 19831231   141.7
19840101 19841231   227.4
19850101 19851231   150.4
19860101 19861231   174.8
19870101 19871231   148.9
19880101 19881231   153.2
19890101 19891231   153.8
19900101 19901231   170.0
19910101 19911231    92.0
19920101 19921231   570.0
19930101 19931231   232.4
19940101 19941231    92.8
19950101 19951231   414.0
19960101 19961231   294.0
19970101 19971231   256.4
19980101 19981231   236.0
19990101 19991231   282.0
20000101 20001231   272.8
20010101 20011231   299.0
20020101 20021231   133.0
20030101 20031231   251.1
20040101 20041231   171.1
20050101 20051231   137.8
20060101 20061231   430.2
20070101 20071231   132.8
20080101 20081231   178.0
20090101 20091231   188.4
20100101 20101231   304.4
20110101 20111231   370.5
20120101 20121231   230.3
20130101 20131231   153.9
20140101 20141231   211.2
20150101 20151231   270.7
20160101 20161231   214.5
20170101 20171231   204.4
