PRCP       008066 19080101 20171231 missing_value=99999.9 KOKARDINE                                 
19080101 19081231   320.8
19090101 19091231   379.8
19100101 19101231   402.9
19110101 19111231   174.0
19120101 19121231   310.8
19130101 19131231   334.4
19140101 19141231   111.2
19150101 19151231   429.3
19160101 19161231   344.8
19170101 19171231   487.5
19180101 19181231   457.0
19190101 19191231   334.1
19200101 19201231   303.2
19210101 19211231   380.7
19220101 19221231   227.7
19230101 19231231   409.6
19240101 19241231   289.4
19250101 19251231   351.5
19260101 19261231   427.3
19270101 19271231   317.7
19280101 19281231   244.6
19290101 19291231   379.8
19300101 19301231   379.8
19310101 19311231   256.6
19320101 19321231   369.9
19330101 19331231   305.3
19340101 19341231   330.5
19350101 19351231   252.5
19360101 19361231   265.9
19370101 19371231   278.4
19380101 19381231   246.1
19390101 19391231   419.3
19400101 19401231   198.9
19410101 19411231   363.6
19420101 19421231   290.4
19430101 19431231   471.3
19440101 19441231   232.2
19450101 19451231   362.3
19460101 19461231   422.5
19470101 19471231   329.2
19480101 19481231   332.5
19490101 19491231   266.6
19500101 19501231   246.8
19510101 19511231   323.7
19520101 19521231   228.4
19530101 19531231   364.7
19540101 19541231   209.1
19550101 19551231   349.3
19560101 19561231   341.4
19570101 19571231   272.1
19580101 19581231   363.9
19590101 19591231   324.6
19600101 19601231   311.2
19610101 19611231   354.5
19620101 19621231   333.4
19630101 19631231   603.6
19640101 19641231   356.9
19650101 19651231   433.1
19660101 19661231   363.6
19670101 19671231   292.9
19680101 19681231   440.5
19690101 19691231   168.5
19700101 19701231   375.3
19710101 19711231   416.8
19720101 19721231   290.0
19730101 19731231   358.3
19740101 19741231   435.0
19750101 19751231   331.0
19760101 19761231   224.4
19770101 19771231   243.2
19780101 19781231   365.4
19790101 19791231   259.4
19800101 19801231   207.8
19810101 19811231   381.2
19820101 19821231   339.0
19830101 19831231   385.2
19840101 19841231   430.8
19850101 19851231   389.2
19860101 19861231   347.8
19870101 19871231   306.4
19880101 19881231   354.0
19890101 19891231   291.6
19900101 19901231   424.0
19910101 19911231   337.6
19920101 19921231   373.0
19930101 19931231   388.0
19940101 19941231   156.8
19950101 19951231   354.6
19960101 19961231   348.6
19970101 19971231   263.0
19980101 19981231   289.4
19990101 19991231   572.4
20000101 20001231   282.8
20010101 20011231   300.8
20020101 20021231   237.2
20030101 20031231   332.2
20040101 20041231   338.8
20050101 20051231   329.0
20060101 20061231   356.4
20070101 20071231   365.6
20080101 20081231   325.0
20090101 20091231   300.2
20100101 20101231   169.0
20110101 20111231   346.8
20120101 20121231   276.8
20130101 20131231   283.4
20140101 20141231   281.8
20150101 20151231   375.6
20160101 20161231   342.0
20170101 20171231   326.8
