PRCP       008088 18960101 20171231 missing_value=99999.9 MINGENEW POST OFFICE                      
18960101 18961231   323.2
18970101 18971231   345.4
18980101 18981231   365.5
18990101 18991231   402.3
19000101 19001231   580.1
19010101 19011231   504.0
19020101 19021231   237.4
19030101 19031231   462.3
19040101 19041231   359.2
19050101 19051231   482.1
19060101 19061231   389.9
19070101 19071231   482.0
19080101 19081231   365.5
19090101 19091231   555.6
19100101 19101231   467.5
19110101 19111231   248.0
19120101 19121231   342.6
19130101 19131231   354.9
19140101 19141231   178.1
19150101 19151231   530.7
19160101 19161231   416.7
19170101 19171231   742.1
19180101 19181231   555.7
19190101 19191231   400.1
19200101 19201231   468.6
19210101 19211231   497.0
19220101 19221231   221.9
19230101 19231231   444.5
19240101 19241231   372.9
19250101 19251231   426.6
19260101 19261231   422.1
19270101 19271231   484.3
19280101 19281231   378.8
19290101 19291231   364.7
19300101 19301231   471.5
19310101 19311231   494.0
19320101 19321231   536.6
19330101 19331231   493.7
19340101 19341231   571.9
19350101 19351231   371.0
19360101 19361231   300.5
19370101 19371231   285.9
19380101 19381231   280.0
19390101 19391231   491.3
19400101 19401231   299.7
19410101 19411231   413.8
19420101 19421231   429.2
19430101 19431231   404.0
19440101 19441231   398.5
19450101 19451231   616.7
19460101 19461231   456.6
19470101 19471231   458.5
19480101 19481231   277.5
19490101 19491231   413.4
19500101 19501231   390.3
19510101 19511231   488.2
19520101 19521231   270.4
19530101 19531231   347.8
19540101 19541231   271.2
19550101 19551231   533.8
19560101 19561231   374.3
19570101 19571231   392.1
19580101 19581231   603.6
19590101 19591231   260.8
19600101 19601231   440.5
19610101 19611231   386.1
19620101 19621231   396.9
19630101 19631231   611.2
19640101 19641231   480.0
19650101 19651231   511.1
19660101 19661231   357.7
19670101 19671231   439.2
19680101 19681231   574.9
19690101 19691231   270.7
19700101 19701231   447.9
19710101 19711231   455.7
19720101 19721231   338.4
19730101 19731231   444.0
19740101 19741231   477.8
19750101 19751231   463.0
19760101 19761231   269.4
19770101 19771231   224.8
19780101 19781231   357.8
19790101 19791231   244.1
19800101 19801231   307.1
19810101 19811231   388.3
19820101 19821231   302.5
19830101 19831231   398.2
19840101 19841231   502.9
19850101 19851231   286.0
19860101 19861231   489.9
19870101 19871231   298.0
19880101 19881231   419.5
19890101 19891231   302.2
19900101 19901231   541.6
19910101 19911231   369.6
19920101 19921231   470.4
19930101 19931231   366.8
19940101 19941231   262.1
19950101 19951231   358.7
19960101 19961231   452.1
19970101 19971231   382.2
19980101 19981231   394.0
19990101 19991231   644.3
20000101 20001231   339.2
20010101 20011231   302.3
20020101 20021231   244.9
20030101 20031231   403.6
20040101 20041231   264.8
20050101 20051231   387.4
20060101 20061231   297.0
20070101 20071231   197.8
20080101 20081231   415.8
20090101 20091231   354.3
20100101 20101231   267.6
20110101 20111231   483.1
20120101 20121231   271.7
20130101 20131231   369.3
20140101 20141231   326.3
20150101 20151231   231.6
20160101 20161231   374.6
20170101 20171231   311.3
