PRCP       008091 18980101 20031231 missing_value=99999.9 MOORA                                     
18980101 18981231   317.0
18990101 18991231   357.4
19000101 19001231   468.0
19010101 19011231   371.8
19020101 19021231   258.2
19030101 19031231   571.7
19040101 19041231   578.4
19050101 19051231   484.8
19060101 19061231   518.8
19070101 19071231   553.4
19080101 19081231   426.4
19090101 19091231   535.0
19100101 19101231   560.1
19110101 19111231   316.6
19120101 19121231   432.3
19130101 19131231   490.0
19140101 19141231   203.0
19150101 19151231   601.5
19160101 19161231   482.9
19170101 19171231   790.1
19180101 19181231   552.3
19190101 19191231   371.0
19200101 19201231   535.1
19210101 19211231   522.1
19220101 19221231   357.9
19230101 19231231   644.6
19240101 19241231   377.3
19250101 19251231   420.2
19260101 19261231   556.9
19270101 19271231   427.6
19280101 19281231   403.5
19290101 19291231   522.3
19300101 19301231   503.2
19310101 19311231   478.1
19320101 19321231   540.9
19330101 19331231   444.6
19340101 19341231   569.8
19350101 19351231   385.7
19360101 19361231   305.4
19370101 19371231   391.7
19380101 19381231   423.6
19390101 19391231   644.8
19400101 19401231   348.0
19410101 19411231   441.7
19420101 19421231   438.0
19430101 19431231   475.2
19440101 19441231   391.2
19450101 19451231   602.3
19460101 19461231   650.7
19470101 19471231   502.5
19480101 19481231   423.6
19490101 19491231   358.2
19500101 19501231   331.6
19510101 19511231   437.2
19520101 19521231   364.8
19530101 19531231   460.7
19540101 19541231   283.2
19550101 19551231   736.7
19560101 19561231   500.9
19570101 19571231   468.3
19580101 19581231   571.6
19590101 19591231   335.3
19600101 19601231   450.7
19610101 19611231   488.6
19620101 19621231   463.9
19630101 19631231   639.3
19640101 19641231   505.7
19650101 19651231   568.5
19660101 19661231   402.0
19670101 19671231   411.4
19680101 19681231   628.0
19690101 19691231   296.9
19700101 19701231   433.1
19710101 19711231   400.7
19720101 19721231   336.3
19730101 19731231   470.5
19740101 19741231   545.8
19750101 19751231   512.1
19760101 19761231   358.2
19770101 19771231   293.1
19780101 19781231   353.9
19790101 19791231   359.6
19800101 19801231   376.2
19810101 19811231   417.0
19820101 19821231   395.7
19830101 19831231   505.8
19840101 19841231   476.7
19850101 19851231   404.7
19860101 19861231   515.5
19870101 19871231   462.2
19880101 19881231   528.8
19890101 19891231   360.5
19900101 19901231   516.0
19910101 19911231   506.0
19920101 19921231   460.6
19930101 19931231   452.0
19940101 19941231   296.0
19950101 19951231   662.1
19960101 19961231   453.3
19970101 19971231   419.2
19980101 19981231   432.8
19990101 19991231   701.2
20000101 20001231   376.6
20010101 20011231   342.3
20020101 20021231   321.7
20030101 20031231   412.1
