PRCP       008141 19070101 20141231 missing_value=99999.9 WILLI GULLI NORTH                         
19070101 19071231   523.1
19080101 19081231   346.2
19090101 19091231   483.5
19100101 19101231   406.8
19110101 19111231   347.3
19120101 19121231   431.3
19130101 19131231   444.3
19140101 19141231   236.6
19150101 19151231   616.0
19160101 19161231   454.2
19170101 19171231   695.1
19180101 19181231   437.8
19190101 19191231   459.1
19200101 19201231   458.0
19210101 19211231   578.8
19220101 19221231   276.3
19230101 19231231   567.5
19240101 19241231   368.2
19250101 19251231   516.8
19260101 19261231   393.3
19270101 19271231   663.3
19280101 19281231   440.8
19290101 19291231   422.1
19300101 19301231   478.6
19310101 19311231   463.9
19320101 19321231   458.3
19330101 19331231   451.2
19340101 19341231   581.9
19350101 19351231   398.5
19360101 19361231   331.1
19370101 19371231   384.4
19380101 19381231   314.9
19390101 19391231   575.0
19400101 19401231   285.1
19410101 19411231   417.4
19420101 19421231   412.6
19430101 19431231   409.1
19440101 19441231   392.9
19450101 19451231   527.9
19460101 19461231   595.6
19470101 19471231   564.9
19480101 19481231   307.6
19490101 19491231   427.1
19500101 19501231   499.8
19510101 19511231   603.4
19520101 19521231   360.4
19530101 19531231   528.1
19540101 19541231   334.7
19550101 19551231   543.3
19560101 19561231   409.2
19570101 19571231   405.8
19580101 19581231   585.6
19590101 19591231   353.9
19600101 19601231   460.4
19610101 19611231   411.6
19620101 19621231   470.3
19630101 19631231   737.3
19640101 19641231   531.4
19650101 19651231   529.2
19660101 19661231   455.0
19670101 19671231   408.9
19680101 19681231   550.9
19690101 19691231   216.6
19700101 19701231   504.9
19710101 19711231   450.0
19720101 19721231   386.1
19730101 19731231   423.5
19740101 19741231   568.0
19750101 19751231   490.4
19760101 19761231   268.6
19770101 19771231   226.4
19780101 19781231   486.8
19790101 19791231   367.6
19800101 19801231   386.7
19810101 19811231   463.1
19820101 19821231   445.0
19830101 19831231   409.2
19840101 19841231   559.7
19850101 19851231   300.3
19860101 19861231   459.6
19870101 19871231   376.0
19880101 19881231   451.2
19890101 19891231   437.3
19900101 19901231   418.7
19910101 19911231   521.7
19920101 19921231   442.1
19930101 19931231   410.2
19940101 19941231   320.1
19950101 19951231   415.8
19960101 19961231 99999.9
19970101 19971231   384.4
19980101 19981231   411.1
19990101 19991231   759.5
20000101 20001231   464.1
20010101 20011231   400.2
20020101 20021231   313.7
20030101 20031231   368.4
20040101 20041231   314.8
20050101 20051231   353.8
20060101 20061231   198.7
20070101 20071231   225.5
20080101 20081231   447.7
20090101 20091231   435.5
20100101 20101231   283.3
20110101 20111231   610.4
20120101 20121231   295.8
20130101 20131231   321.5
20140101 20141231   355.9
