PRCP       009519 19040101 20171231 missing_value=99999.9 CAPE NATURALISTE                          
19040101 19041231   762.9
19050101 19051231   741.0
19060101 19061231   793.1
19070101 19071231  1020.5
19080101 19081231   797.5
19090101 19091231   897.4
19100101 19101231  1075.8
19110101 19111231   639.0
19120101 19121231   895.8
19130101 19131231   939.4
19140101 19141231   723.5
19150101 19151231   877.0
19160101 19161231   751.9
19170101 19171231  1192.7
19180101 19181231   877.0
19190101 19191231   617.2
19200101 19201231   835.5
19210101 19211231  1075.6
19220101 19221231   886.7
19230101 19231231   903.6
19240101 19241231   738.9
19250101 19251231   714.2
19260101 19261231   980.5
19270101 19271231   812.5
19280101 19281231   817.0
19290101 19291231   873.9
19300101 19301231   734.6
19310101 19311231   694.3
19320101 19321231   910.2
19330101 19331231   861.1
19340101 19341231   926.5
19350101 19351231   784.5
19360101 19361231   664.7
19370101 19371231   742.0
19380101 19381231   708.7
19390101 19391231   900.9
19400101 19401231   610.6
19410101 19411231   855.9
19420101 19421231   949.9
19430101 19431231   763.9
19440101 19441231   719.6
19450101 19451231   953.7
19460101 19461231   739.7
19470101 19471231   932.6
19480101 19481231   679.4
19490101 19491231   801.4
19500101 19501231   820.9
19510101 19511231   906.6
19520101 19521231   902.1
19530101 19531231   770.3
19540101 19541231   623.5
19550101 19551231   872.5
19560101 19561231   788.1
19570101 19571231   826.4
19580101 19581231   731.6
19590101 19591231   582.9
19600101 19601231   778.2
19610101 19611231   838.4
19620101 19621231   813.7
19630101 19631231  1016.9
19640101 19641231  1060.4
19650101 19651231  1108.8
19660101 19661231   870.6
19670101 19671231  1041.2
19680101 19681231   827.0
19690101 19691231   608.6
19700101 19701231   996.7
19710101 19711231   997.5
19720101 19721231   753.8
19730101 19731231   983.5
19740101 19741231   957.5
19750101 19751231   816.4
19760101 19761231   692.2
19770101 19771231   634.3
19780101 19781231   748.4
19790101 19791231   640.2
19800101 19801231   923.0
19810101 19811231   796.5
19820101 19821231   728.9
19830101 19831231   866.4
19840101 19841231   854.0
19850101 19851231   722.4
19860101 19861231   837.2
19870101 19871231   583.9
19880101 19881231   845.1
19890101 19891231   825.4
19900101 19901231   743.4
19910101 19911231   792.6
19920101 19921231   928.0
19930101 19931231   589.5
19940101 19941231   668.2
19950101 19951231   863.0
19960101 19961231  1017.2
19970101 19971231   835.0
19980101 19981231   932.4
19990101 19991231  1107.4
20000101 20001231   881.2
20010101 20011231   609.2
20020101 20021231   459.0
20030101 20031231   773.6
20040101 20041231   651.2
20050101 20051231 99999.9
20060101 20061231   561.8
20070101 20071231   723.0
20080101 20081231   670.6
20090101 20091231   647.4
20100101 20101231   574.0
20110101 20111231   653.6
20120101 20121231   619.6
20130101 20131231   798.6
20140101 20141231   619.2
20150101 20151231   619.0
20160101 20161231   716.6
20170101 20171231   596.8
