PRCP       009520 18970101 20171231 missing_value=99999.9 CAPE RICHE                                
18970101 18971231   524.7
18980101 18981231   472.2
18990101 18991231   632.1
19000101 19001231   557.7
19010101 19011231   407.1
19020101 19021231   650.2
19030101 19031231   539.7
19040101 19041231   764.8
19050101 19051231   614.9
19060101 19061231   535.0
19070101 19071231   499.2
19080101 19081231   708.2
19090101 19091231   640.2
19100101 19101231   732.4
19110101 19111231   563.4
19120101 19121231   446.8
19130101 19131231   843.4
19140101 19141231   528.6
19150101 19151231   575.3
19160101 19161231   630.2
19170101 19171231   957.9
19180101 19181231   576.4
19190101 19191231   482.0
19200101 19201231   592.0
19210101 19211231   621.9
19220101 19221231   584.7
19230101 19231231   473.2
19240101 19241231   486.7
19250101 19251231   541.5
19260101 19261231   604.3
19270101 19271231   539.5
19280101 19281231   445.5
19290101 19291231   646.9
19300101 19301231   379.9
19310101 19311231   455.3
19320101 19321231   597.0
19330101 19331231   382.2
19340101 19341231   558.6
19350101 19351231   438.6
19360101 19361231   272.6
19370101 19371231   662.4
19380101 19381231   379.3
19390101 19391231   794.4
19400101 19401231   350.5
19410101 19411231   394.8
19420101 19421231   598.7
19430101 19431231   521.7
19440101 19441231   413.5
19450101 19451231   653.8
19460101 19461231   414.5
19470101 19471231   612.5
19480101 19481231   392.1
19490101 19491231   495.8
19500101 19501231   620.7
19510101 19511231   737.2
19520101 19521231   478.1
19530101 19531231   503.0
19540101 19541231   404.1
19550101 19551231   901.7
19560101 19561231   456.3
19570101 19571231   393.1
19580101 19581231   549.2
19590101 19591231   660.5
19600101 19601231   680.6
19610101 19611231   607.4
19620101 19621231   426.0
19630101 19631231   663.8
19640101 19641231   625.8
19650101 19651231   554.4
19660101 19661231   658.5
19670101 19671231   659.1
19680101 19681231   677.8
19690101 19691231   404.1
19700101 19701231   485.8
19710101 19711231   800.5
19720101 19721231   497.9
19730101 19731231   525.2
19740101 19741231   542.9
19750101 19751231   608.5
19760101 19761231   777.8
19770101 19771231   565.6
19780101 19781231   853.4
19790101 19791231   700.5
19800101 19801231   552.0
19810101 19811231   501.7
19820101 19821231   618.7
19830101 19831231   647.2
19840101 19841231   552.5
19850101 19851231   714.4
19860101 19861231   546.4
19870101 19871231   472.8
19880101 19881231   579.7
19890101 19891231   592.6
19900101 19901231   629.0
19910101 19911231   537.6
19920101 19921231   635.4
19930101 19931231   670.4
19940101 19941231   361.2
19950101 19951231   571.5
19960101 19961231   423.4
19970101 19971231   578.6
19980101 19981231   660.9
19990101 19991231   552.0
20000101 20001231   554.3
20010101 20011231   632.6
20020101 20021231   360.6
20030101 20031231   567.2
20040101 20041231   446.8
20050101 20051231   748.0
20060101 20061231   387.2
20070101 20071231   547.4
20080101 20081231   581.0
20090101 20091231   423.4
20100101 20101231   542.8
20110101 20111231 99999.9
20120101 20121231   551.2
20130101 20131231   557.6
20140101 20141231   419.2
20150101 20151231   504.9
20160101 20161231   699.6
20170101 20171231   640.6
