PRCP       009561 19050101 20171231 missing_value=99999.9 KENDENUP POST OFFICE                      
19050101 19051231   719.8
19060101 19061231   636.9
19070101 19071231   775.3
19080101 19081231   589.7
19090101 19091231   783.1
19100101 19101231   790.7
19110101 19111231   554.1
19120101 19121231   577.4
19130101 19131231   666.0
19140101 19141231   433.7
19150101 19151231   611.1
19160101 19161231   586.5
19170101 19171231   934.8
19180101 19181231   641.3
19190101 19191231   541.9
19200101 19201231   581.8
19210101 19211231   651.1
19220101 19221231   617.0
19230101 19231231   756.9
19240101 19241231   563.9
19250101 19251231   563.3
19260101 19261231   720.5
19270101 19271231   593.7
19280101 19281231   588.9
19290101 19291231   646.4
19300101 19301231   498.6
19310101 19311231   538.0
19320101 19321231   605.4
19330101 19331231   746.2
19340101 19341231   663.8
19350101 19351231   577.2
19360101 19361231   474.8
19370101 19371231   578.7
19380101 19381231   572.3
19390101 19391231   782.1
19400101 19401231   362.0
19410101 19411231   679.4
19420101 19421231   775.0
19430101 19431231   622.8
19440101 19441231   429.6
19450101 19451231   769.7
19460101 19461231   584.3
19470101 19471231   858.8
19480101 19481231   504.8
19490101 19491231   610.1
19500101 19501231   618.2
19510101 19511231   760.5
19520101 19521231   598.3
19530101 19531231   502.8
19540101 19541231   322.7
19550101 19551231   807.1
19560101 19561231   536.4
19570101 19571231   478.2
19580101 19581231   578.6
19590101 19591231   644.5
19600101 19601231   528.1
19610101 19611231   710.6
19620101 19621231   539.7
19630101 19631231   675.3
19640101 19641231   605.0
19650101 19651231   694.5
19660101 19661231   493.6
19670101 19671231   554.7
19680101 19681231   562.0
19690101 19691231   415.7
19700101 19701231   498.4
19710101 19711231   625.3
19720101 19721231   391.6
19730101 19731231   603.1
19740101 19741231   518.5
19750101 19751231   538.9
19760101 19761231   621.0
19770101 19771231   550.6
19780101 19781231   586.2
19790101 19791231   527.3
19800101 19801231   543.4
19810101 19811231   487.4
19820101 19821231   525.6
19830101 19831231   506.4
19840101 19841231   584.1
19850101 19851231   468.4
19860101 19861231   447.8
19870101 19871231   377.2
19880101 19881231   683.8
19890101 19891231   548.2
19900101 19901231   577.0
19910101 19911231   514.5
19920101 19921231   667.6
19930101 19931231   551.4
19940101 19941231   424.6
19950101 19951231   482.8
19960101 19961231   573.0
19970101 19971231   484.2
19980101 19981231   601.4
19990101 19991231   527.8
20000101 20001231   479.2
20010101 20011231   522.2
20020101 20021231   465.8
20030101 20031231   610.6
20040101 20041231   394.0
20050101 20051231   765.8
20060101 20061231   345.2
20070101 20071231   499.2
20080101 20081231   572.6
20090101 20091231 99999.9
20100101 20101231   369.4
20110101 20111231   612.8
20120101 20121231   438.6
20130101 20131231   502.6
20140101 20141231   495.6
20150101 20151231   479.4
20160101 20161231   750.4
20170101 20171231   525.4
