PRCP       009564 19040101 20081231 missing_value=99999.9 KING RIVER                                
19040101 19041231   988.9
19050101 19051231   883.9
19060101 19061231   801.6
19070101 19071231   889.5
19080101 19081231   702.4
19090101 19091231   916.4
19100101 19101231  1073.3
19110101 19111231   612.7
19120101 19121231   772.1
19130101 19131231   900.3
19140101 19141231   702.7
19150101 19151231   947.5
19160101 19161231   913.6
19170101 19171231  1292.4
19180101 19181231   932.4
19190101 19191231   820.6
19200101 19201231   974.3
19210101 19211231   966.9
19220101 19221231   857.6
19230101 19231231   878.5
19240101 19241231   877.6
19250101 19251231   879.9
19260101 19261231   997.0
19270101 19271231  1000.2
19280101 19281231   982.1
19290101 19291231   937.5
19300101 19301231   724.4
19310101 19311231   934.8
19320101 19321231   839.6
19330101 19331231   996.1
19340101 19341231   976.4
19350101 19351231   906.8
19360101 19361231   684.2
19370101 19371231   933.1
19380101 19381231   831.1
19390101 19391231   946.3
19400101 19401231   563.1
19410101 19411231   740.6
19420101 19421231  1055.9
19430101 19431231   999.9
19440101 19441231   716.2
19450101 19451231  1090.0
19460101 19461231   730.6
19470101 19471231  1047.1
19480101 19481231   844.8
19490101 19491231   853.3
19500101 19501231   796.6
19510101 19511231  1054.0
19520101 19521231   935.8
19530101 19531231   656.7
19540101 19541231   565.5
19550101 19551231  1091.7
19560101 19561231   719.7
19570101 19571231   497.2
19580101 19581231   614.2
19590101 19591231   841.3
19600101 19601231   791.8
19610101 19611231  1004.9
19620101 19621231   803.4
19630101 19631231   986.3
19640101 19641231   921.6
19650101 19651231   890.8
19660101 19661231   817.3
19670101 19671231   888.2
19680101 19681231   933.9
19690101 19691231   657.5
19700101 19701231   833.4
19710101 19711231   996.2
19720101 19721231   664.4
19730101 19731231   864.7
19740101 19741231   752.2
19750101 19751231   834.2
19760101 19761231   993.6
19770101 19771231   848.2
19780101 19781231  1020.4
19790101 19791231  1007.6
19800101 19801231   745.2
19810101 19811231   816.8
19820101 19821231   847.6
19830101 19831231   644.8
19840101 19841231   774.8
19850101 19851231   887.4
19860101 19861231   777.6
19870101 19871231   676.0
19880101 19881231   933.8
19890101 19891231   927.2
19900101 19901231   928.6
19910101 19911231   820.6
19920101 19921231   996.0
19930101 19931231   870.2
19940101 19941231   695.0
19950101 19951231   790.4
19960101 19961231   824.0
19970101 19971231   751.6
19980101 19981231   867.0
19990101 19991231   814.2
20000101 20001231   786.4
20010101 20011231   838.6
20020101 20021231   674.8
20030101 20031231   853.6
20040101 20041231   649.6
20050101 20051231   970.8
20060101 20061231   619.8
20070101 20071231   919.6
20080101 20081231   997.6
