PRCP       009594 19040101 20161231 missing_value=99999.9 PEPPERMINT GROVE                          
19040101 19041231   828.8
19050101 19051231   734.9
19060101 19061231   714.2
19070101 19071231   635.6
19080101 19081231   859.7
19090101 19091231   761.6
19100101 19101231   616.5
19110101 19111231   702.0
19120101 19121231   515.7
19130101 19131231   769.2
19140101 19141231   646.6
19150101 19151231   702.1
19160101 19161231   719.8
19170101 19171231   974.5
19180101 19181231   730.2
19190101 19191231   677.2
19200101 19201231   843.1
19210101 19211231   952.1
19220101 19221231   776.6
19230101 19231231   575.8
19240101 19241231   569.7
19250101 19251231   807.3
19260101 19261231   729.8
19270101 19271231   601.5
19280101 19281231   555.9
19290101 19291231   825.6
19300101 19301231   514.2
19310101 19311231   711.4
19320101 19321231   768.5
19330101 19331231   579.4
19340101 19341231   731.6
19350101 19351231   695.8
19360101 19361231   496.0
19370101 19371231   609.1
19380101 19381231   425.9
19390101 19391231   917.2
19400101 19401231   398.8
19410101 19411231   482.3
19420101 19421231   785.4
19430101 19431231   638.0
19440101 19441231   513.1
19450101 19451231   733.9
19460101 19461231   412.6
19470101 19471231   576.9
19480101 19481231   513.8
19490101 19491231   559.8
19500101 19501231   651.2
19510101 19511231   840.1
19520101 19521231   612.7
19530101 19531231   559.2
19540101 19541231   417.5
19550101 19551231   876.5
19560101 19561231   498.0
19570101 19571231   402.6
19580101 19581231   617.5
19590101 19591231   616.4
19600101 19601231   754.5
19610101 19611231   670.6
19620101 19621231   522.0
19630101 19631231   659.0
19640101 19641231   688.7
19650101 19651231   580.7
19660101 19661231   698.2
19670101 19671231   615.9
19680101 19681231   884.9
19690101 19691231   508.2
19700101 19701231   586.9
19710101 19711231   986.1
19720101 19721231   628.3
19730101 19731231   798.5
19740101 19741231   543.9
19750101 19751231   729.8
19760101 19761231   931.9
19770101 19771231   657.7
19780101 19781231   900.8
19790101 19791231   855.2
19800101 19801231   620.1
19810101 19811231   533.3
19820101 19821231   549.0
19830101 19831231   698.4
19840101 19841231   634.2
19850101 19851231   789.5
19860101 19861231   585.4
19870101 19871231   597.9
19880101 19881231   779.6
19890101 19891231   790.7
19900101 19901231   969.4
19910101 19911231   573.9
19920101 19921231   876.6
19930101 19931231   851.0
19940101 19941231   423.2
19950101 19951231   813.4
19960101 19961231   514.4
19970101 19971231   782.4
19980101 19981231   768.3
19990101 19991231   675.1
20000101 20001231   716.7
20010101 20011231   771.9
20020101 20021231   440.5
20030101 20031231   752.4
20040101 20041231   557.4
20050101 20051231   963.9
20060101 20061231   531.6
20070101 20071231   721.8
20080101 20081231   745.1
20090101 20091231   559.0
20100101 20101231   663.0
20110101 20111231   823.6
20120101 20121231   765.4
20130101 20131231   768.5
20140101 20141231   504.9
20150101 20151231   688.9
20160101 20161231   860.6
