PRCP       009619 19010101 20171231 missing_value=99999.9 WILGARRUP                                 
19010101 19011231   774.2
19020101 19021231   759.8
19030101 19031231   964.8
19040101 19041231   798.7
19050101 19051231   969.9
19060101 19061231   894.0
19070101 19071231  1014.9
19080101 19081231   825.1
19090101 19091231   855.7
19100101 19101231  1181.0
19110101 19111231   656.8
19120101 19121231   780.2
19130101 19131231   977.9
19140101 19141231   677.9
19150101 19151231  1187.0
19160101 19161231   983.0
19170101 19171231  1574.2
19180101 19181231  1104.4
19190101 19191231   850.0
19200101 19201231  1061.9
19210101 19211231   978.6
19220101 19221231   967.1
19230101 19231231  1311.8
19240101 19241231  1066.3
19250101 19251231   900.3
19260101 19261231  1298.1
19270101 19271231   986.3
19280101 19281231  1086.8
19290101 19291231  1007.1
19300101 19301231   865.0
19310101 19311231  1049.1
19320101 19321231  1031.1
19330101 19331231  1141.3
19340101 19341231  1119.5
19350101 19351231  1079.8
19360101 19361231   831.5
19370101 19371231  1053.2
19380101 19381231   921.5
19390101 19391231  1095.7
19400101 19401231   663.9
19410101 19411231  1004.2
19420101 19421231  1439.0
19430101 19431231   999.2
19440101 19441231   911.2
19450101 19451231  1368.5
19460101 19461231  1113.6
19470101 19471231  1382.1
19480101 19481231   994.0
19490101 19491231   927.2
19500101 19501231  1125.0
19510101 19511231   956.3
19520101 19521231   882.2
19530101 19531231   998.8
19540101 19541231   851.7
19550101 19551231  1480.9
19560101 19561231   935.3
19570101 19571231   954.5
19580101 19581231   799.3
19590101 19591231   676.9
19600101 19601231   866.6
19610101 19611231   942.9
19620101 19621231   878.4
19630101 19631231  1137.0
19640101 19641231  1000.0
19650101 19651231  1011.3
19660101 19661231   719.2
19670101 19671231   875.0
19680101 19681231   842.7
19690101 19691231   554.6
19700101 19701231   840.7
19710101 19711231   879.9
19720101 19721231   616.7
19730101 19731231   903.4
19740101 19741231   957.4
19750101 19751231   793.7
19760101 19761231   941.9
19770101 19771231   736.6
19780101 19781231   864.2
19790101 19791231   746.8
19800101 19801231   800.6
19810101 19811231   878.3
19820101 19821231   649.5
19830101 19831231   844.6
19840101 19841231   848.9
19850101 19851231   769.0
19860101 19861231   671.7
19870101 19871231   596.9
19880101 19881231  1001.8
19890101 19891231   798.9
19900101 19901231   808.6
19910101 19911231   764.4
19920101 19921231   765.4
19930101 19931231   661.5
19940101 19941231   590.3
19950101 19951231   792.9
19960101 19961231   892.3
19970101 19971231   797.3
19980101 19981231   846.6
19990101 19991231   889.7
20000101 20001231   684.9
20010101 20011231   597.6
20020101 20021231   688.4
20030101 20031231   831.4
20040101 20041231   568.6
20050101 20051231   866.9
20060101 20061231   531.1
20070101 20071231   777.6
20080101 20081231   793.6
20090101 20091231   803.9
20100101 20101231   427.5
20110101 20111231   813.3
20120101 20121231   747.5
20130101 20131231   782.7
20140101 20141231   680.8
20150101 20151231   528.2
20160101 20161231   978.0
20170101 20171231   709.5
