PRCP       010032 19080101 20171231 missing_value=99999.9 COWCOWING                                 
19080101 19081231   289.4
19090101 19091231   376.2
19100101 19101231   355.9
19110101 19111231   138.0
19120101 19121231   260.3
19130101 19131231   287.9
19140101 19141231   134.9
19150101 19151231   452.9
19160101 19161231   295.7
19170101 19171231   515.6
19180101 19181231   421.7
19190101 19191231   287.5
19200101 19201231   303.3
19210101 19211231   339.0
19220101 19221231   226.1
19230101 19231231   370.0
19240101 19241231   259.8
19250101 19251231   339.4
19260101 19261231   353.6
19270101 19271231   386.6
19280101 19281231   255.2
19290101 19291231   351.7
19300101 19301231   318.4
19310101 19311231   307.5
19320101 19321231   363.5
19330101 19331231   313.3
19340101 19341231   340.8
19350101 19351231   252.3
19360101 19361231   236.3
19370101 19371231   217.1
19380101 19381231   215.6
19390101 19391231   436.7
19400101 19401231   159.4
19410101 19411231   291.4
19420101 19421231   230.0
19430101 19431231   370.7
19440101 19441231   205.3
19450101 19451231   370.9
19460101 19461231   299.4
19470101 19471231   310.7
19480101 19481231   253.3
19490101 19491231   252.0
19500101 19501231   159.0
19510101 19511231   335.6
19520101 19521231   213.7
19530101 19531231   381.1
19540101 19541231   235.7
19550101 19551231   316.0
19560101 19561231   260.8
19570101 19571231   291.3
19580101 19581231   367.6
19590101 19591231   283.5
19600101 19601231   286.6
19610101 19611231   323.7
19620101 19621231   337.5
19630101 19631231   511.5
19640101 19641231   285.3
19650101 19651231   386.6
19660101 19661231   362.0
19670101 19671231   246.2
19680101 19681231   397.1
19690101 19691231   145.6
19700101 19701231   329.7
19710101 19711231   354.4
19720101 19721231   291.9
19730101 19731231   332.9
19740101 19741231   412.0
19750101 19751231   309.5
19760101 19761231   240.6
19770101 19771231   182.6
19780101 19781231   340.4
19790101 19791231   255.2
19800101 19801231   160.6
19810101 19811231   337.4
19820101 19821231   283.0
19830101 19831231   358.8
19840101 19841231   343.4
19850101 19851231   274.4
19860101 19861231   296.0
19870101 19871231   284.6
19880101 19881231   326.4
19890101 19891231   258.2
19900101 19901231   352.3
19910101 19911231   314.0
19920101 19921231   418.4
19930101 19931231   323.5
19940101 19941231   196.0
19950101 19951231   367.2
19960101 19961231   301.0
19970101 19971231   247.5
19980101 19981231   288.2
19990101 19991231   493.2
20000101 20001231   343.2
20010101 20011231   256.4
20020101 20021231   181.8
20030101 20031231   335.3
20040101 20041231   288.8
20050101 20051231   299.6
20060101 20061231   295.8
20070101 20071231   252.0
20080101 20081231   244.0
20090101 20091231   306.0
20100101 20101231   162.6
20110101 20111231   312.4
20120101 20121231   288.2
20130101 20131231   291.2
20140101 20141231   238.6
20150101 20151231   329.8
20160101 20161231   367.0
20170101 20171231   331.2
