PRCP       010037 19030101 20111231 missing_value=99999.9 CUTTENING                                 
19030101 19031231   331.9
19040101 19041231   510.3
19050101 19051231   319.3
19060101 19061231   252.8
19070101 19071231   303.8
19080101 19081231   258.1
19090101 19091231   413.2
19100101 19101231   389.4
19110101 19111231   185.2
19120101 19121231   278.5
19130101 19131231   319.3
19140101 19141231   183.8
19150101 19151231   453.8
19160101 19161231   307.6
19170101 19171231   516.8
19180101 19181231   389.3
19190101 19191231   365.7
19200101 19201231   347.0
19210101 19211231   275.2
19220101 19221231   271.1
19230101 19231231   371.2
19240101 19241231   253.1
19250101 19251231   331.8
19260101 19261231   394.0
19270101 19271231   377.4
19280101 19281231   263.9
19290101 19291231   368.1
19300101 19301231   326.6
19310101 19311231   291.0
19320101 19321231   412.6
19330101 19331231   248.5
19340101 19341231   326.8
19350101 19351231   284.8
19360101 19361231   207.1
19370101 19371231   221.5
19380101 19381231   242.6
19390101 19391231   431.8
19400101 19401231   199.9
19410101 19411231   295.5
19420101 19421231   351.3
19430101 19431231   371.1
19440101 19441231   182.1
19450101 19451231   334.7
19460101 19461231   311.8
19470101 19471231   243.4
19480101 19481231   236.6
19490101 19491231   185.6
19500101 19501231   173.9
19510101 19511231   333.0
19520101 19521231   214.9
19530101 19531231   352.6
19540101 19541231   186.9
19550101 19551231   384.5
19560101 19561231   249.4
19570101 19571231   266.9
19580101 19581231   417.7
19590101 19591231   284.4
19600101 19601231   296.7
19610101 19611231   268.4
19620101 19621231   272.4
19630101 19631231   597.1
19640101 19641231   319.8
19650101 19651231   336.5
19660101 19661231   354.3
19670101 19671231   269.4
19680101 19681231   422.6
19690101 19691231   198.7
19700101 19701231   335.6
19710101 19711231   268.6
19720101 19721231   180.3
19730101 19731231   353.5
19740101 19741231   435.4
19750101 19751231   300.8
19760101 19761231   319.0
19770101 19771231   240.8
19780101 19781231   330.4
19790101 19791231   292.8
19800101 19801231   168.2
19810101 19811231   371.8
19820101 19821231   289.4
19830101 19831231   402.0
19840101 19841231   341.0
19850101 19851231   206.9
19860101 19861231   351.0
19870101 19871231   280.8
19880101 19881231   335.6
19890101 19891231   309.4
19900101 19901231   374.6
19910101 19911231   300.0
19920101 19921231   429.2
19930101 19931231   261.4
19940101 19941231   184.2
19950101 19951231   383.2
19960101 19961231   322.2
19970101 19971231   245.8
19980101 19981231   309.8
19990101 19991231   505.0
20000101 20001231   297.6
20010101 20011231   287.6
20020101 20021231   202.2
20030101 20031231   362.2
20040101 20041231   262.0
20050101 20051231   267.6
20060101 20061231   323.0
20070101 20071231   193.0
20080101 20081231   294.6
20090101 20091231   253.6
20100101 20101231   149.6
20110101 20111231   341.4
