PRCP       010039 19100101 20171231 missing_value=99999.9 DOODARDING WELL                           
19100101 19101231   386.9
19110101 19111231   135.3
19120101 19121231   247.4
19130101 19131231   303.6
19140101 19141231   127.2
19150101 19151231   553.4
19160101 19161231   306.8
19170101 19171231   565.4
19180101 19181231   469.8
19190101 19191231   307.2
19200101 19201231   329.6
19210101 19211231   327.5
19220101 19221231   255.3
19230101 19231231   439.6
19240101 19241231   278.0
19250101 19251231   355.3
19260101 19261231   372.3
19270101 19271231   334.2
19280101 19281231   234.3
19290101 19291231   307.6
19300101 19301231   253.7
19310101 19311231   289.6
19320101 19321231   357.7
19330101 19331231   289.2
19340101 19341231   335.8
19350101 19351231   238.4
19360101 19361231   277.7
19370101 19371231   205.9
19380101 19381231   223.4
19390101 19391231   432.6
19400101 19401231   191.5
19410101 19411231   329.8
19420101 19421231   308.0
19430101 19431231   384.0
19440101 19441231   248.8
19450101 19451231   397.4
19460101 19461231   313.1
19470101 19471231   275.0
19480101 19481231   290.6
19490101 19491231   243.8
19500101 19501231   200.9
19510101 19511231   376.8
19520101 19521231   234.3
19530101 19531231   355.5
19540101 19541231   238.5
19550101 19551231   363.1
19560101 19561231   310.3
19570101 19571231   278.1
19580101 19581231   380.6
19590101 19591231   257.4
19600101 19601231   313.7
19610101 19611231   327.1
19620101 19621231   315.7
19630101 19631231   534.3
19640101 19641231   297.7
19650101 19651231   471.5
19660101 19661231   350.5
19670101 19671231   264.5
19680101 19681231   431.7
19690101 19691231   175.9
19700101 19701231   336.6
19710101 19711231   350.1
19720101 19721231   234.0
19730101 19731231   367.1
19740101 19741231   387.6
19750101 19751231   315.2
19760101 19761231   279.5
19770101 19771231   193.8
19780101 19781231   362.7
19790101 19791231   291.6
19800101 19801231   156.4
19810101 19811231   299.8
19820101 19821231   271.8
19830101 19831231   361.2
19840101 19841231   353.7
19850101 19851231   235.3
19860101 19861231   329.2
19870101 19871231   259.2
19880101 19881231   378.4
19890101 19891231   267.3
19900101 19901231   374.2
19910101 19911231   336.6
19920101 19921231   402.9
19930101 19931231   302.0
19940101 19941231   180.7
19950101 19951231   344.4
19960101 19961231   307.7
19970101 19971231   278.4
19980101 19981231   310.4
19990101 19991231   448.6
20000101 20001231   280.0
20010101 20011231   275.4
20020101 20021231   197.1
20030101 20031231   347.6
20040101 20041231   321.3
20050101 20051231   297.7
20060101 20061231   353.9
20070101 20071231   312.2
20080101 20081231   256.1
20090101 20091231   264.3
20100101 20101231   160.0
20110101 20111231   369.6
20120101 20121231   249.8
20130101 20131231   233.8
20140101 20141231   238.4
20150101 20151231   331.5
20160101 20161231   396.0
20170101 20171231   298.2
