PRCP       010045 19080101 20171231 missing_value=99999.9 EJANDING                                  
19080101 19081231   349.2
19090101 19091231   357.6
19100101 19101231   381.1
19110101 19111231   163.2
19120101 19121231   258.5
19130101 19131231   275.5
19140101 19141231   121.9
19150101 19151231   483.6
19160101 19161231   298.3
19170101 19171231   498.6
19180101 19181231   476.3
19190101 19191231   279.9
19200101 19201231   310.2
19210101 19211231   352.1
19220101 19221231   228.4
19230101 19231231   381.7
19240101 19241231   258.3
19250101 19251231   377.9
19260101 19261231   413.7
19270101 19271231   379.0
19280101 19281231   259.9
19290101 19291231   337.1
19300101 19301231   270.7
19310101 19311231   302.4
19320101 19321231   396.7
19330101 19331231   295.7
19340101 19341231   392.2
19350101 19351231   242.6
19360101 19361231   314.3
19370101 19371231   249.5
19380101 19381231   230.0
19390101 19391231   493.8
19400101 19401231   178.6
19410101 19411231   290.9
19420101 19421231   256.7
19430101 19431231   324.1
19440101 19441231   250.0
19450101 19451231   361.3
19460101 19461231   324.5
19470101 19471231   274.3
19480101 19481231   311.6
19490101 19491231   212.3
19500101 19501231   205.7
19510101 19511231   321.4
19520101 19521231   184.2
19530101 19531231   356.4
19540101 19541231   214.3
19550101 19551231   341.2
19560101 19561231   327.9
19570101 19571231   270.7
19580101 19581231   347.6
19590101 19591231   227.2
19600101 19601231   304.6
19610101 19611231   291.1
19620101 19621231   248.8
19630101 19631231   507.3
19640101 19641231   239.7
19650101 19651231   383.9
19660101 19661231   280.1
19670101 19671231   198.6
19680101 19681231   390.9
19690101 19691231   155.5
19700101 19701231   328.2
19710101 19711231   329.3
19720101 19721231   244.5
19730101 19731231   369.4
19740101 19741231   400.6
19750101 19751231   305.9
19760101 19761231   315.5
19770101 19771231   230.1
19780101 19781231   310.3
19790101 19791231   262.5
19800101 19801231   150.0
19810101 19811231   345.4
19820101 19821231   306.6
19830101 19831231   368.8
19840101 19841231   378.2
19850101 19851231   274.8
19860101 19861231   325.0
19870101 19871231   277.6
19880101 19881231   366.1
19890101 19891231   275.6
19900101 19901231   393.6
19910101 19911231   334.6
19920101 19921231   455.6
19930101 19931231   359.2
19940101 19941231   182.8
19950101 19951231   415.6
19960101 19961231   327.4
19970101 19971231   300.4
19980101 19981231   355.2
19990101 19991231   539.8
20000101 20001231   348.6
20010101 20011231   280.1
20020101 20021231   207.6
20030101 20031231   364.6
20040101 20041231   331.4
20050101 20051231   346.2
20060101 20061231   436.0
20070101 20071231   351.4
20080101 20081231   298.8
20090101 20091231   293.8
20100101 20101231   174.8
20110101 20111231   364.5
20120101 20121231   278.8
20130101 20131231   279.8
20140101 20141231   253.0
20150101 20151231   342.2
20160101 20161231   392.0
20170101 20171231   402.4
