PRCP       010091 19000101 20151231 missing_value=99999.9 MECKERING                                 
19000101 19001231   476.5
19010101 19011231   324.1
19020101 19021231   226.5
19030101 19031231   340.6
19040101 19041231   504.5
19050101 19051231   411.3
19060101 19061231   327.0
19070101 19071231   342.2
19080101 19081231   503.6
19090101 19091231   489.9
19100101 19101231   585.9
19110101 19111231   338.3
19120101 19121231   390.9
19130101 19131231   323.4
19140101 19141231   192.9
19150101 19151231   573.9
19160101 19161231   382.2
19170101 19171231   574.8
19180101 19181231   506.3
19190101 19191231   311.2
19200101 19201231   438.9
19210101 19211231   408.4
19220101 19221231   311.8
19230101 19231231   488.9
19240101 19241231   324.4
19250101 19251231   315.4
19260101 19261231   550.2
19270101 19271231   371.2
19280101 19281231   343.6
19290101 19291231   366.9
19300101 19301231   367.9
19310101 19311231   383.2
19320101 19321231   511.3
19330101 19331231   330.3
19340101 19341231   454.0
19350101 19351231   292.3
19360101 19361231   333.4
19370101 19371231   270.1
19380101 19381231   308.5
19390101 19391231   480.4
19400101 19401231   242.7
19410101 19411231   401.4
19420101 19421231   451.3
19430101 19431231   370.5
19440101 19441231   296.8
19450101 19451231   412.5
19460101 19461231   422.9
19470101 19471231   339.1
19480101 19481231   318.5
19490101 19491231   223.2
19500101 19501231   230.0
19510101 19511231   343.1
19520101 19521231   345.1
19530101 19531231   465.9
19540101 19541231   226.5
19550101 19551231   570.7
19560101 19561231   279.4
19570101 19571231   308.5
19580101 19581231   426.6
19590101 19591231   297.4
19600101 19601231   405.9
19610101 19611231   308.7
19620101 19621231   379.9
19630101 19631231   585.8
19640101 19641231   433.8
19650101 19651231   410.8
19660101 19661231   353.4
19670101 19671231   345.8
19680101 19681231   559.3
19690101 19691231   185.7
19700101 19701231   333.3
19710101 19711231   284.5
19720101 19721231   227.2
19730101 19731231   410.7
19740101 19741231   421.3
19750101 19751231   307.8
19760101 19761231   361.8
19770101 19771231   259.8
19780101 19781231   312.0
19790101 19791231   273.6
19800101 19801231   240.3
19810101 19811231   390.5
19820101 19821231   348.3
19830101 19831231   448.9
19840101 19841231   405.3
19850101 19851231   309.2
19860101 19861231   356.7
19870101 19871231   328.3
19880101 19881231   327.9
19890101 19891231   294.8
19900101 19901231   430.9
19910101 19911231   385.1
19920101 19921231   449.3
19930101 19931231   329.3
19940101 19941231   207.5
19950101 19951231   489.2
19960101 19961231   382.0
19970101 19971231   303.2
19980101 19981231   297.4
19990101 19991231 99999.9
20000101 20001231   351.2
20010101 20011231   311.8
20020101 20021231   278.7
20030101 20031231   395.2
20040101 20041231   319.2
20050101 20051231   378.8
20060101 20061231   328.9
20070101 20071231   326.8
20080101 20081231   440.3
20090101 20091231   361.6
20100101 20101231   209.4
20110101 20111231   503.6
20120101 20121231   309.5
20130101 20131231   416.2
20140101 20141231   357.6
20150101 20151231   265.8
