PRCP       010092 19030101 20171231 missing_value=99999.9 MERREDIN                                  
19030101 19031231   249.2
19040101 19041231   414.8
19050101 19051231   271.2
19060101 19061231   256.7
19070101 19071231   265.3
19080101 19081231   261.5
19090101 19091231   343.6
19100101 19101231   327.6
19110101 19111231   162.7
19120101 19121231   277.5
19130101 19131231   298.3
19140101 19141231   130.3
19150101 19151231   378.0
19160101 19161231   317.5
19170101 19171231   565.0
19180101 19181231   432.3
19190101 19191231   369.5
19200101 19201231   403.0
19210101 19211231   358.9
19220101 19221231   307.3
19230101 19231231   451.2
19240101 19241231   323.2
19250101 19251231   301.3
19260101 19261231   313.8
19270101 19271231   422.4
19280101 19281231   261.9
19290101 19291231   419.4
19300101 19301231   375.1
19310101 19311231   352.3
19320101 19321231   365.0
19330101 19331231   277.6
19340101 19341231   410.3
19350101 19351231   291.5
19360101 19361231   255.0
19370101 19371231   238.5
19380101 19381231   245.2
19390101 19391231   399.6
19400101 19401231   212.7
19410101 19411231   344.9
19420101 19421231   412.7
19430101 19431231   499.6
19440101 19441231   263.2
19450101 19451231   350.7
19460101 19461231   380.4
19470101 19471231   313.8
19480101 19481231   279.0
19490101 19491231   250.4
19500101 19501231   248.8
19510101 19511231   382.3
19520101 19521231   282.0
19530101 19531231   440.1
19540101 19541231   236.0
19550101 19551231   361.8
19560101 19561231   309.2
19570101 19571231   229.8
19580101 19581231   387.0
19590101 19591231   268.3
19600101 19601231   326.2
19610101 19611231   233.3
19620101 19621231   234.3
19630101 19631231   549.4
19640101 19641231   284.5
19650101 19651231   396.7
19660101 19661231   415.0
19670101 19671231   258.6
19680101 19681231   370.4
19690101 19691231   178.4
19700101 19701231   349.9
19710101 19711231   384.4
19720101 19721231   286.6
19730101 19731231   378.2
19740101 19741231   480.7
19750101 19751231   336.2
19760101 19761231   309.7
19770101 19771231   216.1
19780101 19781231   460.2
19790101 19791231   305.0
19800101 19801231   212.1
19810101 19811231   370.5
19820101 19821231   248.8
19830101 19831231   313.7
19840101 19841231   289.9
19850101 19851231   250.1
19860101 19861231   310.2
19870101 19871231   288.6
19880101 19881231   353.0
19890101 19891231   286.6
19900101 19901231   354.1
19910101 19911231   310.0
19920101 19921231   463.0
19930101 19931231   326.6
19940101 19941231   192.6
19950101 19951231   405.2
19960101 19961231   321.2
19970101 19971231   337.3
19980101 19981231   310.4
19990101 19991231   502.8
20000101 20001231   299.6
20010101 20011231   394.4
20020101 20021231   259.0
20030101 20031231   377.9
20040101 20041231   320.4
20050101 20051231   307.4
20060101 20061231   403.2
20070101 20071231   226.2
20080101 20081231   316.6
20090101 20091231   273.2
20100101 20101231   179.2
20110101 20111231   416.6
20120101 20121231   315.7
20130101 20131231   308.8
20140101 20141231   291.2
20150101 20151231   361.0
20160101 20161231   407.0
20170101 20171231   316.3
