PRCP       010112 19070101 20171231 missing_value=99999.9 NUNGARIN POST OFFICE                      
19070101 19071231   273.3
19080101 19081231   275.6
19090101 19091231   346.1
19100101 19101231   333.3
19110101 19111231   123.6
19120101 19121231   313.9
19130101 19131231   288.1
19140101 19141231   104.6
19150101 19151231   519.7
19160101 19161231   328.5
19170101 19171231   526.1
19180101 19181231   424.2
19190101 19191231   340.6
19200101 19201231   258.3
19210101 19211231   339.5
19220101 19221231   239.2
19230101 19231231   354.1
19240101 19241231   277.8
19250101 19251231   370.3
19260101 19261231   361.2
19270101 19271231   341.6
19280101 19281231   230.0
19290101 19291231   319.2
19300101 19301231   356.3
19310101 19311231   323.9
19320101 19321231   353.0
19330101 19331231   262.3
19340101 19341231   330.1
19350101 19351231   242.5
19360101 19361231   263.4
19370101 19371231   218.6
19380101 19381231   240.3
19390101 19391231   392.0
19400101 19401231   200.5
19410101 19411231   365.1
19420101 19421231   356.8
19430101 19431231   485.2
19440101 19441231   254.8
19450101 19451231   321.3
19460101 19461231   328.8
19470101 19471231   261.2
19480101 19481231   217.6
19490101 19491231   219.8
19500101 19501231   261.9
19510101 19511231   383.5
19520101 19521231   230.9
19530101 19531231   396.5
19540101 19541231   233.4
19550101 19551231   343.5
19560101 19561231   243.6
19570101 19571231   183.4
19580101 19581231   394.4
19590101 19591231   260.3
19600101 19601231   360.2
19610101 19611231   304.5
19620101 19621231   283.7
19630101 19631231   591.9
19640101 19641231   294.8
19650101 19651231   375.6
19660101 19661231   383.0
19670101 19671231   274.7
19680101 19681231   415.7
19690101 19691231   142.9
19700101 19701231   313.9
19710101 19711231   294.3
19720101 19721231   233.2
19730101 19731231   354.6
19740101 19741231   432.6
19750101 19751231   353.9
19760101 19761231   194.1
19770101 19771231   212.9
19780101 19781231   358.5
19790101 19791231   211.5
19800101 19801231   184.9
19810101 19811231   357.8
19820101 19821231   307.2
19830101 19831231   321.0
19840101 19841231   299.6
19850101 19851231   239.4
19860101 19861231   302.5
19870101 19871231   254.1
19880101 19881231   285.2
19890101 19891231   252.0
19900101 19901231   356.5
19910101 19911231   251.6
19920101 19921231   465.3
19930101 19931231   351.5
19940101 19941231   182.2
19950101 19951231   396.2
19960101 19961231   357.6
19970101 19971231   239.6
19980101 19981231   304.6
19990101 19991231   465.4
20000101 20001231   323.8
20010101 20011231   340.0
20020101 20021231   220.3
20030101 20031231   388.4
20040101 20041231   282.4
20050101 20051231   297.2
20060101 20061231   390.6
20070101 20071231   204.2
20080101 20081231   312.0
20090101 20091231   326.4
20100101 20101231   166.8
20110101 20111231   593.2
20120101 20121231   301.2
20130101 20131231   330.9
20140101 20141231   258.0
20150101 20151231 99999.9
20160101 20161231   366.4
20170101 20171231   319.2
