PRCP       010123 19100101 20171231 missing_value=99999.9 THE GRANITES                              
19100101 19101231   311.3
19110101 19111231   205.0
19120101 19121231   251.7
19130101 19131231   312.0
19140101 19141231   170.9
19150101 19151231   419.2
19160101 19161231   306.5
19170101 19171231   444.1
19180101 19181231   352.2
19190101 19191231   311.3
19200101 19201231   309.8
19210101 19211231   359.6
19220101 19221231   274.1
19230101 19231231   334.0
19240101 19241231   247.1
19250101 19251231   285.2
19260101 19261231   383.8
19270101 19271231   352.6
19280101 19281231   246.9
19290101 19291231   307.8
19300101 19301231   318.0
19310101 19311231   272.4
19320101 19321231   422.0
19330101 19331231   232.7
19340101 19341231   298.1
19350101 19351231   241.6
19360101 19361231   229.9
19370101 19371231   220.3
19380101 19381231   246.5
19390101 19391231   437.3
19400101 19401231   189.0
19410101 19411231   249.1
19420101 19421231   420.4
19430101 19431231   411.0
19440101 19441231   232.0
19450101 19451231   353.1
19460101 19461231   332.2
19470101 19471231   293.8
19480101 19481231   258.8
19490101 19491231   260.3
19500101 19501231   201.9
19510101 19511231   345.1
19520101 19521231   231.0
19530101 19531231   377.9
19540101 19541231   197.8
19550101 19551231   504.8
19560101 19561231   264.8
19570101 19571231   236.7
19580101 19581231   356.0
19590101 19591231   229.0
19600101 19601231   280.1
19610101 19611231   246.7
19620101 19621231   252.8
19630101 19631231   522.2
19640101 19641231   315.3
19650101 19651231   335.7
19660101 19661231   361.1
19670101 19671231   272.1
19680101 19681231   428.0
19690101 19691231   173.0
19700101 19701231   300.1
19710101 19711231   291.0
19720101 19721231   158.8
19730101 19731231   361.7
19740101 19741231   463.1
19750101 19751231   315.8
19760101 19761231   232.6
19770101 19771231   228.2
19780101 19781231   380.0
19790101 19791231   269.7
19800101 19801231   186.0
19810101 19811231   378.4
19820101 19821231   219.6
19830101 19831231   313.1
19840101 19841231   343.9
19850101 19851231   187.0
19860101 19861231   334.6
19870101 19871231   279.6
19880101 19881231   318.8
19890101 19891231   294.4
19900101 19901231   458.8
19910101 19911231   314.4
19920101 19921231   352.6
19930101 19931231   299.6
19940101 19941231   173.8
19950101 19951231   357.8
19960101 19961231   328.4
19970101 19971231   278.2
19980101 19981231   265.6
19990101 19991231   454.0
20000101 20001231   341.2
20010101 20011231   296.1
20020101 20021231   184.8
20030101 20031231   383.4
20040101 20041231   228.6
20050101 20051231   273.8
20060101 20061231   366.7
20070101 20071231   221.2
20080101 20081231   350.4
20090101 20091231   252.2
20100101 20101231   151.0
20110101 20111231   366.8
20120101 20121231   261.8
20130101 20131231   320.3
20140101 20141231   315.5
20150101 20151231   266.4
20160101 20161231   441.0
20170101 20171231   469.5
