PRCP       010126 19100101 20141231 missing_value=99999.9 TRAYNING                                  
19100101 19101231   328.1
19110101 19111231   118.7
19120101 19121231   314.1
19130101 19131231   296.7
19140101 19141231   120.0
19150101 19151231   493.6
19160101 19161231   333.5
19170101 19171231   597.0
19180101 19181231   409.5
19190101 19191231   380.1
19200101 19201231   328.1
19210101 19211231   389.9
19220101 19221231   222.7
19230101 19231231   320.0
19240101 19241231   276.9
19250101 19251231   338.1
19260101 19261231   370.2
19270101 19271231   414.1
19280101 19281231   258.8
19290101 19291231   385.1
19300101 19301231   328.9
19310101 19311231   334.0
19320101 19321231   366.3
19330101 19331231   316.0
19340101 19341231   394.1
19350101 19351231   252.7
19360101 19361231   236.2
19370101 19371231   211.1
19380101 19381231   227.7
19390101 19391231   407.8
19400101 19401231   188.0
19410101 19411231   349.4
19420101 19421231   312.2
19430101 19431231   438.3
19440101 19441231   255.6
19450101 19451231   359.6
19460101 19461231   332.6
19470101 19471231   291.5
19480101 19481231   273.3
19490101 19491231   244.1
19500101 19501231   226.0
19510101 19511231   351.1
19520101 19521231   235.2
19530101 19531231   440.7
19540101 19541231   265.9
19550101 19551231   336.3
19560101 19561231   304.1
19570101 19571231   243.8
19580101 19581231   413.3
19590101 19591231   240.7
19600101 19601231   297.0
19610101 19611231   311.7
19620101 19621231   305.0
19630101 19631231   574.2
19640101 19641231   312.1
19650101 19651231   437.8
19660101 19661231   327.3
19670101 19671231   270.6
19680101 19681231   434.2
19690101 19691231   141.6
19700101 19701231   378.1
19710101 19711231   355.5
19720101 19721231   263.2
19730101 19731231   346.5
19740101 19741231   480.7
19750101 19751231   364.6
19760101 19761231   259.8
19770101 19771231   216.4
19780101 19781231   363.2
19790101 19791231   243.3
19800101 19801231   210.0
19810101 19811231   374.1
19820101 19821231   293.6
19830101 19831231   335.2
19840101 19841231   339.2
19850101 19851231   288.7
19860101 19861231   368.3
19870101 19871231   274.1
19880101 19881231   334.9
19890101 19891231   351.2
19900101 19901231   384.3
19910101 19911231   300.2
19920101 19921231   497.6
19930101 19931231   336.7
19940101 19941231   201.2
19950101 19951231   401.0
19960101 19961231   338.6
19970101 19971231   247.9
19980101 19981231   277.8
19990101 19991231   526.6
20000101 20001231   369.0
20010101 20011231   355.4
20020101 20021231   184.3
20030101 20031231   318.3
20040101 20041231   298.8
20050101 20051231   341.2
20060101 20061231   364.2
20070101 20071231   238.2
20080101 20081231   312.0
20090101 20091231   294.7
20100101 20101231   181.7
20110101 20111231   422.9
20120101 20121231 99999.9
20130101 20131231   269.4
20140101 20141231   303.1
