PRCP       010133 19090101 20111231 missing_value=99999.9 WALK WALKIN                               
19090101 19091231   350.1
19100101 19101231   356.8
19110101 19111231   132.4
19120101 19121231   267.0
19130101 19131231   316.2
19140101 19141231   110.0
19150101 19151231   443.9
19160101 19161231   287.1
19170101 19171231   563.8
19180101 19181231   437.3
19190101 19191231   326.3
19200101 19201231   227.6
19210101 19211231   299.8
19220101 19221231   231.5
19230101 19231231   342.6
19240101 19241231   267.2
19250101 19251231   317.2
19260101 19261231   368.7
19270101 19271231   365.9
19280101 19281231   233.7
19290101 19291231   342.0
19300101 19301231   318.2
19310101 19311231   266.0
19320101 19321231   344.6
19330101 19331231   303.3
19340101 19341231   349.3
19350101 19351231   223.1
19360101 19361231   243.7
19370101 19371231   227.6
19380101 19381231   244.0
19390101 19391231   434.7
19400101 19401231   174.4
19410101 19411231   274.0
19420101 19421231   303.9
19430101 19431231   466.3
19440101 19441231   226.6
19450101 19451231   323.9
19460101 19461231   343.1
19470101 19471231   263.8
19480101 19481231   263.3
19490101 19491231   265.1
19500101 19501231   170.4
19510101 19511231   280.2
19520101 19521231   228.7
19530101 19531231   345.6
19540101 19541231   186.8
19550101 19551231   281.7
19560101 19561231   257.9
19570101 19571231   222.9
19580101 19581231   367.0
19590101 19591231   277.1
19600101 19601231   293.5
19610101 19611231   366.7
19620101 19621231   283.7
19630101 19631231   494.3
19640101 19641231   290.0
19650101 19651231   406.7
19660101 19661231   302.0
19670101 19671231   259.6
19680101 19681231   394.4
19690101 19691231   147.7
19700101 19701231   332.1
19710101 19711231   342.4
19720101 19721231   247.5
19730101 19731231   333.8
19740101 19741231   419.8
19750101 19751231   305.6
19760101 19761231   209.0
19770101 19771231   195.8
19780101 19781231   380.6
19790101 19791231   277.6
19800101 19801231   159.2
19810101 19811231   329.8
19820101 19821231   295.0
19830101 19831231   333.2
19840101 19841231   306.6
19850101 19851231   266.0
19860101 19861231   281.6
19870101 19871231   245.0
19880101 19881231   300.0
19890101 19891231   300.4
19900101 19901231   391.8
19910101 19911231   252.4
19920101 19921231   351.6
19930101 19931231   326.8
19940101 19941231   130.8
19950101 19951231   329.8
19960101 19961231   291.4
19970101 19971231   225.7
19980101 19981231   256.7
19990101 19991231   431.0
20000101 20001231   276.2
20010101 20011231   245.2
20020101 20021231   146.8
20030101 20031231   318.0
20040101 20041231   262.9
20050101 20051231   260.8
20060101 20061231   371.0
20070101 20071231   315.2
20080101 20081231   274.0
20090101 20091231   247.0
20100101 20101231   165.4
20110101 20111231   287.4
