PRCP       010149 19030101 20171231 missing_value=99999.9 CODG CODGEN                               
19030101 19031231   308.7
19040101 19041231   476.5
19050101 19051231   332.3
19060101 19061231   311.4
19070101 19071231   300.9
19080101 19081231   311.1
19090101 19091231   415.7
19100101 19101231   349.4
19110101 19111231   147.5
19120101 19121231   303.6
19130101 19131231   335.5
19140101 19141231   157.0
19150101 19151231   438.1
19160101 19161231   358.9
19170101 19171231   623.1
19180101 19181231   427.0
19190101 19191231   413.4
19200101 19201231   396.1
19210101 19211231   327.1
19220101 19221231   265.8
19230101 19231231   419.5
19240101 19241231   271.1
19250101 19251231   315.9
19260101 19261231   360.1
19270101 19271231   363.9
19280101 19281231   244.6
19290101 19291231   364.9
19300101 19301231   375.0
19310101 19311231   299.4
19320101 19321231   399.0
19330101 19331231   274.2
19340101 19341231   350.6
19350101 19351231   261.5
19360101 19361231   226.1
19370101 19371231   201.9
19380101 19381231   236.4
19390101 19391231   434.8
19400101 19401231   154.3
19410101 19411231   340.1
19420101 19421231   295.9
19430101 19431231   426.0
19440101 19441231   220.9
19450101 19451231   350.3
19460101 19461231   320.3
19470101 19471231   320.2
19480101 19481231   256.7
19490101 19491231   255.8
19500101 19501231   211.5
19510101 19511231   330.6
19520101 19521231   230.0
19530101 19531231   407.5
19540101 19541231   207.8
19550101 19551231   311.7
19560101 19561231   291.0
19570101 19571231   248.5
19580101 19581231   328.3
19590101 19591231   245.2
19600101 19601231   289.4
19610101 19611231   201.3
19620101 19621231   220.4
19630101 19631231   556.7
19640101 19641231   292.9
19650101 19651231   389.5
19660101 19661231   337.1
19670101 19671231   251.0
19680101 19681231   396.7
19690101 19691231   161.3
19700101 19701231   316.3
19710101 19711231   327.0
19720101 19721231   205.9
19730101 19731231   355.0
19740101 19741231   466.5
19750101 19751231   300.5
19760101 19761231   253.5
19770101 19771231   217.3
19780101 19781231   359.8
19790101 19791231   288.2
19800101 19801231   161.6
19810101 19811231   362.4
19820101 19821231   271.4
19830101 19831231   349.9
19840101 19841231   415.8
19850101 19851231   249.8
19860101 19861231   358.3
19870101 19871231   298.6
19880101 19881231   392.6
19890101 19891231   319.8
19900101 19901231   408.6
19910101 19911231   331.2
19920101 19921231   493.7
19930101 19931231   372.0
19940101 19941231   202.6
19950101 19951231   409.4
19960101 19961231   351.2
19970101 19971231   305.4
19980101 19981231   361.8
19990101 19991231   589.8
20000101 20001231   330.5
20010101 20011231   287.3
20020101 20021231   214.4
20030101 20031231   395.2
20040101 20041231   314.1
20050101 20051231   324.8
20060101 20061231   384.0
20070101 20071231   238.1
20080101 20081231   284.6
20090101 20091231   261.1
20100101 20101231   151.6
20110101 20111231   531.4
20120101 20121231   384.4
20130101 20131231   318.4
20140101 20141231   291.6
20150101 20151231   367.0
20160101 20161231   396.8
20170101 20171231   296.2
