PRCP       010525 18910101 20171231 missing_value=99999.9 BROOMEHILL POST OFFICE                    
18910101 18911231   311.6
18920101 18921231   399.3
18930101 18931231   430.3
18940101 18941231   369.7
18950101 18951231   547.4
18960101 18961231   364.2
18970101 18971231   361.0
18980101 18981231   453.2
18990101 18991231   549.0
19000101 19001231   491.7
19010101 19011231   349.1
19020101 19021231   406.3
19030101 19031231   881.0
19040101 19041231   502.1
19050101 19051231   553.7
19060101 19061231   482.2
19070101 19071231   486.1
19080101 19081231   371.2
19090101 19091231   540.4
19100101 19101231   501.5
19110101 19111231   330.9
19120101 19121231   425.8
19130101 19131231   634.4
19140101 19141231   362.9
19150101 19151231   487.2
19160101 19161231   391.7
19170101 19171231   651.7
19180101 19181231   546.7
19190101 19191231   402.4
19200101 19201231   401.9
19210101 19211231   455.6
19220101 19221231   371.5
19230101 19231231   622.3
19240101 19241231   460.9
19250101 19251231   469.6
19260101 19261231   575.2
19270101 19271231   471.7
19280101 19281231   443.9
19290101 19291231   505.8
19300101 19301231   425.7
19310101 19311231   449.7
19320101 19321231   526.4
19330101 19331231   446.3
19340101 19341231   591.8
19350101 19351231   374.4
19360101 19361231   309.2
19370101 19371231   452.9
19380101 19381231   315.4
19390101 19391231   620.5
19400101 19401231   258.5
19410101 19411231   412.3
19420101 19421231   554.1
19430101 19431231   454.3
19440101 19441231   287.4
19450101 19451231   540.7
19460101 19461231   454.7
19470101 19471231   573.9
19480101 19481231   375.0
19490101 19491231   420.2
19500101 19501231   418.0
19510101 19511231   459.8
19520101 19521231   381.2
19530101 19531231   386.8
19540101 19541231   253.2
19550101 19551231   712.7
19560101 19561231   416.7
19570101 19571231   294.6
19580101 19581231   490.2
19590101 19591231   504.3
19600101 19601231   466.6
19610101 19611231   486.7
19620101 19621231   395.6
19630101 19631231   573.8
19640101 19641231   482.3
19650101 19651231   500.6
19660101 19661231   507.5
19670101 19671231   511.4
19680101 19681231   545.2
19690101 19691231   327.2
19700101 19701231   449.1
19710101 19711231   536.1
19720101 19721231   254.8
19730101 19731231   423.3
19740101 19741231   493.2
19750101 19751231   413.5
19760101 19761231   469.0
19770101 19771231   329.6
19780101 19781231   348.7
19790101 19791231   284.5
19800101 19801231   469.9
19810101 19811231   418.2
19820101 19821231   582.8
19830101 19831231   560.5
19840101 19841231   436.1
19850101 19851231   383.3
19860101 19861231   364.9
19870101 19871231   294.6
19880101 19881231   556.9
19890101 19891231   492.8
19900101 19901231   455.0
19910101 19911231   464.8
19920101 19921231   551.6
19930101 19931231   479.0
19940101 19941231   300.6
19950101 19951231   392.9
19960101 19961231   398.5
19970101 19971231   368.2
19980101 19981231   515.8
19990101 19991231   419.4
20000101 20001231   324.7
20010101 20011231   364.2
20020101 20021231   356.8
20030101 20031231   447.6
20040101 20041231   364.4
20050101 20051231   676.4
20060101 20061231   320.8
20070101 20071231   411.8
20080101 20081231   466.2
20090101 20091231 99999.9
20100101 20101231 99999.9
20110101 20111231   584.6
20120101 20121231   369.0
20130101 20131231   479.1
20140101 20141231   383.2
20150101 20151231   351.2
20160101 20161231   544.5
20170101 20171231   439.4
