PRCP       010536 19100101 20171231 missing_value=99999.9 CORRIGIN                                  
19100101 19101231   371.3
19110101 19111231   267.5
19120101 19121231   337.9
19130101 19131231   486.6
19140101 19141231   214.4
19150101 19151231   526.6
19160101 19161231   435.5
19170101 19171231   633.9
19180101 19181231   478.0
19190101 19191231   404.1
19200101 19201231   388.7
19210101 19211231   504.5
19220101 19221231   286.6
19230101 19231231   391.7
19240101 19241231   313.1
19250101 19251231   342.2
19260101 19261231   453.8
19270101 19271231   421.2
19280101 19281231   350.4
19290101 19291231   402.6
19300101 19301231   475.2
19310101 19311231   364.6
19320101 19321231   503.0
19330101 19331231   342.0
19340101 19341231   496.2
19350101 19351231   411.8
19360101 19361231   315.1
19370101 19371231   287.6
19380101 19381231   342.8
19390101 19391231   549.9
19400101 19401231   357.8
19410101 19411231   329.2
19420101 19421231   494.1
19430101 19431231   408.2
19440101 19441231   254.0
19450101 19451231   406.8
19460101 19461231   425.2
19470101 19471231   331.5
19480101 19481231   337.7
19490101 19491231   271.0
19500101 19501231   268.3
19510101 19511231   431.9
19520101 19521231   333.6
19530101 19531231   458.0
19540101 19541231   238.7
19550101 19551231   576.4
19560101 19561231   310.5
19570101 19571231   316.1
19580101 19581231   373.7
19590101 19591231   272.2
19600101 19601231   387.9
19610101 19611231   316.5
19620101 19621231   248.9
19630101 19631231   530.9
19640101 19641231   441.0
19650101 19651231   435.8
19660101 19661231   361.7
19670101 19671231   291.5
19680101 19681231   492.1
19690101 19691231   223.8
19700101 19701231   357.1
19710101 19711231   332.2
19720101 19721231   327.7
19730101 19731231   434.4
19740101 19741231   524.0
19750101 19751231   308.9
19760101 19761231   373.0
19770101 19771231   330.8
19780101 19781231   409.5
19790101 19791231   298.8
19800101 19801231   284.6
19810101 19811231   339.2
19820101 19821231   405.4
19830101 19831231   436.4
19840101 19841231   394.2
19850101 19851231   299.2
19860101 19861231   361.2
19870101 19871231   285.6
19880101 19881231   386.2
19890101 19891231   324.4
19900101 19901231   424.4
19910101 19911231   364.9
19920101 19921231   428.4
19930101 19931231   335.0
19940101 19941231   261.2
19950101 19951231   423.6
19960101 19961231   360.8
19970101 19971231   365.9
19980101 19981231   338.6
19990101 19991231   404.3
20000101 20001231   421.6
20010101 20011231   321.0
20020101 20021231   261.0
20030101 20031231   437.2
20040101 20041231   361.2
20050101 20051231   342.6
20060101 20061231   536.8
20070101 20071231   258.0
20080101 20081231   335.3
20090101 20091231   322.1
20100101 20101231   166.5
20110101 20111231   405.8
20120101 20121231   237.8
20130101 20131231   444.2
20140101 20141231   397.1
20150101 20151231   266.1
20160101 20161231   393.8
20170101 20171231   468.2
