PRCP       010537 18910101 20171231 missing_value=99999.9 CRANBROOK                                 
18910101 18911231   328.4
18920101 18921231   457.0
18930101 18931231   470.0
18940101 18941231   371.5
18950101 18951231   570.0
18960101 18961231   419.1
18970101 18971231   349.3
18980101 18981231   503.4
18990101 18991231   437.2
19000101 19001231   482.9
19010101 19011231   389.4
19020101 19021231   428.7
19030101 19031231   592.9
19040101 19041231   495.9
19050101 19051231   557.4
19060101 19061231   551.2
19070101 19071231   580.8
19080101 19081231   478.5
19090101 19091231   560.7
19100101 19101231   677.0
19110101 19111231   380.7
19120101 19121231   432.8
19130101 19131231   601.4
19140101 19141231   404.6
19150101 19151231   530.9
19160101 19161231   552.5
19170101 19171231   744.8
19180101 19181231   642.9
19190101 19191231   429.3
19200101 19201231   525.1
19210101 19211231   572.3
19220101 19221231   490.6
19230101 19231231   624.3
19240101 19241231   465.1
19250101 19251231   514.7
19260101 19261231   651.1
19270101 19271231   467.4
19280101 19281231   440.6
19290101 19291231   544.1
19300101 19301231   467.6
19310101 19311231   518.1
19320101 19321231   552.8
19330101 19331231   666.9
19340101 19341231   594.3
19350101 19351231   454.2
19360101 19361231   392.2
19370101 19371231   497.8
19380101 19381231   452.5
19390101 19391231   711.1
19400101 19401231   298.8
19410101 19411231   498.6
19420101 19421231   690.8
19430101 19431231   497.5
19440101 19441231   381.5
19450101 19451231   612.2
19460101 19461231   543.9
19470101 19471231   705.7
19480101 19481231   468.3
19490101 19491231   526.1
19500101 19501231   571.1
19510101 19511231   674.2
19520101 19521231   526.6
19530101 19531231   483.4
19540101 19541231   330.8
19550101 19551231   674.5
19560101 19561231   434.4
19570101 19571231   492.1
19580101 19581231   501.4
19590101 19591231   613.9
19600101 19601231   511.1
19610101 19611231   611.9
19620101 19621231   439.9
19630101 19631231   632.5
19640101 19641231   557.5
19650101 19651231   584.9
19660101 19661231   455.4
19670101 19671231   508.7
19680101 19681231   522.9
19690101 19691231   362.5
19700101 19701231   474.1
19710101 19711231   567.4
19720101 19721231   336.9
19730101 19731231   511.0
19740101 19741231   448.9
19750101 19751231   457.4
19760101 19761231   538.0
19770101 19771231   447.7
19780101 19781231   432.7
19790101 19791231   404.0
19800101 19801231   470.9
19810101 19811231   375.6
19820101 19821231   478.8
19830101 19831231   464.9
19840101 19841231   518.7
19850101 19851231   381.0
19860101 19861231   417.1
19870101 19871231   307.8
19880101 19881231   523.8
19890101 19891231   515.0
19900101 19901231   498.3
19910101 19911231   467.3
19920101 19921231   567.0
19930101 19931231   501.3
19940101 19941231   352.8
19950101 19951231   502.3
19960101 19961231   539.8
19970101 19971231   467.4
19980101 19981231   614.6
19990101 19991231   493.4
20000101 20001231   424.9
20010101 20011231   496.0
20020101 20021231   447.3
20030101 20031231   586.0
20040101 20041231   409.7
20050101 20051231   668.0
20060101 20061231   339.5
20070101 20071231   445.5
20080101 20081231   571.5
20090101 20091231   470.5
20100101 20101231   352.0
20110101 20111231   656.5
20120101 20121231   371.0
20130101 20131231   498.0
20140101 20141231   464.0
20150101 20151231   434.5
20160101 20161231   681.0
20170101 20171231   431.9
