PRCP       010541 19070101 20171231 missing_value=99999.9 NYERILUP                                  
19070101 19071231   360.0
19080101 19081231   361.9
19090101 19091231   311.0
19100101 19101231   357.8
19110101 19111231   292.1
19120101 19121231   317.0
19130101 19131231   410.7
19140101 19141231   304.2
19150101 19151231   359.3
19160101 19161231   407.1
19170101 19171231   483.5
19180101 19181231   417.4
19190101 19191231   416.8
19200101 19201231   432.4
19210101 19211231   416.8
19220101 19221231   342.2
19230101 19231231   335.4
19240101 19241231   373.8
19250101 19251231   457.4
19260101 19261231   494.8
19270101 19271231   398.1
19280101 19281231   339.1
19290101 19291231   388.3
19300101 19301231   366.7
19310101 19311231   400.9
19320101 19321231   498.4
19330101 19331231   332.0
19340101 19341231   519.8
19350101 19351231   381.6
19360101 19361231   297.3
19370101 19371231   355.9
19380101 19381231   319.7
19390101 19391231   506.5
19400101 19401231   232.3
19410101 19411231   333.9
19420101 19421231   481.7
19430101 19431231   395.9
19440101 19441231   268.9
19450101 19451231   451.9
19460101 19461231   392.9
19470101 19471231   368.2
19480101 19481231   284.3
19490101 19491231   372.8
19500101 19501231   221.3
19510101 19511231   459.8
19520101 19521231   405.2
19530101 19531231   378.0
19540101 19541231   223.0
19550101 19551231   630.7
19560101 19561231   270.0
19570101 19571231   271.4
19580101 19581231   402.1
19590101 19591231   555.8
19600101 19601231   432.8
19610101 19611231   429.3
19620101 19621231   343.7
19630101 19631231   453.6
19640101 19641231   455.4
19650101 19651231   470.8
19660101 19661231   376.9
19670101 19671231   381.3
19680101 19681231   460.6
19690101 19691231   189.7
19700101 19701231   291.1
19710101 19711231   403.4
19720101 19721231   203.1
19730101 19731231   348.8
19740101 19741231   331.9
19750101 19751231   396.6
19760101 19761231   448.6
19770101 19771231   416.0
19780101 19781231   390.1
19790101 19791231   309.7
19800101 19801231   342.9
19810101 19811231   262.4
19820101 19821231   367.2
19830101 19831231   477.4
19840101 19841231   325.5
19850101 19851231   371.2
19860101 19861231   352.4
19870101 19871231   303.0
19880101 19881231   532.2
19890101 19891231   401.4
19900101 19901231   450.3
19910101 19911231   372.8
19920101 19921231   490.6
19930101 19931231   554.3
19940101 19941231   199.2
19950101 19951231   377.5
19960101 19961231   282.7
19970101 19971231   447.6
19980101 19981231   425.4
19990101 19991231   341.3
20000101 20001231   304.5
20010101 20011231   450.0
20020101 20021231   226.8
20030101 20031231   502.7
20040101 20041231   326.4
20050101 20051231   425.8
20060101 20061231   365.0
20070101 20071231   378.8
20080101 20081231   435.8
20090101 20091231   292.0
20100101 20101231   273.1
20110101 20111231   515.6
20120101 20121231   302.5
20130101 20131231   359.4
20140101 20141231   390.2
20150101 20151231   288.0
20160101 20161231   520.4
20170101 20171231   407.5
