PRCP       010592 19090101 20111231 missing_value=99999.9 LAKE GRACE POST OFFICE                    
19090101 19091231   327.6
19100101 19101231   379.1
19110101 19111231   249.0
19120101 19121231   276.6
19130101 19131231   353.6
19140101 19141231   281.8
19150101 19151231   381.6
19160101 19161231   319.8
19170101 19171231   491.7
19180101 19181231   447.7
19190101 19191231   379.5
19200101 19201231   347.9
19210101 19211231   389.6
19220101 19221231   332.2
19230101 19231231   367.3
19240101 19241231   287.0
19250101 19251231   352.3
19260101 19261231   471.5
19270101 19271231   316.0
19280101 19281231   295.8
19290101 19291231   407.9
19300101 19301231   402.7
19310101 19311231   370.7
19320101 19321231   431.8
19330101 19331231   307.5
19340101 19341231   473.5
19350101 19351231   380.6
19360101 19361231   362.5
19370101 19371231   396.1
19380101 19381231   313.1
19390101 19391231   597.1
19400101 19401231   225.6
19410101 19411231   286.5
19420101 19421231   425.5
19430101 19431231   400.6
19440101 19441231   229.6
19450101 19451231   429.2
19460101 19461231   339.5
19470101 19471231   361.0
19480101 19481231   296.6
19490101 19491231   251.0
19500101 19501231   212.7
19510101 19511231   348.3
19520101 19521231   315.6
19530101 19531231   364.2
19540101 19541231   221.0
19550101 19551231   524.3
19560101 19561231   254.3
19570101 19571231   214.3
19580101 19581231   407.4
19590101 19591231   402.5
19600101 19601231   400.7
19610101 19611231   297.5
19620101 19621231   305.7
19630101 19631231   434.3
19640101 19641231   433.0
19650101 19651231   353.1
19660101 19661231   391.1
19670101 19671231   258.2
19680101 19681231   545.1
19690101 19691231   234.5
19700101 19701231   311.9
19710101 19711231   414.8
19720101 19721231   210.6
19730101 19731231   366.0
19740101 19741231   507.1
19750101 19751231   359.7
19760101 19761231   395.2
19770101 19771231   297.8
19780101 19781231   324.4
19790101 19791231   282.0
19800101 19801231   341.3
19810101 19811231   330.4
19820101 19821231   350.0
19830101 19831231   449.4
19840101 19841231   317.6
19850101 19851231   232.6
19860101 19861231   286.6
19870101 19871231   288.2
19880101 19881231   349.0
19890101 19891231   309.4
19900101 19901231   467.6
19910101 19911231   351.6
19920101 19921231   448.8
19930101 19931231   505.8
19940101 19941231   235.9
19950101 19951231   332.8
19960101 19961231   326.6
19970101 19971231   394.4
19980101 19981231   331.6
19990101 19991231   428.8
20000101 20001231   325.6
20010101 20011231   312.6
20020101 20021231   196.4
20030101 20031231   343.8
20040101 20041231   333.6
20050101 20051231   338.2
20060101 20061231   533.8
20070101 20071231   256.4
20080101 20081231   365.4
20090101 20091231   187.0
20100101 20101231   155.6
20110101 20111231   444.6
