PRCP       010636 19070101 20121231 missing_value=99999.9 THE OAKS                                  
19070101 19071231   406.6
19080101 19081231   323.2
19090101 19091231   389.5
19100101 19101231   395.3
19110101 19111231   290.9
19120101 19121231   301.8
19130101 19131231   549.5
19140101 19141231   248.1
19150101 19151231   372.4
19160101 19161231   357.2
19170101 19171231   578.6
19180101 19181231   460.9
19190101 19191231   382.8
19200101 19201231   400.7
19210101 19211231   432.0
19220101 19221231   548.5
19230101 19231231   507.1
19240101 19241231   391.1
19250101 19251231   353.4
19260101 19261231   577.3
19270101 19271231   372.5
19280101 19281231   453.8
19290101 19291231   384.3
19300101 19301231   376.7
19310101 19311231   440.2
19320101 19321231   593.6
19330101 19331231   405.2
19340101 19341231   481.3
19350101 19351231   429.1
19360101 19361231   403.7
19370101 19371231   470.3
19380101 19381231   299.4
19390101 19391231   583.0
19400101 19401231   212.1
19410101 19411231   339.5
19420101 19421231   419.7
19430101 19431231   444.0
19440101 19441231   221.5
19450101 19451231   530.2
19460101 19461231   467.4
19470101 19471231   465.6
19480101 19481231   330.6
19490101 19491231   335.4
19500101 19501231   275.2
19510101 19511231   542.3
19520101 19521231   394.7
19530101 19531231   421.4
19540101 19541231   238.9
19550101 19551231   631.6
19560101 19561231   333.8
19570101 19571231   280.2
19580101 19581231   479.5
19590101 19591231   330.8
19600101 19601231   414.7
19610101 19611231   386.5
19620101 19621231   303.9
19630101 19631231   448.6
19640101 19641231   504.5
19650101 19651231   411.3
19660101 19661231   352.4
19670101 19671231   371.8
19680101 19681231   416.8
19690101 19691231   270.7
19700101 19701231   438.2
19710101 19711231   476.1
19720101 19721231   270.5
19730101 19731231   435.6
19740101 19741231   398.4
19750101 19751231   439.2
19760101 19761231   397.4
19770101 19771231   408.0
19780101 19781231   377.8
19790101 19791231   286.6
19800101 19801231   436.0
19810101 19811231   396.2
19820101 19821231   449.6
19830101 19831231   609.6
19840101 19841231   398.2
19850101 19851231   342.3
19860101 19861231   321.0
19870101 19871231   399.8
19880101 19881231   456.2
19890101 19891231   342.8
19900101 19901231   405.2
19910101 19911231   439.6
19920101 19921231   475.8
19930101 19931231   505.8
19940101 19941231   291.6
19950101 19951231   412.0
19960101 19961231   378.0
19970101 19971231   364.4
19980101 19981231   453.2
19990101 19991231   411.4
20000101 20001231   363.0
20010101 20011231   311.2
20020101 20021231   298.0
20030101 20031231 99999.9
20040101 20041231   376.6
20050101 20051231   404.8
20060101 20061231   325.0
20070101 20071231   324.8
20080101 20081231   442.2
20090101 20091231   319.6
20100101 20101231   195.3
20110101 20111231   598.0
20120101 20121231   306.4
