PRCP       010668 19100101 20151231 missing_value=99999.9 KOORIKIN                                  
19100101 19101231   333.3
19110101 19111231   278.6
19120101 19121231   322.0
19130101 19131231   427.4
19140101 19141231   242.2
19150101 19151231   442.9
19160101 19161231   413.7
19170101 19171231   539.5
19180101 19181231   491.7
19190101 19191231   379.4
19200101 19201231   374.3
19210101 19211231   392.3
19220101 19221231   317.3
19230101 19231231   423.9
19240101 19241231   312.9
19250101 19251231   358.0
19260101 19261231   473.3
19270101 19271231   369.5
19280101 19281231   315.3
19290101 19291231   407.3
19300101 19301231   447.2
19310101 19311231   323.6
19320101 19321231   439.8
19330101 19331231   335.0
19340101 19341231   403.9
19350101 19351231   367.1
19360101 19361231   278.9
19370101 19371231   304.4
19380101 19381231   284.8
19390101 19391231   467.7
19400101 19401231   272.1
19410101 19411231   309.9
19420101 19421231   467.7
19430101 19431231   369.3
19440101 19441231   217.5
19450101 19451231   391.5
19460101 19461231   366.1
19470101 19471231   317.3
19480101 19481231   293.4
19490101 19491231   283.8
19500101 19501231   235.5
19510101 19511231   427.3
19520101 19521231   309.9
19530101 19531231   378.6
19540101 19541231   195.1
19550101 19551231   516.2
19560101 19561231   217.8
19570101 19571231   237.7
19580101 19581231   377.1
19590101 19591231   309.2
19600101 19601231   348.8
19610101 19611231   261.4
19620101 19621231   255.4
19630101 19631231   485.3
19640101 19641231   442.7
19650101 19651231   452.4
19660101 19661231   340.8
19670101 19671231   281.5
19680101 19681231   417.7
19690101 19691231   228.9
19700101 19701231   336.9
19710101 19711231   323.4
19720101 19721231   200.5
19730101 19731231   402.2
19740101 19741231   437.2
19750101 19751231   290.7
19760101 19761231   350.6
19770101 19771231   254.3
19780101 19781231   377.1
19790101 19791231   264.5
19800101 19801231   181.0
19810101 19811231   286.6
19820101 19821231   298.8
19830101 19831231   391.0
19840101 19841231   334.6
19850101 19851231   239.6
19860101 19861231   293.4
19870101 19871231   312.4
19880101 19881231   338.4
19890101 19891231   280.6
19900101 19901231 99999.9
19910101 19911231   318.6
19920101 19921231   371.0
19930101 19931231   337.0
19940101 19941231   244.0
19950101 19951231   352.8
19960101 19961231   318.6
19970101 19971231   317.0
19980101 19981231   274.6
19990101 19991231   391.4
20000101 20001231   397.0
20010101 20011231   284.8
20020101 20021231   221.2
20030101 20031231   381.4
20040101 20041231   259.0
20050101 20051231   326.4
20060101 20061231   431.8
20070101 20071231   226.8
20080101 20081231   317.8
20090101 20091231   244.4
20100101 20101231   185.0
20110101 20111231   421.4
20120101 20121231   237.4
20130101 20131231   381.3
20140101 20141231   286.0
20150101 20151231   213.1
