PRCP       010795 19090101 20151231 missing_value=99999.9 AVONDALE RESEARCH STN                     
19090101 19091231   419.3
19100101 19101231   413.8
19110101 19111231   280.6
19120101 19121231   359.8
19130101 19131231   446.5
19140101 19141231   200.9
19150101 19151231   567.3
19160101 19161231   404.3
19170101 19171231   571.5
19180101 19181231   448.2
19190101 19191231   318.7
19200101 19201231   345.8
19210101 19211231   438.3
19220101 19221231   332.8
19230101 19231231   515.7
19240101 19241231   321.4
19250101 19251231   367.3
19260101 19261231   551.9
19270101 19271231   398.1
19280101 19281231   350.2
19290101 19291231   377.1
19300101 19301231   379.8
19310101 19311231   391.1
19320101 19321231   619.2
19330101 19331231   350.1
19340101 19341231   482.6
19350101 19351231   427.3
19360101 19361231   365.3
19370101 19371231   332.8
19380101 19381231   347.6
19390101 19391231   521.6
19400101 19401231   273.2
19410101 19411231   348.7
19420101 19421231   519.8
19430101 19431231   509.6
19440101 19441231   321.5
19450101 19451231   517.7
19460101 19461231   522.6
19470101 19471231   495.8
19480101 19481231   363.8
19490101 19491231   286.3
19500101 19501231   285.4
19510101 19511231   442.1
19520101 19521231   353.9
19530101 19531231   519.1
19540101 19541231   266.1
19550101 19551231   601.7
19560101 19561231   336.4
19570101 19571231   320.3
19580101 19581231   489.7
19590101 19591231   366.9
19600101 19601231   421.6
19610101 19611231   337.1
19620101 19621231   355.0
19630101 19631231   559.7
19640101 19641231   434.9
19650101 19651231   439.9
19660101 19661231   344.8
19670101 19671231   423.2
19680101 19681231   441.8
19690101 19691231   233.4
19700101 19701231   364.0
19710101 19711231   353.5
19720101 19721231   237.5
19730101 19731231   391.9
19740101 19741231   501.3
19750101 19751231   383.8
19760101 19761231   420.1
19770101 19771231   310.2
19780101 19781231   433.9
19790101 19791231   303.0
19800101 19801231   287.0
19810101 19811231   447.6
19820101 19821231   434.4
19830101 19831231   542.4
19840101 19841231   424.7
19850101 19851231   347.5
19860101 19861231   426.9
19870101 19871231   328.3
19880101 19881231   417.7
19890101 19891231   384.9
19900101 19901231   460.4
19910101 19911231   429.4
19920101 19921231   474.6
19930101 19931231   362.8
19940101 19941231   249.1
19950101 19951231   467.5
19960101 19961231   501.9
19970101 19971231   364.0
19980101 19981231 99999.9
19990101 19991231   460.2
20000101 20001231   407.4
20010101 20011231   334.9
20020101 20021231   284.5
20030101 20031231   391.5
20040101 20041231   387.5
20050101 20051231   480.2
20060101 20061231   404.9
20070101 20071231   360.2
20080101 20081231   421.1
20090101 20091231   430.6
20100101 20101231   262.9
20110101 20111231   492.8
20120101 20121231   322.8
20130101 20131231   386.6
20140101 20141231   342.2
20150101 20151231   278.4
