PRCP       012011 19120101 20171231 missing_value=99999.9 BULLFINCH                                 
19120101 19121231   253.0
19130101 19131231   252.0
19140101 19141231   183.5
19150101 19151231   370.2
19160101 19161231   301.0
19170101 19171231   420.2
19180101 19181231   462.7
19190101 19191231   286.4
19200101 19201231   251.0
19210101 19211231   336.2
19220101 19221231   199.9
19230101 19231231   258.8
19240101 19241231   215.5
19250101 19251231   314.7
19260101 19261231   318.8
19270101 19271231   441.1
19280101 19281231   227.2
19290101 19291231   327.1
19300101 19301231   322.8
19310101 19311231   270.7
19320101 19321231   346.8
19330101 19331231   306.9
19340101 19341231   321.2
19350101 19351231   293.7
19360101 19361231   230.2
19370101 19371231   247.5
19380101 19381231   234.1
19390101 19391231   392.9
19400101 19401231   122.8
19410101 19411231   256.0
19420101 19421231   234.7
19430101 19431231   528.2
19440101 19441231   196.7
19450101 19451231   263.5
19460101 19461231   293.0
19470101 19471231   197.6
19480101 19481231   238.7
19490101 19491231   283.2
19500101 19501231   184.3
19510101 19511231   389.9
19520101 19521231   185.2
19530101 19531231   397.2
19540101 19541231   158.4
19550101 19551231   420.5
19560101 19561231   211.7
19570101 19571231   182.0
19580101 19581231   426.1
19590101 19591231   281.7
19600101 19601231   351.8
19610101 19611231   273.6
19620101 19621231   218.1
19630101 19631231   617.1
19640101 19641231   262.5
19650101 19651231   294.9
19660101 19661231   416.7
19670101 19671231   253.2
19680101 19681231   295.6
19690101 19691231   145.6
19700101 19701231   335.5
19710101 19711231   294.1
19720101 19721231   254.1
19730101 19731231   353.2
19740101 19741231   430.6
19750101 19751231   301.4
19760101 19761231   212.2
19770101 19771231   229.2
19780101 19781231   352.8
19790101 19791231   246.2
19800101 19801231   275.3
19810101 19811231   346.6
19820101 19821231   302.3
19830101 19831231   322.8
19840101 19841231   338.1
19850101 19851231   301.8
19860101 19861231   224.9
19870101 19871231   257.0
19880101 19881231   347.9
19890101 19891231   300.6
19900101 19901231   262.1
19910101 19911231   273.4
19920101 19921231   431.5
19930101 19931231   302.9
19940101 19941231   230.2
19950101 19951231   509.3
19960101 19961231   401.5
19970101 19971231   344.8
19980101 19981231   300.6
19990101 19991231   646.4
20000101 20001231   372.1
20010101 20011231   381.1
20020101 20021231   218.2
20030101 20031231   415.2
20040101 20041231   384.7
20050101 20051231   353.9
20060101 20061231   405.0
20070101 20071231   219.3
20080101 20081231 99999.9
20090101 20091231   237.0
20100101 20101231   204.7
20110101 20111231   374.0
20120101 20121231   276.7
20130101 20131231   240.1
20140101 20141231   272.2
20150101 20151231   292.7
20160101 20161231   335.3
20170101 20171231   379.3
