PRCP       012013 18970101 20151231 missing_value=99999.9 BULONG                                    
18970101 18971231   133.1
18980101 18981231   177.3
18990101 18991231   171.4
19000101 19001231   253.2
19010101 19011231   253.4
19020101 19021231   312.7
19030101 19031231   253.2
19040101 19041231   304.5
19050101 19051231   176.4
19060101 19061231   242.2
19070101 19071231   276.6
19080101 19081231   224.0
19090101 19091231   336.1
19100101 19101231   230.2
19110101 19111231   133.9
19120101 19121231   176.4
19130101 19131231   238.0
19140101 19141231   191.1
19150101 19151231   457.2
19160101 19161231   189.2
19170101 19171231   391.7
19180101 19181231   231.5
19190101 19191231   458.9
19200101 19201231   166.5
19210101 19211231   243.9
19220101 19221231   231.0
19230101 19231231   210.7
19240101 19241231   147.7
19250101 19251231   315.5
19260101 19261231   153.1
19270101 19271231   348.9
19280101 19281231   115.9
19290101 19291231   248.0
19300101 19301231   264.7
19310101 19311231   268.3
19320101 19321231   198.6
19330101 19331231   195.5
19340101 19341231   253.4
19350101 19351231   159.3
19360101 19361231   141.9
19370101 19371231   265.4
19380101 19381231   177.4
19390101 19391231   279.9
19400101 19401231   121.1
19410101 19411231   204.9
19420101 19421231   423.8
19430101 19431231   227.6
19440101 19441231   115.2
19450101 19451231   141.5
19460101 19461231   115.4
19470101 19471231   258.5
19480101 19481231   393.4
19490101 19491231   189.6
19500101 19501231   103.3
19510101 19511231   247.0
19520101 19521231   215.5
19530101 19531231   206.9
19540101 19541231   144.1
19550101 19551231   356.9
19560101 19561231   139.1
19570101 19571231   198.0
19580101 19581231   386.2
19590101 19591231   223.9
19600101 19601231   427.2
19610101 19611231   251.7
19620101 19621231   175.5
19630101 19631231   459.3
19640101 19641231   185.0
19650101 19651231   190.8
19660101 19661231   221.2
19670101 19671231   304.1
19680101 19681231   308.7
19690101 19691231    94.2
19700101 19701231   148.4
19710101 19711231   106.8
19720101 19721231   127.3
19730101 19731231   339.7
19740101 19741231   467.8
19750101 19751231   455.4
19760101 19761231   113.4
19770101 19771231   150.3
19780101 19781231   206.6
19790101 19791231   173.8
19800101 19801231   297.2
19810101 19811231   208.9
19820101 19821231   271.3
19830101 19831231   213.7
19840101 19841231   338.7
19850101 19851231   233.8
19860101 19861231   316.2
19870101 19871231   304.5
19880101 19881231   291.0
19890101 19891231   170.3
19900101 19901231   301.3
19910101 19911231   220.4
19920101 19921231   587.7
19930101 19931231   356.6
19940101 19941231   224.8
19950101 19951231   531.4
19960101 19961231   309.2
19970101 19971231   298.8
19980101 19981231   333.0
19990101 19991231   412.1
20000101 20001231   429.7
20010101 20011231   318.8
20020101 20021231   156.6
20030101 20031231   307.4
20040101 20041231   242.8
20050101 20051231   191.9
20060101 20061231   302.8
20070101 20071231   218.6
20080101 20081231 99999.9
20090101 20091231   257.7
20100101 20101231   173.6
20110101 20111231   422.0
20120101 20121231   301.6
20130101 20131231   395.0
20140101 20141231   400.1
20150101 20151231   256.6
