PRCP       012065 18970101 20111231 missing_value=99999.9 NORSEMAN                                  
18970101 18971231   229.5
18980101 18981231   227.9
18990101 18991231   163.7
19000101 19001231   318.3
19010101 19011231   221.5
19020101 19021231   351.0
19030101 19031231   223.0
19040101 19041231   360.6
19050101 19051231   247.6
19060101 19061231   277.2
19070101 19071231   269.9
19080101 19081231   314.4
19090101 19091231   340.5
19100101 19101231   203.2
19110101 19111231   137.9
19120101 19121231   200.2
19130101 19131231   320.3
19140101 19141231   246.3
19150101 19151231   461.0
19160101 19161231   303.7
19170101 19171231   376.3
19180101 19181231   393.3
19190101 19191231   341.3
19200101 19201231   260.7
19210101 19211231   276.1
19220101 19221231   244.0
19230101 19231231   199.0
19240101 19241231   225.3
19250101 19251231   387.8
19260101 19261231   242.1
19270101 19271231   292.8
19280101 19281231   179.0
19290101 19291231   296.2
19300101 19301231   249.0
19310101 19311231   334.2
19320101 19321231   248.5
19330101 19331231   211.5
19340101 19341231   289.8
19350101 19351231   231.6
19360101 19361231   230.2
19370101 19371231   239.6
19380101 19381231   234.2
19390101 19391231   369.6
19400101 19401231   164.1
19410101 19411231   275.6
19420101 19421231   394.2
19430101 19431231   526.9
19440101 19441231   200.9
19450101 19451231   151.7
19460101 19461231   215.3
19470101 19471231   266.2
19480101 19481231   328.1
19490101 19491231   220.4
19500101 19501231   232.2
19510101 19511231   346.5
19520101 19521231   289.7
19530101 19531231   293.6
19540101 19541231   163.2
19550101 19551231   325.9
19560101 19561231   162.7
19570101 19571231   183.8
19580101 19581231   329.6
19590101 19591231   301.6
19600101 19601231   298.9
19610101 19611231   234.5
19620101 19621231   219.9
19630101 19631231   609.8
19640101 19641231   312.4
19650101 19651231   314.9
19660101 19661231   251.5
19670101 19671231   307.7
19680101 19681231   341.8
19690101 19691231   207.1
19700101 19701231   266.0
19710101 19711231   261.9
19720101 19721231   194.3
19730101 19731231   312.8
19740101 19741231   327.5
19750101 19751231   303.0
19760101 19761231   208.0
19770101 19771231   176.7
19780101 19781231   242.5
19790101 19791231   256.9
19800101 19801231   211.0
19810101 19811231   247.2
19820101 19821231   306.4
19830101 19831231   378.4
19840101 19841231   341.7
19850101 19851231   247.0
19860101 19861231   409.2
19870101 19871231   271.5
19880101 19881231   366.4
19890101 19891231   303.8
19900101 19901231   270.9
19910101 19911231   222.8
19920101 19921231   623.6
19930101 19931231   379.9
19940101 19941231   258.8
19950101 19951231   449.6
19960101 19961231   291.2
19970101 19971231   342.2
19980101 19981231   289.0
19990101 19991231   434.6
20000101 20001231   492.4
20010101 20011231   432.4
20020101 20021231   240.4
20030101 20031231   384.6
20040101 20041231   254.1
20050101 20051231   281.5
20060101 20061231   279.6
20070101 20071231   234.6
20080101 20081231   304.2
20090101 20091231   284.5
20100101 20101231   220.5
20110101 20111231   294.9
